,date,value,name_B08HND3XFR
0,2020-09-29,50370.0,Throw Pillow Covers
1,2020-09-30,50370.0,Throw Pillow Covers
2,2020-10-01,50370.0,Throw Pillow Covers
3,2020-10-02,50370.0,Throw Pillow Covers
4,2020-10-03,50370.0,Throw Pillow Covers
5,2020-10-04,50370.0,Throw Pillow Covers
6,2020-10-05,50370.0,Throw Pillow Covers
7,2020-10-06,50370.0,Throw Pillow Covers
8,2020-10-07,125409.0,Throw Pillow Covers
9,2020-10-08,226381.0,Throw Pillow Covers
10,2020-10-09,226381.0,Throw Pillow Covers
11,2020-10-10,89961.0,Throw Pillow Covers
12,2020-10-11,89961.0,Throw Pillow Covers
13,2020-10-12,89961.0,Throw Pillow Covers
14,2020-10-13,89961.0,Throw Pillow Covers
15,2020-10-14,58672.0,Throw Pillow Covers
16,2020-10-15,58672.0,Throw Pillow Covers
17,2020-10-16,58672.0,Throw Pillow Covers
18,2020-10-17,58672.0,Throw Pillow Covers
19,2020-10-18,58672.0,Throw Pillow Covers
20,2020-10-19,43976.0,Throw Pillow Covers
21,2020-10-20,46116.0,Throw Pillow Covers
22,2020-10-21,46116.0,Throw Pillow Covers
23,2020-10-22,46150.0,Throw Pillow Covers
24,2020-10-23,43840.0,Throw Pillow Covers
25,2020-10-24,40542.0,Throw Pillow Covers
26,2020-10-25,40542.0,Throw Pillow Covers
27,2020-10-26,40542.0,Throw Pillow Covers
28,2020-10-27,57156.0,Throw Pillow Covers
29,2020-10-28,57156.0,Throw Pillow Covers
30,2020-10-29,57156.0,Throw Pillow Covers
31,2020-10-30,44699.0,Throw Pillow Covers
32,2020-10-31,44699.0,Throw Pillow Covers
33,2020-11-01,44699.0,Throw Pillow Covers
34,2020-11-02,44699.0,Throw Pillow Covers
35,2020-11-03,34729.0,Throw Pillow Covers
36,2020-11-04,34729.0,Throw Pillow Covers
37,2020-11-05,47378.0,Throw Pillow Covers
38,2020-11-06,39865.0,Throw Pillow Covers
39,2020-11-07,39865.0,Throw Pillow Covers
40,2020-11-08,39865.0,Throw Pillow Covers
41,2020-11-09,28174.0,Throw Pillow Covers
42,2020-11-10,36380.0,Throw Pillow Covers
43,2020-11-11,36380.0,Throw Pillow Covers
44,2020-11-12,36380.0,Throw Pillow Covers
45,2020-11-13,28225.0,Throw Pillow Covers
46,2020-11-14,28225.0,Throw Pillow Covers
47,2020-11-15,28225.0,Throw Pillow Covers
48,2020-11-16,24085.0,Throw Pillow Covers
49,2020-11-17,24085.0,Throw Pillow Covers
50,2020-11-18,24085.0,Throw Pillow Covers
51,2020-11-19,33881.0,Throw Pillow Covers
52,2020-11-20,33881.0,Throw Pillow Covers
53,2020-11-21,33881.0,Throw Pillow Covers
54,2020-11-22,33881.0,Throw Pillow Covers
55,2020-11-23,25710.0,Throw Pillow Covers
56,2020-11-24,28496.0,Throw Pillow Covers
57,2020-11-25,28496.0,Throw Pillow Covers
58,2020-11-26,28824.0,Throw Pillow Covers
59,2020-11-27,28824.0,Throw Pillow Covers
60,2020-11-28,28824.0,Throw Pillow Covers
61,2020-11-29,28824.0,Throw Pillow Covers
62,2020-11-30,28824.0,Throw Pillow Covers
63,2020-12-01,40835.0,Throw Pillow Covers
64,2020-12-02,40835.0,Throw Pillow Covers
65,2020-12-03,40835.0,Throw Pillow Covers
66,2020-12-04,37915.0,Throw Pillow Covers
67,2020-12-05,29827.0,Throw Pillow Covers
68,2020-12-06,29827.0,Throw Pillow Covers
69,2020-12-07,29827.0,Throw Pillow Covers
70,2020-12-08,29827.0,Throw Pillow Covers
71,2020-12-09,29827.0,Throw Pillow Covers
72,2020-12-10,47763.0,Throw Pillow Covers
73,2020-12-11,47763.0,Throw Pillow Covers
74,2020-12-12,47763.0,Throw Pillow Covers
75,2020-12-13,35784.0,Throw Pillow Covers
76,2020-12-14,35784.0,Throw Pillow Covers
77,2020-12-15,41797.0,Throw Pillow Covers
78,2020-12-16,37413.0,Throw Pillow Covers
79,2020-12-17,37413.0,Throw Pillow Covers
80,2020-12-18,37413.0,Throw Pillow Covers
81,2020-12-19,33389.0,Throw Pillow Covers
82,2020-12-20,33389.0,Throw Pillow Covers
83,2020-12-21,33389.0,Throw Pillow Covers
84,2020-12-22,33389.0,Throw Pillow Covers
85,2020-12-23,33389.0,Throw Pillow Covers
86,2020-12-24,33389.0,Throw Pillow Covers
87,2020-12-25,27747.0,Throw Pillow Covers
88,2020-12-26,27747.0,Throw Pillow Covers
89,2020-12-27,27747.0,Throw Pillow Covers
90,2020-12-28,21637.0,Throw Pillow Covers
91,2020-12-29,23847.0,Throw Pillow Covers
92,2020-12-30,23847.0,Throw Pillow Covers
93,2020-12-31,23847.0,Throw Pillow Covers
94,2021-01-01,20466.0,Throw Pillow Covers
95,2021-01-02,14273.0,Throw Pillow Covers
96,2021-01-03,14273.0,Throw Pillow Covers
97,2021-01-04,14273.0,Throw Pillow Covers
98,2021-01-05,11131.0,Throw Pillow Covers
99,2021-01-06,11860.0,Throw Pillow Covers
100,2021-01-07,11860.0,Throw Pillow Covers
101,2021-01-08,8757.0,Throw Pillow Covers
102,2021-01-09,8876.0,Throw Pillow Covers
103,2021-01-10,8876.0,Throw Pillow Covers
104,2021-01-11,11475.0,Throw Pillow Covers
105,2021-01-12,10703.0,Throw Pillow Covers
106,2021-01-13,10898.0,Throw Pillow Covers
107,2021-01-14,10898.0,Throw Pillow Covers
108,2021-01-15,10898.0,Throw Pillow Covers
109,2021-01-16,10898.0,Throw Pillow Covers
110,2021-01-17,10898.0,Throw Pillow Covers
111,2021-01-18,10898.0,Throw Pillow Covers
112,2021-01-19,35132.0,Throw Pillow Covers
113,2021-01-20,25891.0,Throw Pillow Covers
114,2021-01-21,25891.0,Throw Pillow Covers
115,2021-01-22,25891.0,Throw Pillow Covers
116,2021-01-23,15322.0,Throw Pillow Covers
117,2021-01-24,15322.0,Throw Pillow Covers
118,2021-01-25,15322.0,Throw Pillow Covers
119,2021-01-26,20637.0,Throw Pillow Covers
120,2021-01-27,20637.0,Throw Pillow Covers
121,2021-01-28,20637.0,Throw Pillow Covers
122,2021-01-29,15457.0,Throw Pillow Covers
123,2021-01-30,15457.0,Throw Pillow Covers
124,2021-01-31,15457.0,Throw Pillow Covers
125,2021-02-01,20016.0,Throw Pillow Covers
126,2021-02-02,20016.0,Throw Pillow Covers
127,2021-02-03,17857.0,Throw Pillow Covers
128,2021-02-04,17857.0,Throw Pillow Covers
129,2021-02-05,17857.0,Throw Pillow Covers
130,2021-02-06,17857.0,Throw Pillow Covers
131,2021-02-07,15065.0,Throw Pillow Covers
132,2021-02-08,15392.0,Throw Pillow Covers
133,2021-02-09,15392.0,Throw Pillow Covers
134,2021-02-10,15392.0,Throw Pillow Covers
135,2021-02-11,15392.0,Throw Pillow Covers
136,2021-02-12,15092.0,Throw Pillow Covers
137,2021-02-13,15092.0,Throw Pillow Covers
138,2021-02-14,15092.0,Throw Pillow Covers
139,2021-02-15,18074.0,Throw Pillow Covers
140,2021-02-16,18074.0,Throw Pillow Covers
141,2021-02-17,18074.0,Throw Pillow Covers
142,2021-02-18,15709.0,Throw Pillow Covers
143,2021-02-19,15709.0,Throw Pillow Covers
144,2021-02-20,15709.0,Throw Pillow Covers
