,date,value,name_B08D6JHGCZ
0,2020-08-10,20503.0,Tablecloths
1,2020-08-11,20503.0,Tablecloths
2,2020-08-12,20503.0,Tablecloths
3,2020-08-13,15439.0,Tablecloths
4,2020-08-14,15439.0,Tablecloths
5,2020-08-15,15439.0,Tablecloths
6,2020-08-16,15439.0,Tablecloths
7,2020-08-17,18398.0,Tablecloths
8,2020-08-18,18398.0,Tablecloths
9,2020-08-19,18398.0,Tablecloths
10,2020-08-20,18398.0,Tablecloths
11,2020-08-21,16332.0,Tablecloths
12,2020-08-22,16332.0,Tablecloths
13,2020-08-23,16332.0,Tablecloths
14,2020-08-24,15745.0,Tablecloths
15,2020-08-25,15745.0,Tablecloths
16,2020-08-26,15745.0,Tablecloths
17,2020-08-27,8568.0,Tablecloths
18,2020-08-28,8568.0,Tablecloths
19,2020-08-29,8568.0,Tablecloths
20,2020-08-30,8568.0,Tablecloths
21,2020-08-31,8541.0,Tablecloths
22,2020-09-01,6672.0,Tablecloths
23,2020-09-02,6672.0,Tablecloths
24,2020-09-03,6672.0,Tablecloths
25,2020-09-04,7890.0,Tablecloths
26,2020-09-05,7890.0,Tablecloths
27,2020-09-06,7890.0,Tablecloths
28,2020-09-07,7112.0,Tablecloths
29,2020-09-08,7112.0,Tablecloths
30,2020-09-09,7112.0,Tablecloths
31,2020-09-10,8645.0,Tablecloths
32,2020-09-11,8645.0,Tablecloths
33,2020-09-12,8645.0,Tablecloths
34,2020-09-13,5098.0,Tablecloths
35,2020-09-14,5098.0,Tablecloths
36,2020-09-15,5098.0,Tablecloths
37,2020-09-16,4737.0,Tablecloths
38,2020-09-17,4146.0,Tablecloths
39,2020-09-18,4146.0,Tablecloths
40,2020-09-19,3970.0,Tablecloths
41,2020-09-20,4098.0,Tablecloths
42,2020-09-21,4098.0,Tablecloths
43,2020-09-22,3387.0,Tablecloths
44,2020-09-23,3236.0,Tablecloths
45,2020-09-24,2792.0,Tablecloths
46,2020-09-25,2792.0,Tablecloths
47,2020-09-26,2792.0,Tablecloths
48,2020-09-27,2792.0,Tablecloths
49,2020-09-28,3455.0,Tablecloths
50,2020-09-29,2967.0,Tablecloths
51,2020-09-30,2967.0,Tablecloths
52,2020-10-01,2967.0,Tablecloths
53,2020-10-02,3095.0,Tablecloths
54,2020-10-03,2463.0,Tablecloths
55,2020-10-04,2463.0,Tablecloths
56,2020-10-05,3090.0,Tablecloths
57,2020-10-06,3090.0,Tablecloths
58,2020-10-07,3090.0,Tablecloths
59,2020-10-08,2277.0,Tablecloths
60,2020-10-09,2277.0,Tablecloths
61,2020-10-10,1838.0,Tablecloths
62,2020-10-11,2370.0,Tablecloths
63,2020-10-12,3051.0,Tablecloths
64,2020-10-13,2522.0,Tablecloths
65,2020-10-14,5247.0,Tablecloths
66,2020-10-15,5247.0,Tablecloths
67,2020-10-16,5562.0,Tablecloths
68,2020-10-17,5562.0,Tablecloths
69,2020-10-18,5562.0,Tablecloths
70,2020-10-19,2896.0,Tablecloths
71,2020-10-20,2896.0,Tablecloths
72,2020-10-21,1938.0,Tablecloths
73,2020-10-22,2270.0,Tablecloths
74,2020-10-23,2270.0,Tablecloths
75,2020-10-24,2270.0,Tablecloths
76,2020-10-25,3041.0,Tablecloths
77,2020-10-26,3047.0,Tablecloths
78,2020-10-27,3047.0,Tablecloths
79,2020-10-28,3047.0,Tablecloths
80,2020-10-29,2213.0,Tablecloths
81,2020-10-30,2213.0,Tablecloths
82,2020-10-31,2213.0,Tablecloths
83,2020-11-01,2213.0,Tablecloths
84,2020-11-02,2775.0,Tablecloths
85,2020-11-03,2775.0,Tablecloths
86,2020-11-04,2586.0,Tablecloths
87,2020-11-05,1753.0,Tablecloths
88,2020-11-06,1701.0,Tablecloths
89,2020-11-07,1701.0,Tablecloths
90,2020-11-08,1891.0,Tablecloths
91,2020-11-09,1891.0,Tablecloths
92,2020-11-10,1891.0,Tablecloths
93,2020-11-11,1891.0,Tablecloths
94,2020-11-12,2023.0,Tablecloths
95,2020-11-13,2023.0,Tablecloths
96,2020-11-14,2336.0,Tablecloths
97,2020-11-15,2336.0,Tablecloths
98,2020-11-16,2336.0,Tablecloths
99,2020-11-17,2546.0,Tablecloths
100,2020-11-18,2329.0,Tablecloths
101,2020-11-19,2329.0,Tablecloths
102,2020-11-20,2329.0,Tablecloths
103,2020-11-21,2090.0,Tablecloths
104,2020-11-22,1713.0,Tablecloths
105,2020-11-23,1713.0,Tablecloths
106,2020-11-24,1713.0,Tablecloths
107,2020-11-25,2089.0,Tablecloths
108,2020-11-26,2089.0,Tablecloths
109,2020-11-27,3794.0,Tablecloths
110,2020-11-28,3794.0,Tablecloths
111,2020-11-29,3794.0,Tablecloths
112,2020-11-30,5609.0,Tablecloths
113,2020-12-01,5566.0,Tablecloths
114,2020-12-02,5566.0,Tablecloths
115,2020-12-03,4319.0,Tablecloths
116,2020-12-04,4319.0,Tablecloths
117,2020-12-05,4319.0,Tablecloths
118,2020-12-06,6304.0,Tablecloths
119,2020-12-07,5975.0,Tablecloths
120,2020-12-08,5975.0,Tablecloths
121,2020-12-09,5975.0,Tablecloths
122,2020-12-10,5975.0,Tablecloths
123,2020-12-11,5975.0,Tablecloths
124,2020-12-12,5675.0,Tablecloths
125,2020-12-13,5675.0,Tablecloths
126,2020-12-14,7728.0,Tablecloths
127,2020-12-15,7728.0,Tablecloths
128,2020-12-16,7728.0,Tablecloths
129,2020-12-17,6909.0,Tablecloths
130,2020-12-18,6909.0,Tablecloths
131,2020-12-19,6909.0,Tablecloths
132,2020-12-20,7224.0,Tablecloths
133,2020-12-21,7224.0,Tablecloths
134,2020-12-22,5562.0,Tablecloths
135,2020-12-23,5562.0,Tablecloths
136,2020-12-24,5562.0,Tablecloths
137,2020-12-25,5562.0,Tablecloths
138,2020-12-26,7073.0,Tablecloths
139,2020-12-27,7073.0,Tablecloths
140,2020-12-28,7073.0,Tablecloths
