,date,value,name_B08PPBBRWC
0,2021-02-10,59969.0,Plush Pillows
1,2021-02-11,59969.0,Plush Pillows
2,2021-02-12,59969.0,Plush Pillows
3,2021-02-13,59969.0,Plush Pillows
4,2021-02-14,59969.0,Plush Pillows
5,2021-02-15,59969.0,Plush Pillows
6,2021-02-16,59969.0,Plush Pillows
7,2021-02-17,59969.0,Plush Pillows
8,2021-02-18,59969.0,Plush Pillows
9,2021-02-19,59969.0,Plush Pillows
10,2021-02-20,59969.0,Plush Pillows
11,2021-02-21,59969.0,Plush Pillows
12,2021-02-22,59969.0,Plush Pillows
13,2021-02-23,59969.0,Plush Pillows
14,2021-02-24,59969.0,Plush Pillows
15,2021-02-25,59969.0,Plush Pillows
16,2021-02-26,59969.0,Plush Pillows
17,2021-02-27,59969.0,Plush Pillows
18,2021-02-28,59969.0,Plush Pillows
19,2021-03-01,59969.0,Plush Pillows
20,2021-03-02,174990.0,Plush Pillows
21,2021-03-03,174990.0,Plush Pillows
22,2021-03-04,174990.0,Plush Pillows
23,2021-03-05,174990.0,Plush Pillows
24,2021-03-06,174990.0,Plush Pillows
25,2021-03-07,174990.0,Plush Pillows
26,2021-03-08,174990.0,Plush Pillows
27,2021-03-09,174990.0,Plush Pillows
28,2021-03-10,174990.0,Plush Pillows
29,2021-03-11,174990.0,Plush Pillows
30,2021-03-12,174990.0,Plush Pillows
31,2021-03-13,174990.0,Plush Pillows
32,2021-03-14,174990.0,Plush Pillows
33,2021-03-15,174990.0,Plush Pillows
34,2021-03-16,174990.0,Plush Pillows
35,2021-03-17,174990.0,Plush Pillows
36,2021-03-18,174990.0,Plush Pillows
37,2021-03-19,174990.0,Plush Pillows
38,2021-03-20,174990.0,Plush Pillows
39,2021-03-21,174990.0,Plush Pillows
40,2021-03-22,174990.0,Plush Pillows
41,2021-03-23,215171.0,Plush Pillows
42,2021-03-24,215171.0,Plush Pillows
43,2021-03-25,215171.0,Plush Pillows
44,2021-03-26,36112.0,Plush Pillows
45,2021-03-27,36112.0,Plush Pillows
46,2021-03-28,36112.0,Plush Pillows
47,2021-03-29,33324.0,Plush Pillows
48,2021-03-30,33324.0,Plush Pillows
49,2021-03-31,33324.0,Plush Pillows
50,2021-04-01,26900.0,Plush Pillows
51,2021-04-02,26900.0,Plush Pillows
52,2021-04-03,26900.0,Plush Pillows
53,2021-04-04,26900.0,Plush Pillows
54,2021-04-05,26900.0,Plush Pillows
55,2021-04-06,53439.0,Plush Pillows
56,2021-04-07,53439.0,Plush Pillows
57,2021-04-08,53439.0,Plush Pillows
58,2021-04-09,53439.0,Plush Pillows
59,2021-04-10,108721.0,Plush Pillows
60,2021-04-11,108721.0,Plush Pillows
61,2021-04-12,185072.0,Plush Pillows
62,2021-04-13,185072.0,Plush Pillows
63,2021-04-14,185072.0,Plush Pillows
64,2021-04-15,82807.0,Plush Pillows
65,2021-04-16,82807.0,Plush Pillows
66,2021-04-17,82807.0,Plush Pillows
67,2021-04-18,82807.0,Plush Pillows
68,2021-04-19,82807.0,Plush Pillows
69,2021-04-20,143131.0,Plush Pillows
70,2021-04-21,165163.0,Plush Pillows
71,2021-04-22,165163.0,Plush Pillows
72,2021-04-23,185440.0,Plush Pillows
73,2021-04-24,185440.0,Plush Pillows
74,2021-04-25,185440.0,Plush Pillows
75,2021-04-26,182844.0,Plush Pillows
76,2021-04-27,182844.0,Plush Pillows
77,2021-04-28,182844.0,Plush Pillows
78,2021-04-29,73352.0,Plush Pillows
79,2021-04-30,73352.0,Plush Pillows
80,2021-05-01,73352.0,Plush Pillows
81,2021-05-02,62042.0,Plush Pillows
82,2021-05-03,62042.0,Plush Pillows
83,2021-05-04,55487.0,Plush Pillows
84,2021-05-05,55487.0,Plush Pillows
85,2021-05-06,55487.0,Plush Pillows
86,2021-05-07,55487.0,Plush Pillows
87,2021-05-08,55487.0,Plush Pillows
88,2021-05-09,55487.0,Plush Pillows
89,2021-05-10,55487.0,Plush Pillows
90,2021-05-11,161278.0,Plush Pillows
91,2021-05-12,161278.0,Plush Pillows
92,2021-05-13,161278.0,Plush Pillows
93,2021-05-14,161278.0,Plush Pillows
94,2021-05-15,161278.0,Plush Pillows
95,2021-05-16,161278.0,Plush Pillows
96,2021-05-17,79981.0,Plush Pillows
97,2021-05-18,79981.0,Plush Pillows
98,2021-05-19,79981.0,Plush Pillows
99,2021-05-20,79981.0,Plush Pillows
100,2021-05-21,79981.0,Plush Pillows
101,2021-05-22,79981.0,Plush Pillows
102,2021-05-23,79981.0,Plush Pillows
103,2021-05-24,57706.0,Plush Pillows
104,2021-05-25,57706.0,Plush Pillows
105,2021-05-26,54216.0,Plush Pillows
106,2021-05-27,54216.0,Plush Pillows
107,2021-05-28,54216.0,Plush Pillows
108,2021-05-29,54216.0,Plush Pillows
109,2021-05-30,54216.0,Plush Pillows
110,2021-05-31,54216.0,Plush Pillows
111,2021-06-01,54216.0,Plush Pillows
112,2021-06-02,76643.0,Plush Pillows
113,2021-06-03,76643.0,Plush Pillows
114,2021-06-04,76643.0,Plush Pillows
115,2021-06-05,76643.0,Plush Pillows
116,2021-06-06,31395.0,Plush Pillows
117,2021-06-07,31395.0,Plush Pillows
118,2021-06-08,25287.0,Plush Pillows
