,date,value,name_B06ZZYDJYL
0,2018-07-13,10092.0,Disposable Cookware
1,2018-07-14,10379.0,Disposable Cookware
2,2018-07-15,10751.0,Disposable Cookware
3,2018-07-16,10751.0,Disposable Cookware
4,2018-07-17,10751.0,Disposable Cookware
5,2018-07-18,10751.0,Disposable Cookware
6,2018-07-19,7896.0,Disposable Cookware
7,2018-07-20,5651.0,Disposable Cookware
8,2018-07-21,7001.0,Disposable Cookware
9,2018-07-22,7090.0,Disposable Cookware
10,2018-07-23,6420.0,Disposable Cookware
11,2018-07-24,4724.0,Disposable Cookware
12,2018-07-25,4724.0,Disposable Cookware
13,2018-07-26,7729.0,Disposable Cookware
14,2018-07-27,7729.0,Disposable Cookware
15,2018-07-28,8251.0,Disposable Cookware
16,2018-07-29,8704.0,Disposable Cookware
17,2018-07-30,8704.0,Disposable Cookware
18,2018-07-31,5597.0,Disposable Cookware
19,2018-08-01,5597.0,Disposable Cookware
20,2018-08-02,5625.0,Disposable Cookware
21,2018-08-03,4025.0,Disposable Cookware
22,2018-08-04,4020.0,Disposable Cookware
23,2018-08-05,6032.0,Disposable Cookware
24,2018-08-06,6032.0,Disposable Cookware
25,2018-08-07,6032.0,Disposable Cookware
26,2018-08-08,6032.0,Disposable Cookware
27,2018-08-09,4406.0,Disposable Cookware
28,2018-08-10,4872.0,Disposable Cookware
29,2018-08-11,4872.0,Disposable Cookware
30,2018-08-12,5777.0,Disposable Cookware
31,2018-08-13,5777.0,Disposable Cookware
32,2018-08-14,6498.0,Disposable Cookware
33,2018-08-15,6498.0,Disposable Cookware
34,2018-08-16,6498.0,Disposable Cookware
35,2018-08-17,6567.0,Disposable Cookware
36,2018-08-18,7732.0,Disposable Cookware
37,2018-08-19,7732.0,Disposable Cookware
38,2018-08-20,7732.0,Disposable Cookware
39,2018-08-21,10173.0,Disposable Cookware
40,2018-08-22,10173.0,Disposable Cookware
41,2018-08-23,5848.0,Disposable Cookware
42,2018-08-24,7189.0,Disposable Cookware
43,2018-08-25,8135.0,Disposable Cookware
44,2018-08-26,8135.0,Disposable Cookware
45,2018-08-27,5443.0,Disposable Cookware
46,2018-08-28,5443.0,Disposable Cookware
47,2018-08-29,5299.0,Disposable Cookware
48,2018-08-30,6022.0,Disposable Cookware
49,2018-08-31,7888.0,Disposable Cookware
50,2018-09-01,7935.0,Disposable Cookware
51,2018-09-02,9984.0,Disposable Cookware
52,2018-09-03,8068.0,Disposable Cookware
53,2018-09-04,9932.0,Disposable Cookware
54,2018-09-05,7467.0,Disposable Cookware
55,2018-09-06,4885.0,Disposable Cookware
56,2018-09-07,5074.0,Disposable Cookware
57,2018-09-08,4002.0,Disposable Cookware
58,2018-09-09,5816.0,Disposable Cookware
59,2018-09-10,8926.0,Disposable Cookware
60,2018-09-11,8926.0,Disposable Cookware
61,2018-09-12,4828.0,Disposable Cookware
62,2018-09-13,6901.0,Disposable Cookware
