,date,value,name_B091MGWN8Q
0,2021-04-06,10110.0,Party Packs
1,2021-04-07,10110.0,Party Packs
2,2021-04-08,8812.0,Party Packs
3,2021-04-09,8812.0,Party Packs
4,2021-04-10,8812.0,Party Packs
5,2021-04-11,10895.0,Party Packs
6,2021-04-12,10895.0,Party Packs
7,2021-04-13,6098.0,Party Packs
8,2021-04-14,6898.0,Party Packs
9,2021-04-15,8125.0,Party Packs
10,2021-04-16,8125.0,Party Packs
11,2021-04-17,8668.0,Party Packs
12,2021-04-18,8668.0,Party Packs
13,2021-04-19,9833.0,Party Packs
14,2021-04-20,9833.0,Party Packs
15,2021-04-21,6876.0,Party Packs
16,2021-04-22,6396.0,Party Packs
17,2021-04-23,6396.0,Party Packs
18,2021-04-24,8817.0,Party Packs
19,2021-04-25,5742.0,Party Packs
20,2021-04-26,8899.0,Party Packs
21,2021-04-27,8899.0,Party Packs
22,2021-04-28,7773.0,Party Packs
23,2021-04-29,6932.0,Party Packs
24,2021-04-30,5625.0,Party Packs
25,2021-05-01,5625.0,Party Packs
26,2021-05-02,8265.0,Party Packs
27,2021-05-03,8265.0,Party Packs
28,2021-05-04,4631.0,Party Packs
29,2021-05-05,4631.0,Party Packs
30,2021-05-06,7497.0,Party Packs
31,2021-05-07,7497.0,Party Packs
32,2021-05-08,7513.0,Party Packs
33,2021-05-09,7513.0,Party Packs
34,2021-05-10,4258.0,Party Packs
35,2021-05-11,4258.0,Party Packs
36,2021-05-12,4258.0,Party Packs
37,2021-05-13,5741.0,Party Packs
38,2021-05-14,5741.0,Party Packs
39,2021-05-15,7285.0,Party Packs
40,2021-05-16,7037.0,Party Packs
41,2021-05-17,7037.0,Party Packs
42,2021-05-18,4422.0,Party Packs
43,2021-05-19,4422.0,Party Packs
44,2021-05-20,6097.0,Party Packs
