,date,value,name_B09179RNHH
0,2021-04-21,74458.0,Stuffed Animals & Teddy Bears
1,2021-04-22,74458.0,Stuffed Animals & Teddy Bears
2,2021-04-23,74458.0,Stuffed Animals & Teddy Bears
3,2021-04-24,88003.0,Stuffed Animals & Teddy Bears
4,2021-04-25,73751.0,Stuffed Animals & Teddy Bears
5,2021-04-26,73751.0,Stuffed Animals & Teddy Bears
6,2021-04-27,27925.0,Stuffed Animals & Teddy Bears
7,2021-04-28,36776.0,Stuffed Animals & Teddy Bears
8,2021-04-29,36776.0,Stuffed Animals & Teddy Bears
9,2021-04-30,36776.0,Stuffed Animals & Teddy Bears
10,2021-05-01,36776.0,Stuffed Animals & Teddy Bears
11,2021-05-02,36776.0,Stuffed Animals & Teddy Bears
12,2021-05-03,30604.0,Stuffed Animals & Teddy Bears
13,2021-05-04,30604.0,Stuffed Animals & Teddy Bears
14,2021-05-05,32165.0,Stuffed Animals & Teddy Bears
15,2021-05-06,48763.0,Stuffed Animals & Teddy Bears
16,2021-05-07,48763.0,Stuffed Animals & Teddy Bears
17,2021-05-08,48763.0,Stuffed Animals & Teddy Bears
18,2021-05-09,48763.0,Stuffed Animals & Teddy Bears
19,2021-05-10,36952.0,Stuffed Animals & Teddy Bears
20,2021-05-11,36952.0,Stuffed Animals & Teddy Bears
21,2021-05-12,36952.0,Stuffed Animals & Teddy Bears
22,2021-05-13,33486.0,Stuffed Animals & Teddy Bears
23,2021-05-14,33486.0,Stuffed Animals & Teddy Bears
24,2021-05-15,33486.0,Stuffed Animals & Teddy Bears
25,2021-05-16,33486.0,Stuffed Animals & Teddy Bears
26,2021-05-17,33486.0,Stuffed Animals & Teddy Bears
27,2021-05-18,33486.0,Stuffed Animals & Teddy Bears
28,2021-05-19,33486.0,Stuffed Animals & Teddy Bears
29,2021-05-20,26087.0,Stuffed Animals & Teddy Bears
30,2021-05-21,26087.0,Stuffed Animals & Teddy Bears
31,2021-05-22,24433.0,Stuffed Animals & Teddy Bears
32,2021-05-23,24433.0,Stuffed Animals & Teddy Bears
33,2021-05-24,24433.0,Stuffed Animals & Teddy Bears
34,2021-05-25,28261.0,Stuffed Animals & Teddy Bears
35,2021-05-26,28261.0,Stuffed Animals & Teddy Bears
36,2021-05-27,28261.0,Stuffed Animals & Teddy Bears
37,2021-05-28,25918.0,Stuffed Animals & Teddy Bears
38,2021-05-29,25918.0,Stuffed Animals & Teddy Bears
39,2021-05-30,25918.0,Stuffed Animals & Teddy Bears
40,2021-05-31,25918.0,Stuffed Animals & Teddy Bears
41,2021-06-01,15022.0,Stuffed Animals & Teddy Bears
42,2021-06-02,15022.0,Stuffed Animals & Teddy Bears
43,2021-06-03,15022.0,Stuffed Animals & Teddy Bears
44,2021-06-04,15022.0,Stuffed Animals & Teddy Bears
45,2021-06-05,21799.0,Stuffed Animals & Teddy Bears
46,2021-06-06,21799.0,Stuffed Animals & Teddy Bears
47,2021-06-07,21799.0,Stuffed Animals & Teddy Bears
48,2021-06-08,19239.0,Stuffed Animals & Teddy Bears
49,2021-06-09,18180.0,Stuffed Animals & Teddy Bears
50,2021-06-10,18180.0,Stuffed Animals & Teddy Bears
51,2021-06-11,18180.0,Stuffed Animals & Teddy Bears
52,2021-06-12,18180.0,Stuffed Animals & Teddy Bears
53,2021-06-13,18180.0,Stuffed Animals & Teddy Bears
54,2021-06-14,33115.0,Stuffed Animals & Teddy Bears
55,2021-06-15,33115.0,Stuffed Animals & Teddy Bears
56,2021-06-16,21483.0,Stuffed Animals & Teddy Bears
57,2021-06-17,21483.0,Stuffed Animals & Teddy Bears
58,2021-06-18,26580.0,Stuffed Animals & Teddy Bears
59,2021-06-19,26580.0,Stuffed Animals & Teddy Bears
60,2021-06-20,30439.0,Stuffed Animals & Teddy Bears
61,2021-06-21,30439.0,Stuffed Animals & Teddy Bears
62,2021-06-22,16105.0,Stuffed Animals & Teddy Bears
63,2021-06-23,16275.0,Stuffed Animals & Teddy Bears
64,2021-06-24,16275.0,Stuffed Animals & Teddy Bears
65,2021-06-25,17397.0,Stuffed Animals & Teddy Bears
66,2021-06-26,18542.0,Stuffed Animals & Teddy Bears
67,2021-06-27,18542.0,Stuffed Animals & Teddy Bears
68,2021-06-28,21865.0,Stuffed Animals & Teddy Bears
69,2021-06-29,27349.0,Stuffed Animals & Teddy Bears
70,2021-06-30,18891.0,Stuffed Animals & Teddy Bears
71,2021-07-01,18891.0,Stuffed Animals & Teddy Bears
72,2021-07-02,18891.0,Stuffed Animals & Teddy Bears
73,2021-07-03,18044.0,Stuffed Animals & Teddy Bears
74,2021-07-04,18044.0,Stuffed Animals & Teddy Bears
75,2021-07-05,18044.0,Stuffed Animals & Teddy Bears
76,2021-07-06,28135.0,Stuffed Animals & Teddy Bears
77,2021-07-07,28135.0,Stuffed Animals & Teddy Bears
78,2021-07-08,18764.0,Stuffed Animals & Teddy Bears
79,2021-07-09,25625.0,Stuffed Animals & Teddy Bears
