,date,value,name_B08J2XTG8N
0,2020-09-19,1418.0,Sanitary Napkins
1,2020-09-20,1418.0,Sanitary Napkins
2,2020-09-21,1418.0,Sanitary Napkins
3,2020-09-22,1318.0,Sanitary Napkins
4,2020-09-23,1318.0,Sanitary Napkins
5,2020-09-24,1285.0,Sanitary Napkins
6,2020-09-25,1412.0,Sanitary Napkins
7,2020-09-26,1412.0,Sanitary Napkins
8,2020-09-27,1412.0,Sanitary Napkins
9,2020-09-28,1637.0,Sanitary Napkins
10,2020-09-29,1637.0,Sanitary Napkins
11,2020-09-30,1650.0,Sanitary Napkins
12,2020-10-01,1650.0,Sanitary Napkins
13,2020-10-02,1650.0,Sanitary Napkins
14,2020-10-03,1650.0,Sanitary Napkins
15,2020-10-04,1654.0,Sanitary Napkins
16,2020-10-05,1654.0,Sanitary Napkins
17,2020-10-06,1485.0,Sanitary Napkins
18,2020-10-07,1485.0,Sanitary Napkins
19,2020-10-08,1472.0,Sanitary Napkins
20,2020-10-09,1472.0,Sanitary Napkins
21,2020-10-10,1427.0,Sanitary Napkins
22,2020-10-11,1427.0,Sanitary Napkins
23,2020-10-12,1331.0,Sanitary Napkins
24,2020-10-13,1331.0,Sanitary Napkins
25,2020-10-14,1331.0,Sanitary Napkins
26,2020-10-15,1331.0,Sanitary Napkins
27,2020-10-16,1331.0,Sanitary Napkins
28,2020-10-17,1453.0,Sanitary Napkins
29,2020-10-18,1453.0,Sanitary Napkins
30,2020-10-19,1453.0,Sanitary Napkins
31,2020-10-20,1509.0,Sanitary Napkins
32,2020-10-21,1509.0,Sanitary Napkins
33,2020-10-22,1450.0,Sanitary Napkins
34,2020-10-23,1450.0,Sanitary Napkins
35,2020-10-24,1450.0,Sanitary Napkins
36,2020-10-25,1489.0,Sanitary Napkins
37,2020-10-26,1489.0,Sanitary Napkins
38,2020-10-27,1544.0,Sanitary Napkins
39,2020-10-28,1544.0,Sanitary Napkins
40,2020-10-29,1544.0,Sanitary Napkins
41,2020-10-30,1480.0,Sanitary Napkins
42,2020-10-31,1580.0,Sanitary Napkins
43,2020-11-01,1422.0,Sanitary Napkins
44,2020-11-02,1422.0,Sanitary Napkins
45,2020-11-03,1493.0,Sanitary Napkins
46,2020-11-04,1493.0,Sanitary Napkins
47,2020-11-05,1554.0,Sanitary Napkins
48,2020-11-06,1554.0,Sanitary Napkins
49,2020-11-07,1393.0,Sanitary Napkins
50,2020-11-08,1393.0,Sanitary Napkins
51,2020-11-09,1647.0,Sanitary Napkins
52,2020-11-10,1647.0,Sanitary Napkins
53,2020-11-11,1622.0,Sanitary Napkins
54,2020-11-12,1622.0,Sanitary Napkins
55,2020-11-13,1622.0,Sanitary Napkins
56,2020-11-14,1677.0,Sanitary Napkins
57,2020-11-15,1489.0,Sanitary Napkins
58,2020-11-16,1489.0,Sanitary Napkins
59,2020-11-17,1489.0,Sanitary Napkins
60,2020-11-18,1618.0,Sanitary Napkins
61,2020-11-19,1618.0,Sanitary Napkins
62,2020-11-20,1618.0,Sanitary Napkins
63,2020-11-21,1618.0,Sanitary Napkins
64,2020-11-22,1446.0,Sanitary Napkins
65,2020-11-23,1405.0,Sanitary Napkins
66,2020-11-24,1443.0,Sanitary Napkins
67,2020-11-25,1453.0,Sanitary Napkins
68,2020-11-26,1525.0,Sanitary Napkins
69,2020-11-27,1525.0,Sanitary Napkins
70,2020-11-28,1525.0,Sanitary Napkins
71,2020-11-29,1885.0,Sanitary Napkins
72,2020-11-30,1885.0,Sanitary Napkins
73,2020-12-01,1885.0,Sanitary Napkins
74,2020-12-02,1885.0,Sanitary Napkins
75,2020-12-03,1885.0,Sanitary Napkins
76,2020-12-04,1663.0,Sanitary Napkins
77,2020-12-05,1663.0,Sanitary Napkins
78,2020-12-06,1663.0,Sanitary Napkins
79,2020-12-07,1862.0,Sanitary Napkins
80,2020-12-08,1927.0,Sanitary Napkins
81,2020-12-09,1965.0,Sanitary Napkins
82,2020-12-10,1931.0,Sanitary Napkins
83,2020-12-11,2047.0,Sanitary Napkins
84,2020-12-12,1954.0,Sanitary Napkins
85,2020-12-13,2113.0,Sanitary Napkins
86,2020-12-14,2091.0,Sanitary Napkins
87,2020-12-15,2259.0,Sanitary Napkins
88,2020-12-16,2146.0,Sanitary Napkins
89,2020-12-17,2214.0,Sanitary Napkins
90,2020-12-18,2082.0,Sanitary Napkins
91,2020-12-19,1995.0,Sanitary Napkins
92,2020-12-20,2020.0,Sanitary Napkins
93,2020-12-21,1795.0,Sanitary Napkins
94,2020-12-22,1877.0,Sanitary Napkins
