,date,value,name_B091YDSKZM
0,2021-04-12,14253.0,Wall & Tabletop Frames
1,2021-04-13,12477.0,Wall & Tabletop Frames
2,2021-04-14,11111.0,Wall & Tabletop Frames
3,2021-04-15,11111.0,Wall & Tabletop Frames
4,2021-04-16,11111.0,Wall & Tabletop Frames
5,2021-04-17,9379.0,Wall & Tabletop Frames
6,2021-04-18,10807.0,Wall & Tabletop Frames
7,2021-04-19,12872.0,Wall & Tabletop Frames
8,2021-04-20,12872.0,Wall & Tabletop Frames
9,2021-04-21,10209.0,Wall & Tabletop Frames
10,2021-04-22,10209.0,Wall & Tabletop Frames
11,2021-04-23,10854.0,Wall & Tabletop Frames
12,2021-04-24,10854.0,Wall & Tabletop Frames
13,2021-04-25,10854.0,Wall & Tabletop Frames
14,2021-04-26,9498.0,Wall & Tabletop Frames
15,2021-04-27,9498.0,Wall & Tabletop Frames
16,2021-04-28,9498.0,Wall & Tabletop Frames
17,2021-04-29,9421.0,Wall & Tabletop Frames
18,2021-04-30,9421.0,Wall & Tabletop Frames
19,2021-05-01,12340.0,Wall & Tabletop Frames
20,2021-05-02,11742.0,Wall & Tabletop Frames
21,2021-05-03,12055.0,Wall & Tabletop Frames
22,2021-05-04,12055.0,Wall & Tabletop Frames
23,2021-05-05,11556.0,Wall & Tabletop Frames
24,2021-05-06,11556.0,Wall & Tabletop Frames
25,2021-05-07,11077.0,Wall & Tabletop Frames
26,2021-05-08,11077.0,Wall & Tabletop Frames
27,2021-05-09,15643.0,Wall & Tabletop Frames
28,2021-05-10,15643.0,Wall & Tabletop Frames
29,2021-05-11,10511.0,Wall & Tabletop Frames
30,2021-05-12,9924.0,Wall & Tabletop Frames
31,2021-05-13,9924.0,Wall & Tabletop Frames
32,2021-05-14,10769.0,Wall & Tabletop Frames
33,2021-05-15,10769.0,Wall & Tabletop Frames
34,2021-05-16,18269.0,Wall & Tabletop Frames
35,2021-05-17,11942.0,Wall & Tabletop Frames
36,2021-05-18,13384.0,Wall & Tabletop Frames
37,2021-05-19,15825.0,Wall & Tabletop Frames
38,2021-05-20,15432.0,Wall & Tabletop Frames
39,2021-05-21,15432.0,Wall & Tabletop Frames
40,2021-05-22,15679.0,Wall & Tabletop Frames
41,2021-05-23,15679.0,Wall & Tabletop Frames
42,2021-05-24,16080.0,Wall & Tabletop Frames
43,2021-05-25,16080.0,Wall & Tabletop Frames
44,2021-05-26,17196.0,Wall & Tabletop Frames
45,2021-05-27,17196.0,Wall & Tabletop Frames
46,2021-05-28,17196.0,Wall & Tabletop Frames
47,2021-05-29,14580.0,Wall & Tabletop Frames
48,2021-05-30,13796.0,Wall & Tabletop Frames
49,2021-05-31,13796.0,Wall & Tabletop Frames
50,2021-06-01,15542.0,Wall & Tabletop Frames
51,2021-06-02,15542.0,Wall & Tabletop Frames
52,2021-06-03,15542.0,Wall & Tabletop Frames
53,2021-06-04,20281.0,Wall & Tabletop Frames
54,2021-06-05,20281.0,Wall & Tabletop Frames
55,2021-06-06,21951.0,Wall & Tabletop Frames
56,2021-06-07,21951.0,Wall & Tabletop Frames
57,2021-06-08,14428.0,Wall & Tabletop Frames
58,2021-06-09,14428.0,Wall & Tabletop Frames
59,2021-06-10,17260.0,Wall & Tabletop Frames
60,2021-06-11,15522.0,Wall & Tabletop Frames
61,2021-06-12,15522.0,Wall & Tabletop Frames
62,2021-06-13,15522.0,Wall & Tabletop Frames
63,2021-06-14,14416.0,Wall & Tabletop Frames
64,2021-06-15,17380.0,Wall & Tabletop Frames
65,2021-06-16,17380.0,Wall & Tabletop Frames
66,2021-06-17,15101.0,Wall & Tabletop Frames
67,2021-06-18,18006.0,Wall & Tabletop Frames
68,2021-06-19,18006.0,Wall & Tabletop Frames
69,2021-06-20,13934.0,Wall & Tabletop Frames
70,2021-06-21,13934.0,Wall & Tabletop Frames
71,2021-06-22,24039.0,Wall & Tabletop Frames
72,2021-06-23,22775.0,Wall & Tabletop Frames
73,2021-06-24,22472.0,Wall & Tabletop Frames
74,2021-06-25,19857.0,Wall & Tabletop Frames
75,2021-06-26,18663.0,Wall & Tabletop Frames
76,2021-06-27,18582.0,Wall & Tabletop Frames
77,2021-06-28,18582.0,Wall & Tabletop Frames
78,2021-06-29,17740.0,Wall & Tabletop Frames
79,2021-06-30,18904.0,Wall & Tabletop Frames
80,2021-07-01,24879.0,Wall & Tabletop Frames
81,2021-07-02,24879.0,Wall & Tabletop Frames
82,2021-07-03,19964.0,Wall & Tabletop Frames
83,2021-07-04,19964.0,Wall & Tabletop Frames
84,2021-07-05,19899.0,Wall & Tabletop Frames
85,2021-07-06,19899.0,Wall & Tabletop Frames
86,2021-07-07,19866.0,Wall & Tabletop Frames
87,2021-07-08,14772.0,Wall & Tabletop Frames
88,2021-07-09,13835.0,Wall & Tabletop Frames
89,2021-07-10,14639.0,Wall & Tabletop Frames
