,date,value,name_B084ST658W
0,2020-02-29,25933.0,Wall & Tabletop Frames
1,2020-03-01,25933.0,Wall & Tabletop Frames
2,2020-03-02,18671.0,Wall & Tabletop Frames
3,2020-03-03,18671.0,Wall & Tabletop Frames
4,2020-03-04,18671.0,Wall & Tabletop Frames
5,2020-03-05,22832.0,Wall & Tabletop Frames
6,2020-03-06,22832.0,Wall & Tabletop Frames
7,2020-03-07,22832.0,Wall & Tabletop Frames
8,2020-03-08,22832.0,Wall & Tabletop Frames
9,2020-03-09,22832.0,Wall & Tabletop Frames
10,2020-03-10,31909.0,Wall & Tabletop Frames
11,2020-03-11,31909.0,Wall & Tabletop Frames
12,2020-03-12,31909.0,Wall & Tabletop Frames
13,2020-03-13,34792.0,Wall & Tabletop Frames
14,2020-03-14,29147.0,Wall & Tabletop Frames
15,2020-03-15,29147.0,Wall & Tabletop Frames
16,2020-03-16,22722.0,Wall & Tabletop Frames
17,2020-03-17,22722.0,Wall & Tabletop Frames
18,2020-03-18,22722.0,Wall & Tabletop Frames
19,2020-03-19,22722.0,Wall & Tabletop Frames
20,2020-03-20,31790.0,Wall & Tabletop Frames
21,2020-03-21,26216.0,Wall & Tabletop Frames
22,2020-03-22,26216.0,Wall & Tabletop Frames
23,2020-03-23,26216.0,Wall & Tabletop Frames
24,2020-03-24,12954.0,Wall & Tabletop Frames
25,2020-03-25,12954.0,Wall & Tabletop Frames
26,2020-03-26,12954.0,Wall & Tabletop Frames
27,2020-03-27,12954.0,Wall & Tabletop Frames
28,2020-03-28,12954.0,Wall & Tabletop Frames
29,2020-03-29,12954.0,Wall & Tabletop Frames
30,2020-03-30,12954.0,Wall & Tabletop Frames
31,2020-03-31,49560.0,Wall & Tabletop Frames
32,2020-04-01,49560.0,Wall & Tabletop Frames
33,2020-04-02,49560.0,Wall & Tabletop Frames
34,2020-04-03,49560.0,Wall & Tabletop Frames
35,2020-04-04,49560.0,Wall & Tabletop Frames
36,2020-04-05,49560.0,Wall & Tabletop Frames
37,2020-04-06,49123.0,Wall & Tabletop Frames
38,2020-04-07,49123.0,Wall & Tabletop Frames
39,2020-04-08,49123.0,Wall & Tabletop Frames
40,2020-04-09,49123.0,Wall & Tabletop Frames
41,2020-04-10,110088.0,Wall & Tabletop Frames
42,2020-04-11,110088.0,Wall & Tabletop Frames
43,2020-04-12,110088.0,Wall & Tabletop Frames
44,2020-04-13,110088.0,Wall & Tabletop Frames
45,2020-04-14,70896.0,Wall & Tabletop Frames
46,2020-04-15,70896.0,Wall & Tabletop Frames
47,2020-04-16,70896.0,Wall & Tabletop Frames
48,2020-04-17,70896.0,Wall & Tabletop Frames
49,2020-04-18,70896.0,Wall & Tabletop Frames
50,2020-04-19,70896.0,Wall & Tabletop Frames
51,2020-04-20,70896.0,Wall & Tabletop Frames
52,2020-04-21,28206.0,Wall & Tabletop Frames
53,2020-04-22,28206.0,Wall & Tabletop Frames
54,2020-04-23,28206.0,Wall & Tabletop Frames
55,2020-04-24,18729.0,Wall & Tabletop Frames
56,2020-04-25,18729.0,Wall & Tabletop Frames
57,2020-04-26,18729.0,Wall & Tabletop Frames
58,2020-04-27,18729.0,Wall & Tabletop Frames
59,2020-04-28,19304.0,Wall & Tabletop Frames
60,2020-04-29,19304.0,Wall & Tabletop Frames
61,2020-04-30,19304.0,Wall & Tabletop Frames
62,2020-05-01,19304.0,Wall & Tabletop Frames
63,2020-05-02,19304.0,Wall & Tabletop Frames
64,2020-05-03,19304.0,Wall & Tabletop Frames
65,2020-05-04,19304.0,Wall & Tabletop Frames
66,2020-05-05,20648.0,Wall & Tabletop Frames
67,2020-05-06,20648.0,Wall & Tabletop Frames
68,2020-05-07,20648.0,Wall & Tabletop Frames
69,2020-05-08,20648.0,Wall & Tabletop Frames
70,2020-05-09,20648.0,Wall & Tabletop Frames
71,2020-05-10,20648.0,Wall & Tabletop Frames
72,2020-05-11,20648.0,Wall & Tabletop Frames
73,2020-05-12,30545.0,Wall & Tabletop Frames
74,2020-05-13,30545.0,Wall & Tabletop Frames
75,2020-05-14,30545.0,Wall & Tabletop Frames
76,2020-05-15,30545.0,Wall & Tabletop Frames
77,2020-05-16,30545.0,Wall & Tabletop Frames
78,2020-05-17,30545.0,Wall & Tabletop Frames
79,2020-05-18,13573.0,Wall & Tabletop Frames
80,2020-05-19,12561.0,Wall & Tabletop Frames
81,2020-05-20,12561.0,Wall & Tabletop Frames
82,2020-05-21,12561.0,Wall & Tabletop Frames
83,2020-05-22,8846.0,Wall & Tabletop Frames
84,2020-05-23,8846.0,Wall & Tabletop Frames
85,2020-05-24,8238.0,Wall & Tabletop Frames
86,2020-05-25,8238.0,Wall & Tabletop Frames
87,2020-05-26,8238.0,Wall & Tabletop Frames
88,2020-05-27,8304.0,Wall & Tabletop Frames
89,2020-05-28,8304.0,Wall & Tabletop Frames
90,2020-05-29,8304.0,Wall & Tabletop Frames
91,2020-05-30,8304.0,Wall & Tabletop Frames
92,2020-05-31,8304.0,Wall & Tabletop Frames
93,2020-06-01,7509.0,Wall & Tabletop Frames
94,2020-06-02,7509.0,Wall & Tabletop Frames
95,2020-06-03,7509.0,Wall & Tabletop Frames
96,2020-06-04,6489.0,Wall & Tabletop Frames
97,2020-06-05,6489.0,Wall & Tabletop Frames
98,2020-06-06,6489.0,Wall & Tabletop Frames
99,2020-06-07,8889.0,Wall & Tabletop Frames
100,2020-06-08,8889.0,Wall & Tabletop Frames
