,date,value,name_B094X3HN6H
0,2021-05-23,6027.0,Shower & Bath Accessories
1,2021-05-24,6027.0,Shower & Bath Accessories
2,2021-05-25,6027.0,Shower & Bath Accessories
3,2021-05-26,6425.0,Shower & Bath Accessories
4,2021-05-27,6694.0,Shower & Bath Accessories
5,2021-05-28,5923.0,Shower & Bath Accessories
6,2021-05-29,7118.0,Shower & Bath Accessories
7,2021-05-30,7118.0,Shower & Bath Accessories
8,2021-05-31,9182.0,Shower & Bath Accessories
9,2021-06-01,9182.0,Shower & Bath Accessories
10,2021-06-02,10290.0,Shower & Bath Accessories
11,2021-06-03,9700.0,Shower & Bath Accessories
12,2021-06-04,9700.0,Shower & Bath Accessories
13,2021-06-05,8533.0,Shower & Bath Accessories
14,2021-06-06,8533.0,Shower & Bath Accessories
15,2021-06-07,9022.0,Shower & Bath Accessories
16,2021-06-08,9022.0,Shower & Bath Accessories
17,2021-06-09,9022.0,Shower & Bath Accessories
18,2021-06-10,10086.0,Shower & Bath Accessories
19,2021-06-11,10086.0,Shower & Bath Accessories
20,2021-06-12,9536.0,Shower & Bath Accessories
21,2021-06-13,9536.0,Shower & Bath Accessories
22,2021-06-14,9536.0,Shower & Bath Accessories
23,2021-06-15,8501.0,Shower & Bath Accessories
24,2021-06-16,11111.0,Shower & Bath Accessories
25,2021-06-17,11111.0,Shower & Bath Accessories
26,2021-06-18,7954.0,Shower & Bath Accessories
27,2021-06-19,7954.0,Shower & Bath Accessories
28,2021-06-20,7954.0,Shower & Bath Accessories
29,2021-06-21,11437.0,Shower & Bath Accessories
30,2021-06-22,14280.0,Shower & Bath Accessories
31,2021-06-23,14723.0,Shower & Bath Accessories
32,2021-06-24,14723.0,Shower & Bath Accessories
33,2021-06-25,14235.0,Shower & Bath Accessories
34,2021-06-26,11367.0,Shower & Bath Accessories
35,2021-06-27,13197.0,Shower & Bath Accessories
36,2021-06-28,13197.0,Shower & Bath Accessories
37,2021-06-29,12803.0,Shower & Bath Accessories
38,2021-06-30,12666.0,Shower & Bath Accessories
39,2021-07-01,12666.0,Shower & Bath Accessories
40,2021-07-02,12666.0,Shower & Bath Accessories
41,2021-07-03,12666.0,Shower & Bath Accessories
42,2021-07-04,12666.0,Shower & Bath Accessories
43,2021-07-05,30595.0,Shower & Bath Accessories
44,2021-07-06,30595.0,Shower & Bath Accessories
45,2021-07-07,30595.0,Shower & Bath Accessories
46,2021-07-08,30595.0,Shower & Bath Accessories
47,2021-07-09,13756.0,Shower & Bath Accessories
