,date,value,name_B08BHCCLTP
0,2021-04-18,3992.0,High Protein
1,2021-04-19,3992.0,High Protein
2,2021-04-20,4745.0,High Protein
3,2021-04-21,4147.0,High Protein
4,2021-04-22,4501.0,High Protein
5,2021-04-23,4501.0,High Protein
6,2021-04-24,4501.0,High Protein
7,2021-04-25,3969.0,High Protein
8,2021-04-26,3617.0,High Protein
9,2021-04-27,3617.0,High Protein
10,2021-04-28,3381.0,High Protein
11,2021-04-29,3381.0,High Protein
12,2021-04-30,3443.0,High Protein
13,2021-05-01,3443.0,High Protein
14,2021-05-02,3443.0,High Protein
15,2021-05-03,3534.0,High Protein
16,2021-05-04,3039.0,High Protein
17,2021-05-05,3394.0,High Protein
18,2021-05-06,3176.0,High Protein
19,2021-05-07,4108.0,High Protein
20,2021-05-08,4108.0,High Protein
21,2021-05-09,4108.0,High Protein
22,2021-05-10,3616.0,High Protein
23,2021-05-11,3616.0,High Protein
24,2021-05-12,3409.0,High Protein
25,2021-05-13,3409.0,High Protein
26,2021-05-14,3964.0,High Protein
27,2021-05-15,4156.0,High Protein
28,2021-05-16,4156.0,High Protein
29,2021-05-17,3910.0,High Protein
30,2021-05-18,3910.0,High Protein
31,2021-05-19,4159.0,High Protein
32,2021-05-20,4159.0,High Protein
33,2021-05-21,3844.0,High Protein
34,2021-05-22,3844.0,High Protein
35,2021-05-23,3952.0,High Protein
36,2021-05-24,3952.0,High Protein
37,2021-05-25,3767.0,High Protein
38,2021-05-26,3767.0,High Protein
39,2021-05-27,3124.0,High Protein
40,2021-05-28,3124.0,High Protein
41,2021-05-29,3388.0,High Protein
42,2021-05-30,3453.0,High Protein
43,2021-05-31,3453.0,High Protein
44,2021-06-01,3998.0,High Protein
45,2021-06-02,3998.0,High Protein
46,2021-06-03,3348.0,High Protein
47,2021-06-04,3348.0,High Protein
48,2021-06-05,3373.0,High Protein
49,2021-06-06,3373.0,High Protein
50,2021-06-07,3019.0,High Protein
51,2021-06-08,3019.0,High Protein
52,2021-06-09,3154.0,High Protein
53,2021-06-10,3154.0,High Protein
54,2021-06-11,3154.0,High Protein
55,2021-06-12,4191.0,High Protein
56,2021-06-13,4191.0,High Protein
57,2021-06-14,3700.0,High Protein
58,2021-06-15,3700.0,High Protein
59,2021-06-16,3476.0,High Protein
60,2021-06-17,3476.0,High Protein
61,2021-06-18,3476.0,High Protein
62,2021-06-19,3604.0,High Protein
63,2021-06-20,3687.0,High Protein
64,2021-06-21,3687.0,High Protein
65,2021-06-22,4058.0,High Protein
66,2021-06-23,4058.0,High Protein
67,2021-06-24,4058.0,High Protein
68,2021-06-25,4058.0,High Protein
69,2021-06-26,3492.0,High Protein
70,2021-06-27,3492.0,High Protein
71,2021-06-28,3504.0,High Protein
72,2021-06-29,3305.0,High Protein
73,2021-06-30,3305.0,High Protein
74,2021-07-01,2883.0,High Protein
75,2021-07-02,2883.0,High Protein
76,2021-07-03,2883.0,High Protein
77,2021-07-04,3320.0,High Protein
78,2021-07-05,3148.0,High Protein
79,2021-07-06,3148.0,High Protein
80,2021-07-07,3304.0,High Protein
81,2021-07-08,3304.0,High Protein
82,2021-07-09,3846.0,High Protein
83,2021-07-10,3846.0,High Protein
84,2021-07-11,3533.0,High Protein
