,date,value,name_B07NJBPF2L
0,2019-02-12,1568.0,Moscow Mule Mugs
1,2019-02-13,1837.0,Moscow Mule Mugs
2,2019-02-14,2160.0,Moscow Mule Mugs
3,2019-02-15,2514.0,Moscow Mule Mugs
4,2019-02-16,2514.0,Moscow Mule Mugs
5,2019-02-17,2069.0,Moscow Mule Mugs
6,2019-02-18,3066.0,Moscow Mule Mugs
7,2019-02-19,2386.0,Moscow Mule Mugs
8,2019-02-20,2386.0,Moscow Mule Mugs
9,2019-02-21,1106.0,Moscow Mule Mugs
10,2019-02-22,1751.0,Moscow Mule Mugs
11,2019-02-23,1779.0,Moscow Mule Mugs
12,2019-02-24,1779.0,Moscow Mule Mugs
13,2019-02-25,1626.0,Moscow Mule Mugs
14,2019-02-26,1491.0,Moscow Mule Mugs
15,2019-02-27,1493.0,Moscow Mule Mugs
16,2019-02-28,1782.0,Moscow Mule Mugs
17,2019-03-01,2219.0,Moscow Mule Mugs
18,2019-03-02,2972.0,Moscow Mule Mugs
19,2019-03-03,2731.0,Moscow Mule Mugs
20,2019-03-04,2731.0,Moscow Mule Mugs
21,2019-03-05,2622.0,Moscow Mule Mugs
22,2019-03-06,2622.0,Moscow Mule Mugs
23,2019-03-07,2622.0,Moscow Mule Mugs
24,2019-03-08,6834.0,Moscow Mule Mugs
25,2019-03-09,4515.0,Moscow Mule Mugs
26,2019-03-10,4515.0,Moscow Mule Mugs
27,2019-03-11,6147.0,Moscow Mule Mugs
28,2019-03-12,2492.0,Moscow Mule Mugs
29,2019-03-13,3563.0,Moscow Mule Mugs
30,2019-03-14,7736.0,Moscow Mule Mugs
31,2019-03-15,5011.0,Moscow Mule Mugs
32,2019-03-16,3163.0,Moscow Mule Mugs
33,2019-03-17,2392.0,Moscow Mule Mugs
34,2019-03-18,2454.0,Moscow Mule Mugs
35,2019-03-19,3014.0,Moscow Mule Mugs
36,2019-03-20,3169.0,Moscow Mule Mugs
37,2019-03-21,4589.0,Moscow Mule Mugs
38,2019-03-22,3620.0,Moscow Mule Mugs
39,2019-03-23,2748.0,Moscow Mule Mugs
40,2019-03-24,1984.0,Moscow Mule Mugs
41,2019-03-25,1984.0,Moscow Mule Mugs
42,2019-03-26,1984.0,Moscow Mule Mugs
43,2019-03-27,2233.0,Moscow Mule Mugs
44,2019-03-28,2072.0,Moscow Mule Mugs
45,2019-03-29,1953.0,Moscow Mule Mugs
46,2019-03-30,1909.0,Moscow Mule Mugs
47,2019-03-31,2456.0,Moscow Mule Mugs
48,2019-04-01,2084.0,Moscow Mule Mugs
49,2019-04-02,2622.0,Moscow Mule Mugs
50,2019-04-03,1418.0,Moscow Mule Mugs
51,2019-04-04,2566.0,Moscow Mule Mugs
52,2019-04-05,2566.0,Moscow Mule Mugs
53,2019-04-06,2873.0,Moscow Mule Mugs
54,2019-04-07,2417.0,Moscow Mule Mugs
55,2019-04-08,3302.0,Moscow Mule Mugs
56,2019-04-09,2609.0,Moscow Mule Mugs
57,2019-04-10,2775.0,Moscow Mule Mugs
58,2019-04-11,2944.0,Moscow Mule Mugs
59,2019-04-12,3556.0,Moscow Mule Mugs
60,2019-04-13,3699.0,Moscow Mule Mugs
61,2019-04-14,5609.0,Moscow Mule Mugs
62,2019-04-15,5301.0,Moscow Mule Mugs
63,2019-04-16,6874.0,Moscow Mule Mugs
64,2019-04-17,6874.0,Moscow Mule Mugs
65,2019-04-18,4424.0,Moscow Mule Mugs
66,2019-04-19,4424.0,Moscow Mule Mugs
67,2019-04-20,4424.0,Moscow Mule Mugs
68,2019-04-21,1004.0,Moscow Mule Mugs
69,2019-04-22,1004.0,Moscow Mule Mugs
70,2019-04-23,3370.0,Moscow Mule Mugs
71,2019-04-24,3370.0,Moscow Mule Mugs
72,2019-04-25,3370.0,Moscow Mule Mugs
73,2019-04-26,3010.0,Moscow Mule Mugs
74,2019-04-27,3010.0,Moscow Mule Mugs
75,2019-04-28,3400.0,Moscow Mule Mugs
76,2019-04-29,2935.0,Moscow Mule Mugs
77,2019-04-30,2935.0,Moscow Mule Mugs
78,2019-05-01,2935.0,Moscow Mule Mugs
79,2019-05-02,2942.0,Moscow Mule Mugs
80,2019-05-03,2942.0,Moscow Mule Mugs
81,2019-05-04,3587.0,Moscow Mule Mugs
82,2019-05-05,3587.0,Moscow Mule Mugs
83,2019-05-06,3206.0,Moscow Mule Mugs
84,2019-05-07,2998.0,Moscow Mule Mugs
85,2019-05-08,3164.0,Moscow Mule Mugs
86,2019-05-09,3152.0,Moscow Mule Mugs
87,2019-05-10,2827.0,Moscow Mule Mugs
88,2019-05-11,2520.0,Moscow Mule Mugs
89,2019-05-12,2457.0,Moscow Mule Mugs
90,2019-05-13,2283.0,Moscow Mule Mugs
91,2019-05-14,3787.0,Moscow Mule Mugs
92,2019-05-15,3640.0,Moscow Mule Mugs
93,2019-05-16,3064.0,Moscow Mule Mugs
94,2019-05-17,4106.0,Moscow Mule Mugs
95,2019-05-18,4073.0,Moscow Mule Mugs
96,2019-05-19,1534.0,Moscow Mule Mugs
97,2019-05-20,2769.0,Moscow Mule Mugs
98,2019-05-21,4539.0,Moscow Mule Mugs
99,2019-05-22,1976.0,Moscow Mule Mugs
100,2019-05-23,2216.0,Moscow Mule Mugs
101,2019-05-24,2264.0,Moscow Mule Mugs
102,2019-05-25,2174.0,Moscow Mule Mugs
103,2019-05-26,3098.0,Moscow Mule Mugs
104,2019-05-27,3460.0,Moscow Mule Mugs
105,2019-05-28,2618.0,Moscow Mule Mugs
106,2019-05-29,3677.0,Moscow Mule Mugs
107,2019-05-30,3677.0,Moscow Mule Mugs
108,2019-05-31,4232.0,Moscow Mule Mugs
109,2019-06-01,3519.0,Moscow Mule Mugs
110,2019-06-02,3519.0,Moscow Mule Mugs
111,2019-06-03,2597.0,Moscow Mule Mugs
112,2019-06-04,2780.0,Moscow Mule Mugs
113,2019-06-05,2929.0,Moscow Mule Mugs
114,2019-06-06,3808.0,Moscow Mule Mugs
115,2019-06-07,3724.0,Moscow Mule Mugs
116,2019-06-08,1479.0,Moscow Mule Mugs
117,2019-06-09,1479.0,Moscow Mule Mugs
118,2019-06-10,1479.0,Moscow Mule Mugs
119,2019-06-11,1479.0,Moscow Mule Mugs
120,2019-06-12,3035.0,Moscow Mule Mugs
121,2019-06-13,3035.0,Moscow Mule Mugs
122,2019-06-14,1773.0,Moscow Mule Mugs
123,2019-06-15,2216.0,Moscow Mule Mugs
124,2019-06-16,2216.0,Moscow Mule Mugs
125,2019-06-17,2276.0,Moscow Mule Mugs
126,2019-06-18,2539.0,Moscow Mule Mugs
127,2019-06-19,2977.0,Moscow Mule Mugs
128,2019-06-20,3322.0,Moscow Mule Mugs
129,2019-06-21,3322.0,Moscow Mule Mugs
130,2019-06-22,2497.0,Moscow Mule Mugs
131,2019-06-23,3123.0,Moscow Mule Mugs
132,2019-06-24,1090.0,Moscow Mule Mugs
133,2019-06-25,2194.0,Moscow Mule Mugs
134,2019-06-26,1661.0,Moscow Mule Mugs
135,2019-06-27,948.0,Moscow Mule Mugs
136,2019-06-28,1846.0,Moscow Mule Mugs
137,2019-06-29,1846.0,Moscow Mule Mugs
138,2019-06-30,1846.0,Moscow Mule Mugs
139,2019-07-01,1978.0,Moscow Mule Mugs
140,2019-07-02,1866.0,Moscow Mule Mugs
141,2019-07-03,2119.0,Moscow Mule Mugs
142,2019-07-04,2140.0,Moscow Mule Mugs
143,2019-07-05,2140.0,Moscow Mule Mugs
144,2019-07-06,1768.0,Moscow Mule Mugs
145,2019-07-07,1679.0,Moscow Mule Mugs
146,2019-07-08,1679.0,Moscow Mule Mugs
147,2019-07-09,2126.0,Moscow Mule Mugs
148,2019-07-10,2126.0,Moscow Mule Mugs
149,2019-07-11,1888.0,Moscow Mule Mugs
150,2019-07-12,1888.0,Moscow Mule Mugs
151,2019-07-13,2075.0,Moscow Mule Mugs
152,2019-07-14,2075.0,Moscow Mule Mugs
153,2019-07-15,2075.0,Moscow Mule Mugs
154,2019-07-16,3387.0,Moscow Mule Mugs
155,2019-07-17,3387.0,Moscow Mule Mugs
156,2019-07-18,409.0,Moscow Mule Mugs
157,2019-07-19,409.0,Moscow Mule Mugs
158,2019-07-20,839.0,Moscow Mule Mugs
159,2019-07-21,839.0,Moscow Mule Mugs
160,2019-07-22,1393.0,Moscow Mule Mugs
161,2019-07-23,1393.0,Moscow Mule Mugs
162,2019-07-24,1393.0,Moscow Mule Mugs
163,2019-07-25,1428.0,Moscow Mule Mugs
164,2019-07-26,1428.0,Moscow Mule Mugs
165,2019-07-27,1439.0,Moscow Mule Mugs
166,2019-07-28,1004.0,Moscow Mule Mugs
167,2019-07-29,1004.0,Moscow Mule Mugs
168,2019-07-30,1480.0,Moscow Mule Mugs
169,2019-07-31,1588.0,Moscow Mule Mugs
170,2019-08-01,1588.0,Moscow Mule Mugs
171,2019-08-02,1072.0,Moscow Mule Mugs
172,2019-08-03,1065.0,Moscow Mule Mugs
173,2019-08-04,1329.0,Moscow Mule Mugs
174,2019-08-05,1329.0,Moscow Mule Mugs
175,2019-08-06,1380.0,Moscow Mule Mugs
176,2019-08-07,1659.0,Moscow Mule Mugs
177,2019-08-08,1881.0,Moscow Mule Mugs
178,2019-08-09,1820.0,Moscow Mule Mugs
179,2019-08-10,1868.0,Moscow Mule Mugs
180,2019-08-11,1555.0,Moscow Mule Mugs
181,2019-08-12,1684.0,Moscow Mule Mugs
182,2019-08-13,1983.0,Moscow Mule Mugs
183,2019-08-14,2494.0,Moscow Mule Mugs
184,2019-08-15,2494.0,Moscow Mule Mugs
185,2019-08-16,2902.0,Moscow Mule Mugs
186,2019-08-17,2835.0,Moscow Mule Mugs
187,2019-08-18,2835.0,Moscow Mule Mugs
188,2019-08-19,5289.0,Moscow Mule Mugs
189,2019-08-20,5289.0,Moscow Mule Mugs
190,2019-08-21,5289.0,Moscow Mule Mugs
191,2019-08-22,5289.0,Moscow Mule Mugs
192,2019-08-23,4181.0,Moscow Mule Mugs
193,2019-08-24,2487.0,Moscow Mule Mugs
194,2019-08-25,2650.0,Moscow Mule Mugs
195,2019-08-26,2141.0,Moscow Mule Mugs
196,2019-08-27,2141.0,Moscow Mule Mugs
197,2019-08-28,2141.0,Moscow Mule Mugs
198,2019-08-29,2141.0,Moscow Mule Mugs
199,2019-08-30,3501.0,Moscow Mule Mugs
200,2019-08-31,3501.0,Moscow Mule Mugs
201,2019-09-01,3570.0,Moscow Mule Mugs
202,2019-09-02,3570.0,Moscow Mule Mugs
203,2019-09-03,2690.0,Moscow Mule Mugs
204,2019-09-04,2084.0,Moscow Mule Mugs
205,2019-09-05,3559.0,Moscow Mule Mugs
206,2019-09-06,4218.0,Moscow Mule Mugs
207,2019-09-07,3210.0,Moscow Mule Mugs
208,2019-09-08,3636.0,Moscow Mule Mugs
209,2019-09-09,3636.0,Moscow Mule Mugs
210,2019-09-10,3636.0,Moscow Mule Mugs
211,2019-09-11,2128.0,Moscow Mule Mugs
212,2019-09-12,2014.0,Moscow Mule Mugs
213,2019-09-13,1752.0,Moscow Mule Mugs
214,2019-09-14,1711.0,Moscow Mule Mugs
215,2019-09-15,1195.0,Moscow Mule Mugs
216,2019-09-16,1405.0,Moscow Mule Mugs
217,2019-09-17,2522.0,Moscow Mule Mugs
218,2019-09-18,3477.0,Moscow Mule Mugs
219,2019-09-19,3034.0,Moscow Mule Mugs
220,2019-09-20,3363.0,Moscow Mule Mugs
221,2019-09-21,4320.0,Moscow Mule Mugs
222,2019-09-22,3543.0,Moscow Mule Mugs
223,2019-09-23,3276.0,Moscow Mule Mugs
224,2019-09-24,4447.0,Moscow Mule Mugs
225,2019-09-25,4006.0,Moscow Mule Mugs
226,2019-09-26,3755.0,Moscow Mule Mugs
227,2019-09-27,4563.0,Moscow Mule Mugs
228,2019-09-28,3045.0,Moscow Mule Mugs
229,2019-09-29,2612.0,Moscow Mule Mugs
230,2019-09-30,3027.0,Moscow Mule Mugs
231,2019-10-01,3903.0,Moscow Mule Mugs
232,2019-10-02,3823.0,Moscow Mule Mugs
233,2019-10-03,4521.0,Moscow Mule Mugs
234,2019-10-04,4535.0,Moscow Mule Mugs
235,2019-10-05,4535.0,Moscow Mule Mugs
236,2019-10-06,3539.0,Moscow Mule Mugs
237,2019-10-07,3539.0,Moscow Mule Mugs
238,2019-10-08,6859.0,Moscow Mule Mugs
239,2019-10-09,4027.0,Moscow Mule Mugs
240,2019-10-10,3037.0,Moscow Mule Mugs
241,2019-10-11,3037.0,Moscow Mule Mugs
242,2019-10-12,3638.0,Moscow Mule Mugs
243,2019-10-13,4307.0,Moscow Mule Mugs
244,2019-10-14,4307.0,Moscow Mule Mugs
245,2019-10-15,5238.0,Moscow Mule Mugs
246,2019-10-16,5502.0,Moscow Mule Mugs
247,2019-10-17,5615.0,Moscow Mule Mugs
248,2019-10-18,7724.0,Moscow Mule Mugs
249,2019-10-19,7294.0,Moscow Mule Mugs
250,2019-10-20,6485.0,Moscow Mule Mugs
251,2019-10-21,5945.0,Moscow Mule Mugs
252,2019-10-22,7173.0,Moscow Mule Mugs
253,2019-10-23,7173.0,Moscow Mule Mugs
254,2019-10-24,6850.0,Moscow Mule Mugs
255,2019-10-25,6068.0,Moscow Mule Mugs
256,2019-10-26,6068.0,Moscow Mule Mugs
257,2019-10-27,5834.0,Moscow Mule Mugs
258,2019-10-28,7069.0,Moscow Mule Mugs
259,2019-10-29,7069.0,Moscow Mule Mugs
260,2019-10-30,7988.0,Moscow Mule Mugs
261,2019-10-31,4167.0,Moscow Mule Mugs
262,2019-11-01,5525.0,Moscow Mule Mugs
263,2019-11-02,4912.0,Moscow Mule Mugs
264,2019-11-03,4912.0,Moscow Mule Mugs
265,2019-11-04,4912.0,Moscow Mule Mugs
266,2019-11-05,5431.0,Moscow Mule Mugs
267,2019-11-06,5431.0,Moscow Mule Mugs
268,2019-11-07,6389.0,Moscow Mule Mugs
269,2019-11-08,6389.0,Moscow Mule Mugs
270,2019-11-09,6389.0,Moscow Mule Mugs
271,2019-11-10,3096.0,Moscow Mule Mugs
272,2019-11-11,3096.0,Moscow Mule Mugs
273,2019-11-12,3096.0,Moscow Mule Mugs
274,2019-11-13,3260.0,Moscow Mule Mugs
275,2019-11-14,3260.0,Moscow Mule Mugs
276,2019-11-15,2531.0,Moscow Mule Mugs
277,2019-11-16,2531.0,Moscow Mule Mugs
278,2019-11-17,2531.0,Moscow Mule Mugs
279,2019-11-18,2531.0,Moscow Mule Mugs
280,2019-11-19,2531.0,Moscow Mule Mugs
281,2019-11-20,2948.0,Moscow Mule Mugs
282,2019-11-21,3442.0,Moscow Mule Mugs
283,2019-11-22,3442.0,Moscow Mule Mugs
284,2019-11-23,2472.0,Moscow Mule Mugs
285,2019-11-24,2472.0,Moscow Mule Mugs
286,2019-11-25,2022.0,Moscow Mule Mugs
287,2019-11-26,2025.0,Moscow Mule Mugs
288,2019-11-27,2025.0,Moscow Mule Mugs
289,2019-11-28,2025.0,Moscow Mule Mugs
290,2019-11-29,922.0,Moscow Mule Mugs
291,2019-11-30,777.0,Moscow Mule Mugs
292,2019-12-01,1037.0,Moscow Mule Mugs
293,2019-12-02,1524.0,Moscow Mule Mugs
294,2019-12-03,1524.0,Moscow Mule Mugs
295,2019-12-04,988.0,Moscow Mule Mugs
296,2019-12-05,988.0,Moscow Mule Mugs
297,2019-12-06,988.0,Moscow Mule Mugs
298,2019-12-07,988.0,Moscow Mule Mugs
299,2019-12-08,988.0,Moscow Mule Mugs
300,2019-12-09,1240.0,Moscow Mule Mugs
301,2019-12-10,1240.0,Moscow Mule Mugs
302,2019-12-11,1240.0,Moscow Mule Mugs
303,2019-12-12,426.0,Moscow Mule Mugs
304,2019-12-13,426.0,Moscow Mule Mugs
305,2019-12-14,426.0,Moscow Mule Mugs
306,2019-12-15,350.0,Moscow Mule Mugs
307,2019-12-16,350.0,Moscow Mule Mugs
308,2019-12-17,350.0,Moscow Mule Mugs
309,2019-12-18,493.0,Moscow Mule Mugs
310,2019-12-19,493.0,Moscow Mule Mugs
311,2019-12-20,614.0,Moscow Mule Mugs
312,2019-12-21,596.0,Moscow Mule Mugs
313,2019-12-22,596.0,Moscow Mule Mugs
314,2019-12-23,517.0,Moscow Mule Mugs
315,2019-12-24,523.0,Moscow Mule Mugs
316,2019-12-25,567.0,Moscow Mule Mugs
317,2019-12-26,784.0,Moscow Mule Mugs
318,2019-12-27,1032.0,Moscow Mule Mugs
319,2019-12-28,1032.0,Moscow Mule Mugs
320,2019-12-29,1032.0,Moscow Mule Mugs
321,2019-12-30,1649.0,Moscow Mule Mugs
322,2019-12-31,1649.0,Moscow Mule Mugs
323,2020-01-01,1649.0,Moscow Mule Mugs
324,2020-01-02,1649.0,Moscow Mule Mugs
325,2020-01-03,2248.0,Moscow Mule Mugs
326,2020-01-04,2248.0,Moscow Mule Mugs
327,2020-01-05,2248.0,Moscow Mule Mugs
328,2020-01-06,2772.0,Moscow Mule Mugs
329,2020-01-07,2772.0,Moscow Mule Mugs
330,2020-01-08,3681.0,Moscow Mule Mugs
331,2020-01-09,3608.0,Moscow Mule Mugs
332,2020-01-10,3608.0,Moscow Mule Mugs
333,2020-01-11,4486.0,Moscow Mule Mugs
334,2020-01-12,4486.0,Moscow Mule Mugs
335,2020-01-13,4486.0,Moscow Mule Mugs
336,2020-01-14,4882.0,Moscow Mule Mugs
337,2020-01-15,4882.0,Moscow Mule Mugs
338,2020-01-16,4882.0,Moscow Mule Mugs
339,2020-01-17,4882.0,Moscow Mule Mugs
340,2020-01-18,4882.0,Moscow Mule Mugs
341,2020-01-19,4882.0,Moscow Mule Mugs
342,2020-01-20,3904.0,Moscow Mule Mugs
343,2020-01-21,3904.0,Moscow Mule Mugs
