,date,value,name_B085WD69PW
0,2020-03-16,20852.0,Panels
1,2020-03-17,20852.0,Panels
2,2020-03-18,20852.0,Panels
3,2020-03-19,20852.0,Panels
4,2020-03-20,20852.0,Panels
5,2020-03-21,20852.0,Panels
6,2020-03-22,20852.0,Panels
7,2020-03-23,22201.0,Panels
8,2020-03-24,22201.0,Panels
9,2020-03-25,22201.0,Panels
10,2020-03-26,22201.0,Panels
11,2020-03-27,22201.0,Panels
12,2020-03-28,22201.0,Panels
13,2020-03-29,20320.0,Panels
14,2020-03-30,20320.0,Panels
15,2020-03-31,20320.0,Panels
16,2020-04-01,18262.0,Panels
17,2020-04-02,18262.0,Panels
18,2020-04-03,18262.0,Panels
19,2020-04-04,18262.0,Panels
20,2020-04-05,18262.0,Panels
21,2020-04-06,18262.0,Panels
22,2020-04-07,24100.0,Panels
23,2020-04-08,24100.0,Panels
24,2020-04-09,24100.0,Panels
25,2020-04-10,24100.0,Panels
26,2020-04-11,24100.0,Panels
27,2020-04-12,24100.0,Panels
28,2020-04-13,24100.0,Panels
29,2020-04-14,24100.0,Panels
30,2020-04-15,24100.0,Panels
31,2020-04-16,19637.0,Panels
32,2020-04-17,19637.0,Panels
33,2020-04-18,19637.0,Panels
34,2020-04-19,19637.0,Panels
35,2020-04-20,13924.0,Panels
36,2020-04-21,13924.0,Panels
37,2020-04-22,13924.0,Panels
38,2020-04-23,18986.0,Panels
39,2020-04-24,18986.0,Panels
40,2020-04-25,24117.0,Panels
41,2020-04-26,24117.0,Panels
42,2020-04-27,24117.0,Panels
43,2020-04-28,14789.0,Panels
44,2020-04-29,14789.0,Panels
45,2020-04-30,14789.0,Panels
46,2020-05-01,14789.0,Panels
47,2020-05-02,19342.0,Panels
48,2020-05-03,19342.0,Panels
49,2020-05-04,19342.0,Panels
50,2020-05-05,19342.0,Panels
51,2020-05-06,19342.0,Panels
52,2020-05-07,19634.0,Panels
53,2020-05-08,19634.0,Panels
54,2020-05-09,19634.0,Panels
55,2020-05-10,19634.0,Panels
56,2020-05-11,19634.0,Panels
57,2020-05-12,15754.0,Panels
58,2020-05-13,15754.0,Panels
59,2020-05-14,15754.0,Panels
60,2020-05-15,17384.0,Panels
61,2020-05-16,17384.0,Panels
62,2020-05-17,17384.0,Panels
63,2020-05-18,17384.0,Panels
64,2020-05-19,17384.0,Panels
65,2020-05-20,25648.0,Panels
66,2020-05-21,25648.0,Panels
67,2020-05-22,21581.0,Panels
68,2020-05-23,21581.0,Panels
69,2020-05-24,21581.0,Panels
70,2020-05-25,21581.0,Panels
71,2020-05-26,21581.0,Panels
72,2020-05-27,21727.0,Panels
73,2020-05-28,21727.0,Panels
74,2020-05-29,21727.0,Panels
75,2020-05-30,21727.0,Panels
76,2020-05-31,21727.0,Panels
77,2020-06-01,21727.0,Panels
78,2020-06-02,18618.0,Panels
79,2020-06-03,18618.0,Panels
