,date,value,name_B07WSMD3CC
144,2020-01-12,62986.0,Balance Bikes
145,2020-01-13,62986.0,Balance Bikes
146,2020-01-14,27892.0,Balance Bikes
147,2020-01-15,27892.0,Balance Bikes
148,2020-01-16,27892.0,Balance Bikes
149,2020-01-17,27892.0,Balance Bikes
150,2020-01-18,27892.0,Balance Bikes
151,2020-01-19,27892.0,Balance Bikes
152,2020-01-20,27892.0,Balance Bikes
153,2020-01-21,30766.0,Balance Bikes
154,2020-01-22,30766.0,Balance Bikes
155,2020-01-23,30766.0,Balance Bikes
156,2020-01-24,30766.0,Balance Bikes
157,2020-01-25,30766.0,Balance Bikes
158,2020-01-26,30766.0,Balance Bikes
159,2020-01-27,30766.0,Balance Bikes
160,2020-01-28,30766.0,Balance Bikes
161,2020-01-29,27857.0,Balance Bikes
162,2020-01-30,27857.0,Balance Bikes
163,2020-01-31,27857.0,Balance Bikes
164,2020-02-01,27857.0,Balance Bikes
165,2020-02-02,27857.0,Balance Bikes
166,2020-02-03,27857.0,Balance Bikes
167,2020-02-04,27857.0,Balance Bikes
168,2020-02-05,27857.0,Balance Bikes
169,2020-02-06,17299.0,Balance Bikes
170,2020-02-07,17299.0,Balance Bikes
171,2020-02-08,17299.0,Balance Bikes
172,2020-02-09,17299.0,Balance Bikes
173,2020-02-10,17299.0,Balance Bikes
174,2020-02-11,26270.0,Balance Bikes
175,2020-02-12,26270.0,Balance Bikes
176,2020-02-13,26270.0,Balance Bikes
177,2020-02-14,26270.0,Balance Bikes
178,2020-02-15,26270.0,Balance Bikes
179,2020-02-16,26270.0,Balance Bikes
180,2020-02-17,19952.0,Balance Bikes
181,2020-02-18,19952.0,Balance Bikes
182,2020-02-19,19952.0,Balance Bikes
183,2020-02-20,19952.0,Balance Bikes
184,2020-02-21,14086.0,Balance Bikes
185,2020-02-22,14086.0,Balance Bikes
186,2020-02-23,20026.0,Balance Bikes
187,2020-02-24,20026.0,Balance Bikes
188,2020-02-25,20026.0,Balance Bikes
189,2020-02-26,16836.0,Balance Bikes
190,2020-02-27,16836.0,Balance Bikes
191,2020-02-28,16836.0,Balance Bikes
192,2020-02-29,16836.0,Balance Bikes
193,2020-03-01,16836.0,Balance Bikes
194,2020-03-02,16836.0,Balance Bikes
195,2020-03-03,18606.0,Balance Bikes
196,2020-03-04,18606.0,Balance Bikes
197,2020-03-05,24281.0,Balance Bikes
198,2020-03-06,24281.0,Balance Bikes
199,2020-03-07,24281.0,Balance Bikes
200,2020-03-08,24281.0,Balance Bikes
201,2020-03-09,24281.0,Balance Bikes
202,2020-03-10,24281.0,Balance Bikes
203,2020-03-11,24281.0,Balance Bikes
204,2020-03-12,-1.0,Balance Bikes
