,date,value,name_B08YY8LXTD
0,2021-03-19,65523.0,Pond Liners & Seals
1,2021-03-20,65523.0,Pond Liners & Seals
2,2021-03-21,65523.0,Pond Liners & Seals
3,2021-03-22,65523.0,Pond Liners & Seals
4,2021-03-23,65523.0,Pond Liners & Seals
5,2021-03-24,244450.0,Pond Liners & Seals
6,2021-03-25,244450.0,Pond Liners & Seals
7,2021-03-26,244450.0,Pond Liners & Seals
8,2021-03-27,244450.0,Pond Liners & Seals
9,2021-03-28,244450.0,Pond Liners & Seals
10,2021-03-29,244450.0,Pond Liners & Seals
11,2021-03-30,244450.0,Pond Liners & Seals
12,2021-03-31,244450.0,Pond Liners & Seals
13,2021-04-01,244450.0,Pond Liners & Seals
14,2021-04-02,244450.0,Pond Liners & Seals
15,2021-04-03,244450.0,Pond Liners & Seals
16,2021-04-04,244450.0,Pond Liners & Seals
17,2021-04-05,244450.0,Pond Liners & Seals
18,2021-04-06,244450.0,Pond Liners & Seals
19,2021-04-07,244450.0,Pond Liners & Seals
20,2021-04-08,49045.0,Pond Liners & Seals
21,2021-04-09,49045.0,Pond Liners & Seals
22,2021-04-10,36342.0,Pond Liners & Seals
23,2021-04-11,36342.0,Pond Liners & Seals
24,2021-04-12,36342.0,Pond Liners & Seals
25,2021-04-13,36342.0,Pond Liners & Seals
26,2021-04-14,36342.0,Pond Liners & Seals
27,2021-04-15,46136.0,Pond Liners & Seals
28,2021-04-16,46136.0,Pond Liners & Seals
29,2021-04-17,46136.0,Pond Liners & Seals
30,2021-04-18,32759.0,Pond Liners & Seals
31,2021-04-19,32759.0,Pond Liners & Seals
32,2021-04-20,28564.0,Pond Liners & Seals
33,2021-04-21,46941.0,Pond Liners & Seals
34,2021-04-22,46941.0,Pond Liners & Seals
35,2021-04-23,46941.0,Pond Liners & Seals
36,2021-04-24,46941.0,Pond Liners & Seals
37,2021-04-25,46941.0,Pond Liners & Seals
38,2021-04-26,24560.0,Pond Liners & Seals
39,2021-04-27,24560.0,Pond Liners & Seals
40,2021-04-28,24560.0,Pond Liners & Seals
41,2021-04-29,12971.0,Pond Liners & Seals
42,2021-04-30,12971.0,Pond Liners & Seals
43,2021-05-01,12971.0,Pond Liners & Seals
44,2021-05-02,12971.0,Pond Liners & Seals
