,date,value,name_B08M6J6CN3
0,2020-11-23,24896.0,Filter Accessories
1,2020-11-24,24896.0,Filter Accessories
2,2020-11-25,24896.0,Filter Accessories
3,2020-11-26,19048.0,Filter Accessories
4,2020-11-27,19048.0,Filter Accessories
5,2020-11-28,19048.0,Filter Accessories
6,2020-11-29,19048.0,Filter Accessories
7,2020-11-30,19048.0,Filter Accessories
8,2020-12-01,19048.0,Filter Accessories
9,2020-12-02,19048.0,Filter Accessories
10,2020-12-03,17202.0,Filter Accessories
11,2020-12-04,17202.0,Filter Accessories
12,2020-12-05,17202.0,Filter Accessories
13,2020-12-06,17202.0,Filter Accessories
14,2020-12-07,17202.0,Filter Accessories
15,2020-12-08,23529.0,Filter Accessories
16,2020-12-09,23529.0,Filter Accessories
17,2020-12-10,32236.0,Filter Accessories
18,2020-12-11,32236.0,Filter Accessories
19,2020-12-12,32236.0,Filter Accessories
20,2020-12-13,32236.0,Filter Accessories
21,2020-12-14,32236.0,Filter Accessories
22,2020-12-15,19577.0,Filter Accessories
23,2020-12-16,19577.0,Filter Accessories
24,2020-12-17,19577.0,Filter Accessories
25,2020-12-18,20623.0,Filter Accessories
26,2020-12-19,20623.0,Filter Accessories
27,2020-12-20,20623.0,Filter Accessories
28,2020-12-21,14271.0,Filter Accessories
29,2020-12-22,14271.0,Filter Accessories
30,2020-12-23,14271.0,Filter Accessories
31,2020-12-24,14271.0,Filter Accessories
32,2020-12-25,14324.0,Filter Accessories
33,2020-12-26,14324.0,Filter Accessories
34,2020-12-27,14324.0,Filter Accessories
35,2020-12-28,14324.0,Filter Accessories
36,2020-12-29,14324.0,Filter Accessories
37,2020-12-30,14324.0,Filter Accessories
38,2020-12-31,12155.0,Filter Accessories
39,2021-01-01,9933.0,Filter Accessories
40,2021-01-02,6146.0,Filter Accessories
41,2021-01-03,6146.0,Filter Accessories
42,2021-01-04,6146.0,Filter Accessories
43,2021-01-05,8069.0,Filter Accessories
44,2021-01-06,8069.0,Filter Accessories
45,2021-01-07,8069.0,Filter Accessories
46,2021-01-08,6748.0,Filter Accessories
47,2021-01-09,6748.0,Filter Accessories
48,2021-01-10,6748.0,Filter Accessories
49,2021-01-11,6915.0,Filter Accessories
50,2021-01-12,6555.0,Filter Accessories
51,2021-01-13,6555.0,Filter Accessories
52,2021-01-14,12228.0,Filter Accessories
53,2021-01-15,12228.0,Filter Accessories
54,2021-01-16,12227.0,Filter Accessories
55,2021-01-17,8241.0,Filter Accessories
56,2021-01-18,8241.0,Filter Accessories
57,2021-01-19,12634.0,Filter Accessories
58,2021-01-20,19370.0,Filter Accessories
59,2021-01-21,19370.0,Filter Accessories
60,2021-01-22,30135.0,Filter Accessories
61,2021-01-23,37412.0,Filter Accessories
62,2021-01-24,37412.0,Filter Accessories
63,2021-01-25,27943.0,Filter Accessories
64,2021-01-26,27943.0,Filter Accessories
65,2021-01-27,27943.0,Filter Accessories
66,2021-01-28,27943.0,Filter Accessories
67,2021-01-29,27943.0,Filter Accessories
68,2021-01-30,8927.0,Filter Accessories
69,2021-01-31,8927.0,Filter Accessories
70,2021-02-01,6989.0,Filter Accessories
71,2021-02-02,6989.0,Filter Accessories
72,2021-02-03,6989.0,Filter Accessories
73,2021-02-04,5781.0,Filter Accessories
74,2021-02-05,5781.0,Filter Accessories
75,2021-02-06,5781.0,Filter Accessories
76,2021-02-07,8104.0,Filter Accessories
77,2021-02-08,8104.0,Filter Accessories
78,2021-02-09,8104.0,Filter Accessories
79,2021-02-10,7209.0,Filter Accessories
80,2021-02-11,7209.0,Filter Accessories
81,2021-02-12,7209.0,Filter Accessories
82,2021-02-13,7209.0,Filter Accessories
83,2021-02-14,7780.0,Filter Accessories
84,2021-02-15,7399.0,Filter Accessories
85,2021-02-16,7399.0,Filter Accessories
86,2021-02-17,7399.0,Filter Accessories
87,2021-02-18,7399.0,Filter Accessories
88,2021-02-19,7399.0,Filter Accessories
89,2021-02-20,7399.0,Filter Accessories
90,2021-02-21,9018.0,Filter Accessories
91,2021-02-22,9018.0,Filter Accessories
92,2021-02-23,9018.0,Filter Accessories
93,2021-02-24,7645.0,Filter Accessories
94,2021-02-25,7645.0,Filter Accessories
95,2021-02-26,8669.0,Filter Accessories
96,2021-02-27,8669.0,Filter Accessories
97,2021-02-28,6202.0,Filter Accessories
98,2021-03-01,6202.0,Filter Accessories
99,2021-03-02,6202.0,Filter Accessories
100,2021-03-03,6202.0,Filter Accessories
101,2021-03-04,6202.0,Filter Accessories
102,2021-03-05,6202.0,Filter Accessories
103,2021-03-06,9342.0,Filter Accessories
104,2021-03-07,9342.0,Filter Accessories
105,2021-03-08,9342.0,Filter Accessories
106,2021-03-09,7855.0,Filter Accessories
107,2021-03-10,7855.0,Filter Accessories
108,2021-03-11,7855.0,Filter Accessories
109,2021-03-12,6052.0,Filter Accessories
110,2021-03-13,6052.0,Filter Accessories
111,2021-03-14,6052.0,Filter Accessories
112,2021-03-15,6052.0,Filter Accessories
113,2021-03-16,6718.0,Filter Accessories
114,2021-03-17,6718.0,Filter Accessories
115,2021-03-18,6718.0,Filter Accessories
116,2021-03-19,6718.0,Filter Accessories
117,2021-03-20,6961.0,Filter Accessories
118,2021-03-21,6961.0,Filter Accessories
119,2021-03-22,6961.0,Filter Accessories
120,2021-03-23,6961.0,Filter Accessories
121,2021-03-24,4580.0,Filter Accessories
122,2021-03-25,4580.0,Filter Accessories
123,2021-03-26,4580.0,Filter Accessories
124,2021-03-27,4580.0,Filter Accessories
125,2021-03-28,5840.0,Filter Accessories
126,2021-03-29,5840.0,Filter Accessories
127,2021-03-30,5840.0,Filter Accessories
128,2021-03-31,5706.0,Filter Accessories
129,2021-04-01,5706.0,Filter Accessories
130,2021-04-02,5706.0,Filter Accessories
131,2021-04-03,5689.0,Filter Accessories
132,2021-04-04,5689.0,Filter Accessories
133,2021-04-05,5837.0,Filter Accessories
134,2021-04-06,5709.0,Filter Accessories
135,2021-04-07,4790.0,Filter Accessories
136,2021-04-08,4869.0,Filter Accessories
137,2021-04-09,5028.0,Filter Accessories
138,2021-04-10,5398.0,Filter Accessories
139,2021-04-11,5912.0,Filter Accessories
140,2021-04-12,5912.0,Filter Accessories
141,2021-04-13,4158.0,Filter Accessories
142,2021-04-14,4158.0,Filter Accessories
143,2021-04-15,4158.0,Filter Accessories
144,2021-04-16,5747.0,Filter Accessories
145,2021-04-17,5747.0,Filter Accessories
146,2021-04-18,5023.0,Filter Accessories
147,2021-04-19,5023.0,Filter Accessories
148,2021-04-20,4448.0,Filter Accessories
149,2021-04-21,4870.0,Filter Accessories
150,2021-04-22,5009.0,Filter Accessories
151,2021-04-23,5277.0,Filter Accessories
152,2021-04-24,5277.0,Filter Accessories
153,2021-04-25,4518.0,Filter Accessories
154,2021-04-26,4518.0,Filter Accessories
155,2021-04-27,4518.0,Filter Accessories
156,2021-04-28,4036.0,Filter Accessories
157,2021-04-29,4036.0,Filter Accessories
158,2021-04-30,4128.0,Filter Accessories
159,2021-05-01,4782.0,Filter Accessories
160,2021-05-02,4782.0,Filter Accessories
161,2021-05-03,4782.0,Filter Accessories
162,2021-05-04,6737.0,Filter Accessories
163,2021-05-05,6737.0,Filter Accessories
164,2021-05-06,6737.0,Filter Accessories
165,2021-05-07,7018.0,Filter Accessories
166,2021-05-08,7018.0,Filter Accessories
167,2021-05-09,7018.0,Filter Accessories
168,2021-05-10,5592.0,Filter Accessories
169,2021-05-11,6903.0,Filter Accessories
170,2021-05-12,6903.0,Filter Accessories
171,2021-05-13,6903.0,Filter Accessories
172,2021-05-14,5736.0,Filter Accessories
173,2021-05-15,5736.0,Filter Accessories
174,2021-05-16,6000.0,Filter Accessories
175,2021-05-17,6376.0,Filter Accessories
176,2021-05-18,6376.0,Filter Accessories
177,2021-05-19,4953.0,Filter Accessories
178,2021-05-20,4334.0,Filter Accessories
179,2021-05-21,4334.0,Filter Accessories
180,2021-05-22,4334.0,Filter Accessories
181,2021-05-23,4218.0,Filter Accessories
182,2021-05-24,4507.0,Filter Accessories
183,2021-05-25,4507.0,Filter Accessories
184,2021-05-26,4403.0,Filter Accessories
185,2021-05-27,4403.0,Filter Accessories
186,2021-05-28,4670.0,Filter Accessories
187,2021-05-29,4670.0,Filter Accessories
188,2021-05-30,4670.0,Filter Accessories
189,2021-05-31,4670.0,Filter Accessories
190,2021-06-01,4670.0,Filter Accessories
191,2021-06-02,4349.0,Filter Accessories
192,2021-06-03,4349.0,Filter Accessories
193,2021-06-04,4349.0,Filter Accessories
194,2021-06-05,4349.0,Filter Accessories
