,date,value,name_B07H8B9FMZ
0,2020-05-26,1286.0,Vest Harnesses
1,2020-05-27,1251.0,Vest Harnesses
2,2020-05-28,1348.0,Vest Harnesses
3,2020-05-29,1348.0,Vest Harnesses
4,2020-05-30,1367.0,Vest Harnesses
5,2020-05-31,1303.0,Vest Harnesses
6,2020-06-01,1235.0,Vest Harnesses
7,2020-06-02,1449.0,Vest Harnesses
8,2020-06-03,1252.0,Vest Harnesses
9,2020-06-04,1104.0,Vest Harnesses
10,2020-06-05,1104.0,Vest Harnesses
11,2020-06-06,1104.0,Vest Harnesses
12,2020-06-07,1240.0,Vest Harnesses
13,2020-06-08,1090.0,Vest Harnesses
14,2020-06-09,1090.0,Vest Harnesses
15,2020-06-10,1270.0,Vest Harnesses
16,2020-06-11,1382.0,Vest Harnesses
17,2020-06-12,1382.0,Vest Harnesses
18,2020-06-13,939.0,Vest Harnesses
19,2020-06-14,939.0,Vest Harnesses
20,2020-06-15,1054.0,Vest Harnesses
21,2020-06-16,1070.0,Vest Harnesses
22,2020-06-17,1153.0,Vest Harnesses
23,2020-06-18,1017.0,Vest Harnesses
24,2020-06-19,848.0,Vest Harnesses
25,2020-06-20,848.0,Vest Harnesses
26,2020-06-21,848.0,Vest Harnesses
27,2020-06-22,893.0,Vest Harnesses
28,2020-06-23,893.0,Vest Harnesses
29,2020-06-24,666.0,Vest Harnesses
30,2020-06-25,666.0,Vest Harnesses
31,2020-06-26,666.0,Vest Harnesses
32,2020-06-27,903.0,Vest Harnesses
33,2020-06-28,903.0,Vest Harnesses
34,2020-06-29,768.0,Vest Harnesses
35,2020-06-30,721.0,Vest Harnesses
36,2020-07-01,721.0,Vest Harnesses
37,2020-07-02,887.0,Vest Harnesses
38,2020-07-03,1155.0,Vest Harnesses
39,2020-07-04,977.0,Vest Harnesses
40,2020-07-05,873.0,Vest Harnesses
41,2020-07-06,1024.0,Vest Harnesses
42,2020-07-07,782.0,Vest Harnesses
43,2020-07-08,822.0,Vest Harnesses
44,2020-07-09,860.0,Vest Harnesses
45,2020-07-10,819.0,Vest Harnesses
46,2020-07-11,819.0,Vest Harnesses
47,2020-07-12,769.0,Vest Harnesses
48,2020-07-13,754.0,Vest Harnesses
49,2020-07-14,754.0,Vest Harnesses
50,2020-07-15,829.0,Vest Harnesses
51,2020-07-16,624.0,Vest Harnesses
52,2020-07-17,624.0,Vest Harnesses
53,2020-07-18,732.0,Vest Harnesses
54,2020-07-19,732.0,Vest Harnesses
55,2020-07-20,725.0,Vest Harnesses
56,2020-07-21,766.0,Vest Harnesses
57,2020-07-22,766.0,Vest Harnesses
58,2020-07-23,795.0,Vest Harnesses
59,2020-07-24,795.0,Vest Harnesses
60,2020-07-25,795.0,Vest Harnesses
61,2020-07-26,971.0,Vest Harnesses
62,2020-07-27,971.0,Vest Harnesses
63,2020-07-28,955.0,Vest Harnesses
64,2020-07-29,899.0,Vest Harnesses
65,2020-07-30,899.0,Vest Harnesses
66,2020-07-31,924.0,Vest Harnesses
67,2020-08-01,764.0,Vest Harnesses
68,2020-08-02,764.0,Vest Harnesses
69,2020-08-03,864.0,Vest Harnesses
70,2020-08-04,857.0,Vest Harnesses
71,2020-08-05,875.0,Vest Harnesses
72,2020-08-06,875.0,Vest Harnesses
73,2020-08-07,975.0,Vest Harnesses
74,2020-08-08,1009.0,Vest Harnesses
75,2020-08-09,1009.0,Vest Harnesses
76,2020-08-10,1002.0,Vest Harnesses
77,2020-08-11,954.0,Vest Harnesses
78,2020-08-12,954.0,Vest Harnesses
79,2020-08-13,945.0,Vest Harnesses
80,2020-08-14,1041.0,Vest Harnesses
81,2020-08-15,1041.0,Vest Harnesses
82,2020-08-16,1041.0,Vest Harnesses
83,2020-08-17,1177.0,Vest Harnesses
84,2020-08-18,1017.0,Vest Harnesses
85,2020-08-19,1016.0,Vest Harnesses
86,2020-08-20,994.0,Vest Harnesses
87,2020-08-21,957.0,Vest Harnesses
88,2020-08-22,1050.0,Vest Harnesses
89,2020-08-23,1050.0,Vest Harnesses
90,2020-08-24,1050.0,Vest Harnesses
91,2020-08-25,1138.0,Vest Harnesses
92,2020-08-26,1138.0,Vest Harnesses
93,2020-08-27,1002.0,Vest Harnesses
94,2020-08-28,1068.0,Vest Harnesses
95,2020-08-29,1068.0,Vest Harnesses
96,2020-08-30,1068.0,Vest Harnesses
97,2020-08-31,974.0,Vest Harnesses
98,2020-09-01,828.0,Vest Harnesses
99,2020-09-02,1009.0,Vest Harnesses
100,2020-09-03,1049.0,Vest Harnesses
101,2020-09-04,1078.0,Vest Harnesses
102,2020-09-05,1078.0,Vest Harnesses
103,2020-09-06,982.0,Vest Harnesses
