,date,value,name_B07WNFFXLX
0,2019-08-28,7929.0,Shower Curtains
1,2019-08-29,7744.0,Shower Curtains
2,2019-08-30,7517.0,Shower Curtains
3,2019-08-31,8123.0,Shower Curtains
4,2019-09-01,8777.0,Shower Curtains
5,2019-09-02,6194.0,Shower Curtains
6,2019-09-03,6053.0,Shower Curtains
7,2019-09-04,6352.0,Shower Curtains
8,2019-09-05,6961.0,Shower Curtains
9,2019-09-06,7104.0,Shower Curtains
10,2019-09-07,7826.0,Shower Curtains
11,2019-09-08,4853.0,Shower Curtains
12,2019-09-09,4379.0,Shower Curtains
13,2019-09-10,4636.0,Shower Curtains
14,2019-09-11,6677.0,Shower Curtains
15,2019-09-12,7030.0,Shower Curtains
16,2019-09-13,7647.0,Shower Curtains
17,2019-09-14,6035.0,Shower Curtains
18,2019-09-15,6818.0,Shower Curtains
19,2019-09-16,5489.0,Shower Curtains
20,2019-09-17,3847.0,Shower Curtains
21,2019-09-18,3950.0,Shower Curtains
22,2019-09-19,3489.0,Shower Curtains
23,2019-09-20,4056.0,Shower Curtains
24,2019-09-21,3928.0,Shower Curtains
25,2019-09-22,3029.0,Shower Curtains
26,2019-09-23,3472.0,Shower Curtains
27,2019-09-24,3609.0,Shower Curtains
28,2019-09-25,5145.0,Shower Curtains
29,2019-09-26,5311.0,Shower Curtains
30,2019-09-27,5129.0,Shower Curtains
31,2019-09-28,4256.0,Shower Curtains
32,2019-09-29,3905.0,Shower Curtains
33,2019-09-30,3548.0,Shower Curtains
34,2019-10-01,3533.0,Shower Curtains
35,2019-10-02,3490.0,Shower Curtains
36,2019-10-03,3577.0,Shower Curtains
37,2019-10-04,4355.0,Shower Curtains
38,2019-10-05,3858.0,Shower Curtains
39,2019-10-06,4522.0,Shower Curtains
40,2019-10-07,4055.0,Shower Curtains
41,2019-10-08,4870.0,Shower Curtains
42,2019-10-09,4870.0,Shower Curtains
43,2019-10-10,4073.0,Shower Curtains
44,2019-10-11,4073.0,Shower Curtains
45,2019-10-12,3820.0,Shower Curtains
46,2019-10-13,4384.0,Shower Curtains
47,2019-10-14,4092.0,Shower Curtains
48,2019-10-15,4522.0,Shower Curtains
49,2019-10-16,5273.0,Shower Curtains
50,2019-10-17,5201.0,Shower Curtains
51,2019-10-18,5031.0,Shower Curtains
52,2019-10-19,5219.0,Shower Curtains
53,2019-10-20,5248.0,Shower Curtains
54,2019-10-21,5045.0,Shower Curtains
55,2019-10-22,6197.0,Shower Curtains
56,2019-10-23,5971.0,Shower Curtains
57,2019-10-24,5612.0,Shower Curtains
58,2019-10-25,5365.0,Shower Curtains
59,2019-10-26,5817.0,Shower Curtains
60,2019-10-27,4885.0,Shower Curtains
61,2019-10-28,3925.0,Shower Curtains
62,2019-10-29,4748.0,Shower Curtains
63,2019-10-30,4515.0,Shower Curtains
64,2019-10-31,5282.0,Shower Curtains
65,2019-11-01,5052.0,Shower Curtains
66,2019-11-02,4252.0,Shower Curtains
67,2019-11-03,5010.0,Shower Curtains
68,2019-11-04,5517.0,Shower Curtains
69,2019-11-05,5476.0,Shower Curtains
70,2019-11-06,5294.0,Shower Curtains
71,2019-11-07,4803.0,Shower Curtains
