,date,value,name_B07PNT3FQ7
0,2019-03-20,15226.0,Document Frames
1,2019-03-21,13806.0,Document Frames
2,2019-03-22,16371.0,Document Frames
3,2019-03-23,16371.0,Document Frames
4,2019-03-24,16371.0,Document Frames
5,2019-03-25,17164.0,Document Frames
6,2019-03-26,17164.0,Document Frames
7,2019-03-27,11413.0,Document Frames
8,2019-03-28,11413.0,Document Frames
9,2019-03-29,11413.0,Document Frames
10,2019-03-30,10164.0,Document Frames
11,2019-03-31,19400.0,Document Frames
12,2019-04-01,19400.0,Document Frames
13,2019-04-02,19400.0,Document Frames
14,2019-04-03,13450.0,Document Frames
15,2019-04-04,8959.0,Document Frames
16,2019-04-05,13124.0,Document Frames
17,2019-04-06,13124.0,Document Frames
18,2019-04-07,17617.0,Document Frames
19,2019-04-08,20313.0,Document Frames
20,2019-04-09,20313.0,Document Frames
21,2019-04-10,29375.0,Document Frames
22,2019-04-11,40673.0,Document Frames
23,2019-04-12,40673.0,Document Frames
24,2019-04-13,40673.0,Document Frames
25,2019-04-14,38635.0,Document Frames
26,2019-04-15,38635.0,Document Frames
27,2019-04-16,40323.0,Document Frames
28,2019-04-17,40323.0,Document Frames
29,2019-04-18,40323.0,Document Frames
30,2019-04-19,40323.0,Document Frames
31,2019-04-20,40323.0,Document Frames
32,2019-04-21,40538.0,Document Frames
33,2019-04-22,40538.0,Document Frames
34,2019-04-23,23908.0,Document Frames
35,2019-04-24,23908.0,Document Frames
36,2019-04-25,18978.0,Document Frames
37,2019-04-26,18978.0,Document Frames
38,2019-04-27,18978.0,Document Frames
39,2019-04-28,18978.0,Document Frames
40,2019-04-29,16390.0,Document Frames
41,2019-04-30,16390.0,Document Frames
42,2019-05-01,16390.0,Document Frames
43,2019-05-02,43026.0,Document Frames
44,2019-05-03,43026.0,Document Frames
45,2019-05-04,75038.0,Document Frames
46,2019-05-05,68786.0,Document Frames
47,2019-05-06,68786.0,Document Frames
48,2019-05-07,118474.0,Document Frames
49,2019-05-08,91663.0,Document Frames
50,2019-05-09,91663.0,Document Frames
51,2019-05-10,111251.0,Document Frames
52,2019-05-11,111251.0,Document Frames
53,2019-05-12,149193.0,Document Frames
54,2019-05-13,149193.0,Document Frames
55,2019-05-14,202988.0,Document Frames
56,2019-05-15,193441.0,Document Frames
