,date,value,name_B08X6W5ZWY
0,2021-03-09,44882.0,Stuffed Animals & Teddy Bears
1,2021-03-10,44882.0,Stuffed Animals & Teddy Bears
2,2021-03-11,44882.0,Stuffed Animals & Teddy Bears
3,2021-03-12,44882.0,Stuffed Animals & Teddy Bears
4,2021-03-13,44882.0,Stuffed Animals & Teddy Bears
5,2021-03-14,44882.0,Stuffed Animals & Teddy Bears
6,2021-03-15,44882.0,Stuffed Animals & Teddy Bears
7,2021-03-16,44882.0,Stuffed Animals & Teddy Bears
8,2021-03-17,44882.0,Stuffed Animals & Teddy Bears
9,2021-03-18,50262.0,Stuffed Animals & Teddy Bears
10,2021-03-19,50262.0,Stuffed Animals & Teddy Bears
11,2021-03-20,50262.0,Stuffed Animals & Teddy Bears
12,2021-03-21,50262.0,Stuffed Animals & Teddy Bears
13,2021-03-22,50262.0,Stuffed Animals & Teddy Bears
14,2021-03-23,50262.0,Stuffed Animals & Teddy Bears
15,2021-03-24,50262.0,Stuffed Animals & Teddy Bears
16,2021-03-25,24089.0,Stuffed Animals & Teddy Bears
17,2021-03-26,24089.0,Stuffed Animals & Teddy Bears
18,2021-03-27,24089.0,Stuffed Animals & Teddy Bears
19,2021-03-28,24089.0,Stuffed Animals & Teddy Bears
20,2021-03-29,31069.0,Stuffed Animals & Teddy Bears
21,2021-03-30,31069.0,Stuffed Animals & Teddy Bears
22,2021-03-31,31069.0,Stuffed Animals & Teddy Bears
23,2021-04-01,31069.0,Stuffed Animals & Teddy Bears
24,2021-04-02,23117.0,Stuffed Animals & Teddy Bears
25,2021-04-03,23117.0,Stuffed Animals & Teddy Bears
26,2021-04-04,23117.0,Stuffed Animals & Teddy Bears
27,2021-04-05,17266.0,Stuffed Animals & Teddy Bears
28,2021-04-06,19895.0,Stuffed Animals & Teddy Bears
29,2021-04-07,18100.0,Stuffed Animals & Teddy Bears
30,2021-04-08,18100.0,Stuffed Animals & Teddy Bears
31,2021-04-09,17512.0,Stuffed Animals & Teddy Bears
32,2021-04-10,17512.0,Stuffed Animals & Teddy Bears
33,2021-04-11,17512.0,Stuffed Animals & Teddy Bears
34,2021-04-12,12386.0,Stuffed Animals & Teddy Bears
