,date,value,name_B08R7DQ5DS
0,2021-03-04,40110,Food Jars & Canisters
1,2021-03-05,25874,Food Jars & Canisters
2,2021-03-06,27892,Food Jars & Canisters
3,2021-03-07,15606,Food Jars & Canisters
4,2021-03-08,8410,Food Jars & Canisters
5,2021-03-09,9165,Food Jars & Canisters
6,2021-03-10,6448,Food Jars & Canisters
7,2021-03-11,8172,Food Jars & Canisters
8,2021-03-12,7167,Food Jars & Canisters
9,2021-03-13,4757,Food Jars & Canisters
10,2021-03-14,4341,Food Jars & Canisters
11,2021-03-15,4459,Food Jars & Canisters
12,2021-03-16,5737,Food Jars & Canisters
13,2021-03-17,5589,Food Jars & Canisters
14,2021-03-18,6549,Food Jars & Canisters
15,2021-03-19,7221,Food Jars & Canisters
16,2021-03-20,9507,Food Jars & Canisters
17,2021-03-21,11037,Food Jars & Canisters
18,2021-03-22,14382,Food Jars & Canisters
19,2021-03-23,14425,Food Jars & Canisters
20,2021-03-24,13019,Food Jars & Canisters
21,2021-03-25,7044,Food Jars & Canisters
22,2021-03-26,5703,Food Jars & Canisters
23,2021-03-27,7134,Food Jars & Canisters
24,2021-03-28,11150,Food Jars & Canisters
25,2021-03-29,13308,Food Jars & Canisters
26,2021-03-30,12525,Food Jars & Canisters
27,2021-03-31,8784,Food Jars & Canisters
28,2021-04-01,8393,Food Jars & Canisters
29,2021-04-02,5631,Food Jars & Canisters
30,2021-04-03,6072,Food Jars & Canisters
31,2021-04-04,4851,Food Jars & Canisters
32,2021-04-05,3971,Food Jars & Canisters
33,2021-04-06,3620,Food Jars & Canisters
34,2021-04-07,3608,Food Jars & Canisters
35,2021-04-08,3431,Food Jars & Canisters
36,2021-04-09,2659,Food Jars & Canisters
37,2021-04-10,2640,Food Jars & Canisters
38,2021-04-11,3130,Food Jars & Canisters
39,2021-04-12,2678,Food Jars & Canisters
40,2021-04-13,2992,Food Jars & Canisters
41,2021-04-14,3438,Food Jars & Canisters
42,2021-04-15,4038,Food Jars & Canisters
43,2021-04-16,3525,Food Jars & Canisters
44,2021-04-17,3561,Food Jars & Canisters
45,2021-04-18,2307,Food Jars & Canisters
46,2021-04-19,2117,Food Jars & Canisters
47,2021-04-20,2837,Food Jars & Canisters
48,2021-04-21,4187,Food Jars & Canisters
49,2021-04-22,5400,Food Jars & Canisters
50,2021-04-23,6348,Food Jars & Canisters
51,2021-04-24,6676,Food Jars & Canisters
52,2021-04-25,4532,Food Jars & Canisters
53,2021-04-26,4187,Food Jars & Canisters
54,2021-04-27,3274,Food Jars & Canisters
55,2021-04-28,3539,Food Jars & Canisters
56,2021-04-29,3102,Food Jars & Canisters
57,2021-04-30,4048,Food Jars & Canisters
58,2021-05-01,6415,Food Jars & Canisters
59,2021-05-02,6300,Food Jars & Canisters
60,2021-05-03,6757,Food Jars & Canisters
61,2021-05-04,3143,Food Jars & Canisters
62,2021-05-05,3654,Food Jars & Canisters
63,2021-05-06,3151,Food Jars & Canisters
64,2021-05-07,2964,Food Jars & Canisters
65,2021-05-08,2756,Food Jars & Canisters
66,2021-05-09,2936,Food Jars & Canisters
67,2021-05-10,2341,Food Jars & Canisters
68,2021-05-11,1800,Food Jars & Canisters
69,2021-05-12,1956,Food Jars & Canisters
70,2021-05-13,1786,Food Jars & Canisters
71,2021-05-14,1748,Food Jars & Canisters
72,2021-05-15,1621,Food Jars & Canisters
73,2021-05-16,2494,Food Jars & Canisters
74,2021-05-17,2238,Food Jars & Canisters
75,2021-05-18,1329,Food Jars & Canisters
76,2021-05-19,1543,Food Jars & Canisters
77,2021-05-20,1490,Food Jars & Canisters
78,2021-05-21,1849,Food Jars & Canisters
79,2021-05-22,2128,Food Jars & Canisters
80,2021-05-23,2650,Food Jars & Canisters
81,2021-05-24,3414,Food Jars & Canisters
