,date,value,name_B01M0G9POW
0,2020-05-29,64228.0,Aftercare Products
1,2020-05-30,64228.0,Aftercare Products
2,2020-05-31,56909.0,Aftercare Products
3,2020-06-01,56909.0,Aftercare Products
4,2020-06-02,56909.0,Aftercare Products
5,2020-06-03,44580.0,Aftercare Products
6,2020-06-04,44580.0,Aftercare Products
7,2020-06-05,44580.0,Aftercare Products
8,2020-06-06,44580.0,Aftercare Products
9,2020-06-07,44580.0,Aftercare Products
10,2020-06-08,44580.0,Aftercare Products
11,2020-06-09,36920.0,Aftercare Products
12,2020-06-10,38810.0,Aftercare Products
13,2020-06-11,38810.0,Aftercare Products
14,2020-06-12,38810.0,Aftercare Products
15,2020-06-13,47870.0,Aftercare Products
16,2020-06-14,34093.0,Aftercare Products
17,2020-06-15,34093.0,Aftercare Products
18,2020-06-16,34093.0,Aftercare Products
19,2020-06-17,34093.0,Aftercare Products
20,2020-06-18,34093.0,Aftercare Products
21,2020-06-19,52363.0,Aftercare Products
22,2020-06-20,52363.0,Aftercare Products
23,2020-06-21,39703.0,Aftercare Products
24,2020-06-22,39703.0,Aftercare Products
25,2020-06-23,39703.0,Aftercare Products
26,2020-06-24,57833.0,Aftercare Products
27,2020-06-25,57833.0,Aftercare Products
28,2020-06-26,48302.0,Aftercare Products
29,2020-06-27,48302.0,Aftercare Products
30,2020-06-28,64087.0,Aftercare Products
31,2020-06-29,64087.0,Aftercare Products
32,2020-06-30,46447.0,Aftercare Products
33,2020-07-01,46447.0,Aftercare Products
34,2020-07-02,54182.0,Aftercare Products
35,2020-07-03,54182.0,Aftercare Products
36,2020-07-04,54182.0,Aftercare Products
37,2020-07-05,38053.0,Aftercare Products
38,2020-07-06,38053.0,Aftercare Products
39,2020-07-07,38053.0,Aftercare Products
40,2020-07-08,38053.0,Aftercare Products
41,2020-07-09,35985.0,Aftercare Products
42,2020-07-10,35985.0,Aftercare Products
43,2020-07-11,35985.0,Aftercare Products
44,2020-07-12,40667.0,Aftercare Products
45,2020-07-13,40667.0,Aftercare Products
46,2020-07-14,38533.0,Aftercare Products
47,2020-07-15,38533.0,Aftercare Products
48,2020-07-16,41581.0,Aftercare Products
49,2020-07-17,41581.0,Aftercare Products
50,2020-07-18,41581.0,Aftercare Products
51,2020-07-19,41581.0,Aftercare Products
52,2020-07-20,40911.0,Aftercare Products
53,2020-07-21,38314.0,Aftercare Products
54,2020-07-22,38314.0,Aftercare Products
55,2020-07-23,38314.0,Aftercare Products
56,2020-07-24,9477.0,Aftercare Products
57,2020-07-25,11098.0,Aftercare Products
58,2020-07-26,9336.0,Aftercare Products
59,2020-07-27,10758.0,Aftercare Products
60,2020-07-28,10758.0,Aftercare Products
61,2020-07-29,10256.0,Aftercare Products
62,2020-07-30,10256.0,Aftercare Products
