,date,value,name_B07S5B8SFQ
0,2019-09-14,133235.0,Sheet & Pillowcase Sets
1,2019-09-15,133515.0,Sheet & Pillowcase Sets
2,2019-09-16,142541.0,Sheet & Pillowcase Sets
3,2019-09-17,118113.0,Sheet & Pillowcase Sets
4,2019-09-18,140930.0,Sheet & Pillowcase Sets
5,2019-09-19,210946.0,Sheet & Pillowcase Sets
6,2019-09-20,305332.0,Sheet & Pillowcase Sets
7,2019-09-21,367677.0,Sheet & Pillowcase Sets
8,2019-09-22,169792.0,Sheet & Pillowcase Sets
9,2019-09-23,78958.0,Sheet & Pillowcase Sets
10,2019-09-24,65122.0,Sheet & Pillowcase Sets
11,2019-09-25,72947.0,Sheet & Pillowcase Sets
12,2019-09-26,70782.0,Sheet & Pillowcase Sets
13,2019-09-27,169575.0,Sheet & Pillowcase Sets
14,2019-09-28,174927.0,Sheet & Pillowcase Sets
15,2019-09-29,85742.0,Sheet & Pillowcase Sets
16,2019-09-30,85742.0,Sheet & Pillowcase Sets
17,2019-10-01,98995.0,Sheet & Pillowcase Sets
18,2019-10-02,62993.0,Sheet & Pillowcase Sets
19,2019-10-03,65486.0,Sheet & Pillowcase Sets
20,2019-10-04,65486.0,Sheet & Pillowcase Sets
21,2019-10-05,39380.0,Sheet & Pillowcase Sets
22,2019-10-06,41449.0,Sheet & Pillowcase Sets
23,2019-10-07,39255.0,Sheet & Pillowcase Sets
24,2019-10-08,29740.0,Sheet & Pillowcase Sets
25,2019-10-09,41986.0,Sheet & Pillowcase Sets
26,2019-10-10,25806.0,Sheet & Pillowcase Sets
27,2019-10-11,23727.0,Sheet & Pillowcase Sets
28,2019-10-12,24617.0,Sheet & Pillowcase Sets
29,2019-10-13,24617.0,Sheet & Pillowcase Sets
30,2019-10-14,18319.0,Sheet & Pillowcase Sets
31,2019-10-15,21545.0,Sheet & Pillowcase Sets
32,2019-10-16,18246.0,Sheet & Pillowcase Sets
33,2019-10-17,22667.0,Sheet & Pillowcase Sets
34,2019-10-18,24100.0,Sheet & Pillowcase Sets
35,2019-10-19,23212.0,Sheet & Pillowcase Sets
36,2019-10-20,28576.0,Sheet & Pillowcase Sets
37,2019-10-21,35786.0,Sheet & Pillowcase Sets
38,2019-10-22,27183.0,Sheet & Pillowcase Sets
39,2019-10-23,26461.0,Sheet & Pillowcase Sets
40,2019-10-24,29543.0,Sheet & Pillowcase Sets
41,2019-10-25,23079.0,Sheet & Pillowcase Sets
42,2019-10-26,25415.0,Sheet & Pillowcase Sets
43,2019-10-27,27981.0,Sheet & Pillowcase Sets
44,2019-10-28,52150.0,Sheet & Pillowcase Sets
45,2019-10-29,57170.0,Sheet & Pillowcase Sets
46,2019-10-30,62731.0,Sheet & Pillowcase Sets
47,2019-10-31,50288.0,Sheet & Pillowcase Sets
48,2019-11-01,70635.0,Sheet & Pillowcase Sets
49,2019-11-02,57220.0,Sheet & Pillowcase Sets
50,2019-11-03,74923.0,Sheet & Pillowcase Sets
51,2019-11-04,70583.0,Sheet & Pillowcase Sets
52,2019-11-05,70583.0,Sheet & Pillowcase Sets
53,2019-11-06,95639.0,Sheet & Pillowcase Sets
54,2019-11-07,95639.0,Sheet & Pillowcase Sets
55,2019-11-08,95639.0,Sheet & Pillowcase Sets
56,2019-11-09,95639.0,Sheet & Pillowcase Sets
57,2019-11-10,95639.0,Sheet & Pillowcase Sets
58,2019-11-11,84118.0,Sheet & Pillowcase Sets
59,2019-11-12,84118.0,Sheet & Pillowcase Sets
60,2019-11-13,71321.0,Sheet & Pillowcase Sets
61,2019-11-14,71321.0,Sheet & Pillowcase Sets
62,2019-11-15,71321.0,Sheet & Pillowcase Sets
63,2019-11-16,44239.0,Sheet & Pillowcase Sets
64,2019-11-17,67695.0,Sheet & Pillowcase Sets
65,2019-11-18,67695.0,Sheet & Pillowcase Sets
66,2019-11-19,42639.0,Sheet & Pillowcase Sets
67,2019-11-20,41287.0,Sheet & Pillowcase Sets
68,2019-11-21,41287.0,Sheet & Pillowcase Sets
69,2019-11-22,41287.0,Sheet & Pillowcase Sets
70,2019-11-23,48292.0,Sheet & Pillowcase Sets
71,2019-11-24,48292.0,Sheet & Pillowcase Sets
72,2019-11-25,38625.0,Sheet & Pillowcase Sets
73,2019-11-26,48437.0,Sheet & Pillowcase Sets
74,2019-11-27,48437.0,Sheet & Pillowcase Sets
75,2019-11-28,35869.0,Sheet & Pillowcase Sets
76,2019-11-29,20935.0,Sheet & Pillowcase Sets
77,2019-11-30,20935.0,Sheet & Pillowcase Sets
78,2019-12-01,20935.0,Sheet & Pillowcase Sets
79,2019-12-02,30297.0,Sheet & Pillowcase Sets
80,2019-12-03,21347.0,Sheet & Pillowcase Sets
81,2019-12-04,21347.0,Sheet & Pillowcase Sets
82,2019-12-05,21347.0,Sheet & Pillowcase Sets
83,2019-12-06,21347.0,Sheet & Pillowcase Sets
84,2019-12-07,21347.0,Sheet & Pillowcase Sets
85,2019-12-08,21347.0,Sheet & Pillowcase Sets
86,2019-12-09,43113.0,Sheet & Pillowcase Sets
87,2019-12-10,48050.0,Sheet & Pillowcase Sets
88,2019-12-11,48050.0,Sheet & Pillowcase Sets
89,2019-12-12,48050.0,Sheet & Pillowcase Sets
90,2019-12-13,48050.0,Sheet & Pillowcase Sets
91,2019-12-14,48050.0,Sheet & Pillowcase Sets
92,2019-12-15,34372.0,Sheet & Pillowcase Sets
93,2019-12-16,34372.0,Sheet & Pillowcase Sets
94,2019-12-17,34372.0,Sheet & Pillowcase Sets
95,2019-12-18,34372.0,Sheet & Pillowcase Sets
96,2019-12-19,34372.0,Sheet & Pillowcase Sets
97,2019-12-20,34372.0,Sheet & Pillowcase Sets
98,2019-12-21,34372.0,Sheet & Pillowcase Sets
99,2019-12-22,34372.0,Sheet & Pillowcase Sets
100,2019-12-23,58001.0,Sheet & Pillowcase Sets
101,2019-12-24,58001.0,Sheet & Pillowcase Sets
102,2019-12-25,39005.0,Sheet & Pillowcase Sets
103,2019-12-26,39005.0,Sheet & Pillowcase Sets
104,2019-12-27,37395.0,Sheet & Pillowcase Sets
105,2019-12-28,37395.0,Sheet & Pillowcase Sets
106,2019-12-29,37395.0,Sheet & Pillowcase Sets
107,2019-12-30,37395.0,Sheet & Pillowcase Sets
108,2019-12-31,37395.0,Sheet & Pillowcase Sets
109,2020-01-01,27906.0,Sheet & Pillowcase Sets
110,2020-01-02,28895.0,Sheet & Pillowcase Sets
111,2020-01-03,28895.0,Sheet & Pillowcase Sets
112,2020-01-04,26044.0,Sheet & Pillowcase Sets
113,2020-01-05,26044.0,Sheet & Pillowcase Sets
114,2020-01-06,26044.0,Sheet & Pillowcase Sets
115,2020-01-07,26044.0,Sheet & Pillowcase Sets
116,2020-01-08,26044.0,Sheet & Pillowcase Sets
117,2020-01-09,36622.0,Sheet & Pillowcase Sets
118,2020-01-10,36622.0,Sheet & Pillowcase Sets
119,2020-01-11,36622.0,Sheet & Pillowcase Sets
120,2020-01-12,36622.0,Sheet & Pillowcase Sets
121,2020-01-13,36622.0,Sheet & Pillowcase Sets
122,2020-01-14,28936.0,Sheet & Pillowcase Sets
123,2020-01-15,28936.0,Sheet & Pillowcase Sets
124,2020-01-16,28936.0,Sheet & Pillowcase Sets
125,2020-01-17,28936.0,Sheet & Pillowcase Sets
126,2020-01-18,28936.0,Sheet & Pillowcase Sets
127,2020-01-19,30257.0,Sheet & Pillowcase Sets
128,2020-01-20,30257.0,Sheet & Pillowcase Sets
129,2020-01-21,25938.0,Sheet & Pillowcase Sets
130,2020-01-22,25938.0,Sheet & Pillowcase Sets
131,2020-01-23,25938.0,Sheet & Pillowcase Sets
132,2020-01-24,25026.0,Sheet & Pillowcase Sets
133,2020-01-25,25026.0,Sheet & Pillowcase Sets
134,2020-01-26,25026.0,Sheet & Pillowcase Sets
135,2020-01-27,25026.0,Sheet & Pillowcase Sets
136,2020-01-28,25026.0,Sheet & Pillowcase Sets
137,2020-01-29,38124.0,Sheet & Pillowcase Sets
138,2020-01-30,26721.0,Sheet & Pillowcase Sets
139,2020-01-31,26721.0,Sheet & Pillowcase Sets
140,2020-02-01,26721.0,Sheet & Pillowcase Sets
141,2020-02-02,26721.0,Sheet & Pillowcase Sets
142,2020-02-03,39435.0,Sheet & Pillowcase Sets
143,2020-02-04,39435.0,Sheet & Pillowcase Sets
144,2020-02-05,39435.0,Sheet & Pillowcase Sets
145,2020-02-06,39392.0,Sheet & Pillowcase Sets
146,2020-02-07,39392.0,Sheet & Pillowcase Sets
147,2020-02-08,35252.0,Sheet & Pillowcase Sets
148,2020-02-09,35252.0,Sheet & Pillowcase Sets
149,2020-02-10,30426.0,Sheet & Pillowcase Sets
150,2020-02-11,28860.0,Sheet & Pillowcase Sets
151,2020-02-12,33221.0,Sheet & Pillowcase Sets
152,2020-02-13,33221.0,Sheet & Pillowcase Sets
153,2020-02-14,33221.0,Sheet & Pillowcase Sets
154,2020-02-15,33221.0,Sheet & Pillowcase Sets
155,2020-02-16,33221.0,Sheet & Pillowcase Sets
156,2020-02-17,33221.0,Sheet & Pillowcase Sets
157,2020-02-18,33221.0,Sheet & Pillowcase Sets
158,2020-02-19,43544.0,Sheet & Pillowcase Sets
159,2020-02-20,33790.0,Sheet & Pillowcase Sets
160,2020-02-21,48987.0,Sheet & Pillowcase Sets
161,2020-02-22,48987.0,Sheet & Pillowcase Sets
162,2020-02-23,48987.0,Sheet & Pillowcase Sets
163,2020-02-24,48987.0,Sheet & Pillowcase Sets
164,2020-02-25,48987.0,Sheet & Pillowcase Sets
165,2020-02-26,41566.0,Sheet & Pillowcase Sets
166,2020-02-27,41566.0,Sheet & Pillowcase Sets
167,2020-02-28,41566.0,Sheet & Pillowcase Sets
168,2020-02-29,41566.0,Sheet & Pillowcase Sets
169,2020-03-01,41566.0,Sheet & Pillowcase Sets
170,2020-03-02,41566.0,Sheet & Pillowcase Sets
171,2020-03-03,47462.0,Sheet & Pillowcase Sets
172,2020-03-04,47462.0,Sheet & Pillowcase Sets
173,2020-03-05,47462.0,Sheet & Pillowcase Sets
174,2020-03-06,47462.0,Sheet & Pillowcase Sets
175,2020-03-07,47462.0,Sheet & Pillowcase Sets
