,date,value,name_B08P18CP3V
0,2020-12-01,86374.0,Closet Systems
1,2020-12-02,67216.0,Closet Systems
2,2020-12-03,67216.0,Closet Systems
3,2020-12-04,67216.0,Closet Systems
4,2020-12-05,67216.0,Closet Systems
5,2020-12-06,60422.0,Closet Systems
6,2020-12-07,60422.0,Closet Systems
7,2020-12-08,60422.0,Closet Systems
8,2020-12-09,60422.0,Closet Systems
9,2020-12-10,60422.0,Closet Systems
10,2020-12-11,114121.0,Closet Systems
11,2020-12-12,114121.0,Closet Systems
12,2020-12-13,100785.0,Closet Systems
13,2020-12-14,68838.0,Closet Systems
14,2020-12-15,68838.0,Closet Systems
15,2020-12-16,80699.0,Closet Systems
16,2020-12-17,80699.0,Closet Systems
17,2020-12-18,80699.0,Closet Systems
18,2020-12-19,35736.0,Closet Systems
19,2020-12-20,34558.0,Closet Systems
20,2020-12-21,28949.0,Closet Systems
21,2020-12-22,28949.0,Closet Systems
22,2020-12-23,28949.0,Closet Systems
23,2020-12-24,28949.0,Closet Systems
24,2020-12-25,28949.0,Closet Systems
25,2020-12-26,20814.0,Closet Systems
26,2020-12-27,20814.0,Closet Systems
27,2020-12-28,20814.0,Closet Systems
28,2020-12-29,20814.0,Closet Systems
29,2020-12-30,19111.0,Closet Systems
30,2020-12-31,19111.0,Closet Systems
31,2021-01-01,19111.0,Closet Systems
32,2021-01-02,47376.0,Closet Systems
33,2021-01-03,47376.0,Closet Systems
34,2021-01-04,47376.0,Closet Systems
35,2021-01-05,47376.0,Closet Systems
36,2021-01-06,58837.0,Closet Systems
37,2021-01-07,49436.0,Closet Systems
38,2021-01-08,53307.0,Closet Systems
39,2021-01-09,56815.0,Closet Systems
40,2021-01-10,56815.0,Closet Systems
41,2021-01-11,56815.0,Closet Systems
42,2021-01-12,56815.0,Closet Systems
43,2021-01-13,39954.0,Closet Systems
44,2021-01-14,39954.0,Closet Systems
45,2021-01-15,39954.0,Closet Systems
46,2021-01-16,39954.0,Closet Systems
47,2021-01-17,39954.0,Closet Systems
48,2021-01-18,35395.0,Closet Systems
49,2021-01-19,35395.0,Closet Systems
50,2021-01-20,26422.0,Closet Systems
51,2021-01-21,26422.0,Closet Systems
52,2021-01-22,24850.0,Closet Systems
53,2021-01-23,24850.0,Closet Systems
54,2021-01-24,24850.0,Closet Systems
55,2021-01-25,24850.0,Closet Systems
56,2021-01-26,24850.0,Closet Systems
57,2021-01-27,24850.0,Closet Systems
58,2021-01-28,24850.0,Closet Systems
59,2021-01-29,24126.0,Closet Systems
60,2021-01-30,24126.0,Closet Systems
61,2021-01-31,24126.0,Closet Systems
62,2021-02-01,24187.0,Closet Systems
63,2021-02-02,24187.0,Closet Systems
64,2021-02-03,24187.0,Closet Systems
65,2021-02-04,24187.0,Closet Systems
66,2021-02-05,24187.0,Closet Systems
67,2021-02-06,24187.0,Closet Systems
68,2021-02-07,29898.0,Closet Systems
69,2021-02-08,29898.0,Closet Systems
70,2021-02-09,29898.0,Closet Systems
71,2021-02-10,34697.0,Closet Systems
72,2021-02-11,34697.0,Closet Systems
73,2021-02-12,34697.0,Closet Systems
74,2021-02-13,34709.0,Closet Systems
75,2021-02-14,34709.0,Closet Systems
76,2021-02-15,34709.0,Closet Systems
77,2021-02-16,34709.0,Closet Systems
78,2021-02-17,34000.0,Closet Systems
79,2021-02-18,34000.0,Closet Systems
80,2021-02-19,34000.0,Closet Systems
81,2021-02-20,34000.0,Closet Systems
82,2021-02-21,34000.0,Closet Systems
83,2021-02-22,34000.0,Closet Systems
84,2021-02-23,24467.0,Closet Systems
85,2021-02-24,24467.0,Closet Systems
86,2021-02-25,20981.0,Closet Systems
87,2021-02-26,20981.0,Closet Systems
88,2021-02-27,20981.0,Closet Systems
89,2021-02-28,20981.0,Closet Systems
90,2021-03-01,14905.0,Closet Systems
91,2021-03-02,14905.0,Closet Systems
92,2021-03-03,14905.0,Closet Systems
93,2021-03-04,15202.0,Closet Systems
94,2021-03-05,15202.0,Closet Systems
95,2021-03-06,15202.0,Closet Systems
96,2021-03-07,15202.0,Closet Systems
97,2021-03-08,15202.0,Closet Systems
98,2021-03-09,19804.0,Closet Systems
99,2021-03-10,18167.0,Closet Systems
100,2021-03-11,18167.0,Closet Systems
101,2021-03-12,18167.0,Closet Systems
102,2021-03-13,18167.0,Closet Systems
103,2021-03-14,12043.0,Closet Systems
104,2021-03-15,9679.0,Closet Systems
105,2021-03-16,9679.0,Closet Systems
106,2021-03-17,9679.0,Closet Systems
107,2021-03-18,11405.0,Closet Systems
108,2021-03-19,11405.0,Closet Systems
109,2021-03-20,14215.0,Closet Systems
110,2021-03-21,14215.0,Closet Systems
111,2021-03-22,14215.0,Closet Systems
112,2021-03-23,13409.0,Closet Systems
113,2021-03-24,14090.0,Closet Systems
114,2021-03-25,15922.0,Closet Systems
115,2021-03-26,15922.0,Closet Systems
116,2021-03-27,15922.0,Closet Systems
117,2021-03-28,15922.0,Closet Systems
118,2021-03-29,12123.0,Closet Systems
119,2021-03-30,12123.0,Closet Systems
120,2021-03-31,15701.0,Closet Systems
121,2021-04-01,16384.0,Closet Systems
122,2021-04-02,13740.0,Closet Systems
123,2021-04-03,13740.0,Closet Systems
124,2021-04-04,13740.0,Closet Systems
125,2021-04-05,13740.0,Closet Systems
126,2021-04-06,13740.0,Closet Systems
127,2021-04-07,45791.0,Closet Systems
128,2021-04-08,45791.0,Closet Systems
129,2021-04-09,67111.0,Closet Systems
130,2021-04-10,51066.0,Closet Systems
131,2021-04-11,40276.0,Closet Systems
132,2021-04-12,40276.0,Closet Systems
133,2021-04-13,40276.0,Closet Systems
134,2021-04-14,40276.0,Closet Systems
135,2021-04-15,40276.0,Closet Systems
136,2021-04-16,37762.0,Closet Systems
137,2021-04-17,37762.0,Closet Systems
138,2021-04-18,37762.0,Closet Systems
139,2021-04-19,37762.0,Closet Systems
