,date,value,name_B08FJ327MD
0,2020-12-19,16484.0,Sofa Slipcovers
1,2020-12-20,14253.0,Sofa Slipcovers
2,2020-12-21,12527.0,Sofa Slipcovers
3,2020-12-22,14184.0,Sofa Slipcovers
4,2020-12-23,16516.0,Sofa Slipcovers
5,2020-12-24,13327.0,Sofa Slipcovers
6,2020-12-25,13327.0,Sofa Slipcovers
7,2020-12-26,15883.0,Sofa Slipcovers
8,2020-12-27,19970.0,Sofa Slipcovers
9,2020-12-28,15587.0,Sofa Slipcovers
10,2020-12-29,17550.0,Sofa Slipcovers
11,2020-12-30,21501.0,Sofa Slipcovers
12,2020-12-31,15757.0,Sofa Slipcovers
13,2021-01-01,14181.0,Sofa Slipcovers
14,2021-01-02,12995.0,Sofa Slipcovers
15,2021-01-03,558686.0,Sofa Slipcovers
16,2021-01-04,708741.0,Sofa Slipcovers
17,2021-01-05,11535.0,Sofa Slipcovers
18,2021-01-06,11535.0,Sofa Slipcovers
19,2021-01-07,8951.0,Sofa Slipcovers
20,2021-01-08,8794.0,Sofa Slipcovers
21,2021-01-09,9830.0,Sofa Slipcovers
22,2021-01-10,4639.0,Sofa Slipcovers
23,2021-01-11,4639.0,Sofa Slipcovers
24,2021-01-12,5974.0,Sofa Slipcovers
25,2021-01-13,4748.0,Sofa Slipcovers
26,2021-01-14,5255.0,Sofa Slipcovers
27,2021-01-15,5688.0,Sofa Slipcovers
28,2021-01-16,5688.0,Sofa Slipcovers
29,2021-01-17,5529.0,Sofa Slipcovers
30,2021-01-18,5529.0,Sofa Slipcovers
31,2021-01-19,7378.0,Sofa Slipcovers
32,2021-01-20,7096.0,Sofa Slipcovers
33,2021-01-21,6047.0,Sofa Slipcovers
34,2021-01-22,4574.0,Sofa Slipcovers
35,2021-01-23,6707.0,Sofa Slipcovers
36,2021-01-24,6457.0,Sofa Slipcovers
37,2021-01-25,6309.0,Sofa Slipcovers
38,2021-01-26,531459.0,Sofa Slipcovers
39,2021-01-27,24444.0,Sofa Slipcovers
40,2021-01-28,31756.0,Sofa Slipcovers
41,2021-01-29,29198.0,Sofa Slipcovers
42,2021-01-30,26830.0,Sofa Slipcovers
43,2021-01-31,21834.0,Sofa Slipcovers
44,2021-02-01,21834.0,Sofa Slipcovers
45,2021-02-02,21834.0,Sofa Slipcovers
46,2021-02-03,31356.0,Sofa Slipcovers
47,2021-02-04,31356.0,Sofa Slipcovers
48,2021-02-05,534004.0,Sofa Slipcovers
49,2021-02-06,40718.0,Sofa Slipcovers
50,2021-02-07,36045.0,Sofa Slipcovers
51,2021-02-08,30022.0,Sofa Slipcovers
52,2021-02-09,32224.0,Sofa Slipcovers
53,2021-02-10,42824.0,Sofa Slipcovers
54,2021-02-11,48546.0,Sofa Slipcovers
55,2021-02-12,43090.0,Sofa Slipcovers
56,2021-02-13,34196.0,Sofa Slipcovers
57,2021-02-14,40593.0,Sofa Slipcovers
58,2021-02-15,40172.0,Sofa Slipcovers
59,2021-02-16,44238.0,Sofa Slipcovers
60,2021-02-17,39715.0,Sofa Slipcovers
61,2021-02-18,34156.0,Sofa Slipcovers
62,2021-02-19,38351.0,Sofa Slipcovers
63,2021-02-20,42648.0,Sofa Slipcovers
64,2021-02-21,46577.0,Sofa Slipcovers
65,2021-02-22,46017.0,Sofa Slipcovers
66,2021-02-23,41187.0,Sofa Slipcovers
67,2021-02-24,41187.0,Sofa Slipcovers
68,2021-02-25,41187.0,Sofa Slipcovers
69,2021-02-26,41187.0,Sofa Slipcovers
70,2021-02-27,41187.0,Sofa Slipcovers
71,2021-02-28,41187.0,Sofa Slipcovers
72,2021-03-01,37344.0,Sofa Slipcovers
73,2021-03-02,23324.0,Sofa Slipcovers
74,2021-03-03,23324.0,Sofa Slipcovers
75,2021-03-04,23324.0,Sofa Slipcovers
76,2021-03-05,21149.0,Sofa Slipcovers
77,2021-03-06,21149.0,Sofa Slipcovers
78,2021-03-07,22048.0,Sofa Slipcovers
79,2021-03-08,22344.0,Sofa Slipcovers
80,2021-03-09,28879.0,Sofa Slipcovers
81,2021-03-10,28900.0,Sofa Slipcovers
82,2021-03-11,28585.0,Sofa Slipcovers
83,2021-03-12,37849.0,Sofa Slipcovers
84,2021-03-13,37849.0,Sofa Slipcovers
85,2021-03-14,37849.0,Sofa Slipcovers
86,2021-03-15,25298.0,Sofa Slipcovers
87,2021-03-16,29534.0,Sofa Slipcovers
88,2021-03-17,35496.0,Sofa Slipcovers
89,2021-03-18,35496.0,Sofa Slipcovers
90,2021-03-19,35496.0,Sofa Slipcovers
91,2021-03-20,25833.0,Sofa Slipcovers
92,2021-03-21,30173.0,Sofa Slipcovers
93,2021-03-22,32164.0,Sofa Slipcovers
94,2021-03-23,26935.0,Sofa Slipcovers
95,2021-03-24,26935.0,Sofa Slipcovers
96,2021-03-25,23649.0,Sofa Slipcovers
97,2021-03-26,28381.0,Sofa Slipcovers
98,2021-03-27,28381.0,Sofa Slipcovers
99,2021-03-28,24476.0,Sofa Slipcovers
100,2021-03-29,24476.0,Sofa Slipcovers
101,2021-03-30,26519.0,Sofa Slipcovers
102,2021-03-31,26519.0,Sofa Slipcovers
103,2021-04-01,27451.0,Sofa Slipcovers
104,2021-04-02,27451.0,Sofa Slipcovers
105,2021-04-03,22532.0,Sofa Slipcovers
106,2021-04-04,22532.0,Sofa Slipcovers
107,2021-04-05,22532.0,Sofa Slipcovers
108,2021-04-06,24926.0,Sofa Slipcovers
109,2021-04-07,25468.0,Sofa Slipcovers
110,2021-04-08,25468.0,Sofa Slipcovers
111,2021-04-09,21973.0,Sofa Slipcovers
112,2021-04-10,19940.0,Sofa Slipcovers
113,2021-04-11,17669.0,Sofa Slipcovers
114,2021-04-12,20294.0,Sofa Slipcovers
115,2021-04-13,20662.0,Sofa Slipcovers
116,2021-04-14,17852.0,Sofa Slipcovers
117,2021-04-15,18021.0,Sofa Slipcovers
118,2021-04-16,16286.0,Sofa Slipcovers
119,2021-04-17,14569.0,Sofa Slipcovers
120,2021-04-18,11785.0,Sofa Slipcovers
121,2021-04-19,11785.0,Sofa Slipcovers
122,2021-04-20,15207.0,Sofa Slipcovers
123,2021-04-21,15207.0,Sofa Slipcovers
124,2021-04-22,15061.0,Sofa Slipcovers
125,2021-04-23,11154.0,Sofa Slipcovers
126,2021-04-24,12948.0,Sofa Slipcovers
127,2021-04-25,13462.0,Sofa Slipcovers
128,2021-04-26,13462.0,Sofa Slipcovers
129,2021-04-27,15524.0,Sofa Slipcovers
130,2021-04-28,15524.0,Sofa Slipcovers
131,2021-04-29,19358.0,Sofa Slipcovers
132,2021-04-30,19358.0,Sofa Slipcovers
133,2021-05-01,18967.0,Sofa Slipcovers
134,2021-05-02,18054.0,Sofa Slipcovers
135,2021-05-03,18054.0,Sofa Slipcovers
136,2021-05-04,17586.0,Sofa Slipcovers
137,2021-05-05,17586.0,Sofa Slipcovers
138,2021-05-06,20271.0,Sofa Slipcovers
139,2021-05-07,18348.0,Sofa Slipcovers
140,2021-05-08,18348.0,Sofa Slipcovers
141,2021-05-09,18309.0,Sofa Slipcovers
142,2021-05-10,19150.0,Sofa Slipcovers
143,2021-05-11,19150.0,Sofa Slipcovers
144,2021-05-12,10504.0,Sofa Slipcovers
145,2021-05-13,10504.0,Sofa Slipcovers
146,2021-05-14,11307.0,Sofa Slipcovers
147,2021-05-15,13250.0,Sofa Slipcovers
148,2021-05-16,13250.0,Sofa Slipcovers
149,2021-05-17,17793.0,Sofa Slipcovers
150,2021-05-18,19238.0,Sofa Slipcovers
151,2021-05-19,12526.0,Sofa Slipcovers
152,2021-05-20,13610.0,Sofa Slipcovers
153,2021-05-21,13610.0,Sofa Slipcovers
154,2021-05-22,14204.0,Sofa Slipcovers
155,2021-05-23,10751.0,Sofa Slipcovers
156,2021-05-24,11269.0,Sofa Slipcovers
157,2021-05-25,11033.0,Sofa Slipcovers
158,2021-05-26,12759.0,Sofa Slipcovers
159,2021-05-27,12302.0,Sofa Slipcovers
160,2021-05-28,15926.0,Sofa Slipcovers
161,2021-05-29,18571.0,Sofa Slipcovers
162,2021-05-30,18571.0,Sofa Slipcovers
163,2021-05-31,16827.0,Sofa Slipcovers
164,2021-06-01,20987.0,Sofa Slipcovers
165,2021-06-02,26023.0,Sofa Slipcovers
166,2021-06-03,26023.0,Sofa Slipcovers
167,2021-06-04,18895.0,Sofa Slipcovers
168,2021-06-05,20433.0,Sofa Slipcovers
169,2021-06-06,18308.0,Sofa Slipcovers
170,2021-06-07,17876.0,Sofa Slipcovers
171,2021-06-08,20856.0,Sofa Slipcovers
172,2021-06-09,24040.0,Sofa Slipcovers
173,2021-06-10,23814.0,Sofa Slipcovers
174,2021-06-11,20312.0,Sofa Slipcovers
175,2021-06-12,20067.0,Sofa Slipcovers
176,2021-06-13,23902.0,Sofa Slipcovers
177,2021-06-14,25914.0,Sofa Slipcovers
178,2021-06-15,29136.0,Sofa Slipcovers
179,2021-06-16,25087.0,Sofa Slipcovers
180,2021-06-17,24264.0,Sofa Slipcovers
181,2021-06-18,25809.0,Sofa Slipcovers
182,2021-06-19,28110.0,Sofa Slipcovers
183,2021-06-20,22899.0,Sofa Slipcovers
184,2021-06-21,23929.0,Sofa Slipcovers
185,2021-06-22,27448.0,Sofa Slipcovers
186,2021-06-23,26315.0,Sofa Slipcovers
187,2021-06-24,26815.0,Sofa Slipcovers
188,2021-06-25,16797.0,Sofa Slipcovers
189,2021-06-26,18275.0,Sofa Slipcovers
190,2021-06-27,17355.0,Sofa Slipcovers
191,2021-06-28,16193.0,Sofa Slipcovers
192,2021-06-29,604877.0,Sofa Slipcovers
193,2021-06-30,768723.0,Sofa Slipcovers
194,2021-07-01,813668.0,Sofa Slipcovers
195,2021-07-02,905111.0,Sofa Slipcovers
196,2021-07-03,905111.0,Sofa Slipcovers
197,2021-07-04,18882.0,Sofa Slipcovers
198,2021-07-05,18882.0,Sofa Slipcovers
199,2021-07-06,13374.0,Sofa Slipcovers
200,2021-07-07,672996.0,Sofa Slipcovers
201,2021-07-08,28104.0,Sofa Slipcovers
202,2021-07-09,19145.0,Sofa Slipcovers
