,date,value,name_B07PPQ3F6K
0,2019-07-27,2252174.0,Air Purifier Parts & Accessories
1,2019-07-28,2310720.0,Air Purifier Parts & Accessories
2,2019-07-29,2388325.0,Air Purifier Parts & Accessories
3,2019-07-30,2420214.0,Air Purifier Parts & Accessories
4,2019-07-31,617491.0,Air Purifier Parts & Accessories
5,2019-08-01,741373.0,Air Purifier Parts & Accessories
6,2019-08-02,879880.0,Air Purifier Parts & Accessories
7,2019-08-03,1017198.0,Air Purifier Parts & Accessories
8,2019-08-04,1169153.0,Air Purifier Parts & Accessories
9,2019-08-05,1269892.0,Air Purifier Parts & Accessories
10,2019-08-06,1444795.0,Air Purifier Parts & Accessories
11,2019-08-07,1532906.0,Air Purifier Parts & Accessories
12,2019-08-08,1625078.0,Air Purifier Parts & Accessories
13,2019-08-09,1696179.0,Air Purifier Parts & Accessories
14,2019-08-10,1770391.0,Air Purifier Parts & Accessories
15,2019-08-11,1781748.0,Air Purifier Parts & Accessories
16,2019-08-12,575775.0,Air Purifier Parts & Accessories
17,2019-08-13,752601.0,Air Purifier Parts & Accessories
18,2019-08-14,886274.0,Air Purifier Parts & Accessories
19,2019-08-15,999267.0,Air Purifier Parts & Accessories
20,2019-08-16,495837.0,Air Purifier Parts & Accessories
21,2019-08-17,626706.0,Air Purifier Parts & Accessories
22,2019-08-18,753407.0,Air Purifier Parts & Accessories
23,2019-08-19,874513.0,Air Purifier Parts & Accessories
24,2019-08-20,1012337.0,Air Purifier Parts & Accessories
25,2019-08-21,1132446.0,Air Purifier Parts & Accessories
26,2019-08-22,1186058.0,Air Purifier Parts & Accessories
27,2019-08-23,1227455.0,Air Purifier Parts & Accessories
28,2019-08-24,1327936.0,Air Purifier Parts & Accessories
29,2019-08-25,1377579.0,Air Purifier Parts & Accessories
30,2019-08-26,1428703.0,Air Purifier Parts & Accessories
31,2019-08-27,1477823.0,Air Purifier Parts & Accessories
32,2019-08-28,1531955.0,Air Purifier Parts & Accessories
33,2019-08-29,1615056.0,Air Purifier Parts & Accessories
34,2019-08-30,1657631.0,Air Purifier Parts & Accessories
35,2019-08-31,1710788.0,Air Purifier Parts & Accessories
36,2019-09-01,1770444.0,Air Purifier Parts & Accessories
37,2019-09-02,1770444.0,Air Purifier Parts & Accessories
38,2019-09-03,1867895.0,Air Purifier Parts & Accessories
39,2019-09-04,1933428.0,Air Purifier Parts & Accessories
40,2019-09-05,1964984.0,Air Purifier Parts & Accessories
41,2019-09-06,589735.0,Air Purifier Parts & Accessories
42,2019-09-07,705373.0,Air Purifier Parts & Accessories
43,2019-09-08,832020.0,Air Purifier Parts & Accessories
44,2019-09-09,832020.0,Air Purifier Parts & Accessories
45,2019-09-10,832020.0,Air Purifier Parts & Accessories
46,2019-09-11,832020.0,Air Purifier Parts & Accessories
47,2019-09-12,832020.0,Air Purifier Parts & Accessories
48,2019-09-13,832020.0,Air Purifier Parts & Accessories
49,2019-09-14,832020.0,Air Purifier Parts & Accessories
50,2019-09-15,832020.0,Air Purifier Parts & Accessories
51,2019-09-16,832020.0,Air Purifier Parts & Accessories
52,2019-09-17,832020.0,Air Purifier Parts & Accessories
53,2019-09-18,832020.0,Air Purifier Parts & Accessories
54,2019-09-19,832020.0,Air Purifier Parts & Accessories
55,2019-09-20,832020.0,Air Purifier Parts & Accessories
56,2019-09-21,832020.0,Air Purifier Parts & Accessories
57,2019-09-22,832020.0,Air Purifier Parts & Accessories
58,2019-09-23,832020.0,Air Purifier Parts & Accessories
59,2019-09-24,832020.0,Air Purifier Parts & Accessories
60,2019-09-25,832020.0,Air Purifier Parts & Accessories
61,2019-09-26,832020.0,Air Purifier Parts & Accessories
62,2019-09-27,387954.0,Air Purifier Parts & Accessories
63,2019-09-28,103880.0,Air Purifier Parts & Accessories
64,2019-09-29,250335.0,Air Purifier Parts & Accessories
65,2019-09-30,373425.0,Air Purifier Parts & Accessories
66,2019-10-01,188493.0,Air Purifier Parts & Accessories
67,2019-10-02,136464.0,Air Purifier Parts & Accessories
68,2019-10-03,306275.0,Air Purifier Parts & Accessories
69,2019-10-04,189229.0,Air Purifier Parts & Accessories
70,2019-10-05,380289.0,Air Purifier Parts & Accessories
71,2019-10-06,347437.0,Air Purifier Parts & Accessories
72,2019-10-07,347437.0,Air Purifier Parts & Accessories
73,2019-10-08,222678.0,Air Purifier Parts & Accessories
74,2019-10-09,174751.0,Air Purifier Parts & Accessories
75,2019-10-10,174751.0,Air Purifier Parts & Accessories
76,2019-10-11,174751.0,Air Purifier Parts & Accessories
77,2019-10-12,174751.0,Air Purifier Parts & Accessories
78,2019-10-13,174751.0,Air Purifier Parts & Accessories
79,2019-10-14,174751.0,Air Purifier Parts & Accessories
80,2019-10-15,174751.0,Air Purifier Parts & Accessories
81,2019-10-16,174751.0,Air Purifier Parts & Accessories
82,2019-10-17,174751.0,Air Purifier Parts & Accessories
83,2019-10-18,174751.0,Air Purifier Parts & Accessories
84,2019-10-19,174751.0,Air Purifier Parts & Accessories
85,2019-10-20,174751.0,Air Purifier Parts & Accessories
86,2019-10-21,174751.0,Air Purifier Parts & Accessories
87,2019-10-22,174751.0,Air Purifier Parts & Accessories
88,2019-10-23,174751.0,Air Purifier Parts & Accessories
89,2019-10-24,174751.0,Air Purifier Parts & Accessories
90,2019-10-25,174751.0,Air Purifier Parts & Accessories
91,2019-10-26,174751.0,Air Purifier Parts & Accessories
92,2019-10-27,174751.0,Air Purifier Parts & Accessories
93,2019-10-28,219011.0,Air Purifier Parts & Accessories
94,2019-10-29,219011.0,Air Purifier Parts & Accessories
95,2019-10-30,219011.0,Air Purifier Parts & Accessories
96,2019-10-31,479091.0,Air Purifier Parts & Accessories
97,2019-11-01,523500.0,Air Purifier Parts & Accessories
98,2019-11-02,460624.0,Air Purifier Parts & Accessories
99,2019-11-03,569461.0,Air Purifier Parts & Accessories
100,2019-11-04,627146.0,Air Purifier Parts & Accessories
101,2019-11-05,667943.0,Air Purifier Parts & Accessories
102,2019-11-06,563721.0,Air Purifier Parts & Accessories
103,2019-11-07,336960.0,Air Purifier Parts & Accessories
104,2019-11-08,539989.0,Air Purifier Parts & Accessories
105,2019-11-09,594706.0,Air Purifier Parts & Accessories
106,2019-11-10,668027.0,Air Purifier Parts & Accessories
107,2019-11-11,401113.0,Air Purifier Parts & Accessories
108,2019-11-12,401113.0,Air Purifier Parts & Accessories
109,2019-11-13,401113.0,Air Purifier Parts & Accessories
110,2019-11-14,401113.0,Air Purifier Parts & Accessories
111,2019-11-15,401113.0,Air Purifier Parts & Accessories
112,2019-11-16,401113.0,Air Purifier Parts & Accessories
113,2019-11-17,401113.0,Air Purifier Parts & Accessories
114,2019-11-18,401113.0,Air Purifier Parts & Accessories
115,2019-11-19,401113.0,Air Purifier Parts & Accessories
116,2019-11-20,401113.0,Air Purifier Parts & Accessories
117,2019-11-21,853092.0,Air Purifier Parts & Accessories
118,2019-11-22,853092.0,Air Purifier Parts & Accessories
119,2019-11-23,853092.0,Air Purifier Parts & Accessories
120,2019-11-24,853092.0,Air Purifier Parts & Accessories
121,2019-11-25,853092.0,Air Purifier Parts & Accessories
122,2019-11-26,853092.0,Air Purifier Parts & Accessories
123,2019-11-27,853092.0,Air Purifier Parts & Accessories
124,2019-11-28,853092.0,Air Purifier Parts & Accessories
125,2019-11-29,853092.0,Air Purifier Parts & Accessories
126,2019-11-30,853092.0,Air Purifier Parts & Accessories
127,2019-12-01,853092.0,Air Purifier Parts & Accessories
128,2019-12-02,710312.0,Air Purifier Parts & Accessories
129,2019-12-03,710312.0,Air Purifier Parts & Accessories
130,2019-12-04,710312.0,Air Purifier Parts & Accessories
131,2019-12-05,498946.0,Air Purifier Parts & Accessories
132,2019-12-06,498946.0,Air Purifier Parts & Accessories
133,2019-12-07,498946.0,Air Purifier Parts & Accessories
134,2019-12-08,498946.0,Air Purifier Parts & Accessories
135,2019-12-09,498946.0,Air Purifier Parts & Accessories
136,2019-12-10,498946.0,Air Purifier Parts & Accessories
137,2019-12-11,498946.0,Air Purifier Parts & Accessories
138,2019-12-12,797148.0,Air Purifier Parts & Accessories
139,2019-12-13,797148.0,Air Purifier Parts & Accessories
140,2019-12-14,797148.0,Air Purifier Parts & Accessories
141,2019-12-15,797148.0,Air Purifier Parts & Accessories
142,2019-12-16,1151701.0,Air Purifier Parts & Accessories
143,2019-12-17,1151701.0,Air Purifier Parts & Accessories
144,2019-12-18,1151701.0,Air Purifier Parts & Accessories
145,2019-12-19,1151701.0,Air Purifier Parts & Accessories
146,2019-12-20,1151701.0,Air Purifier Parts & Accessories
147,2019-12-21,1151701.0,Air Purifier Parts & Accessories
148,2019-12-22,1151701.0,Air Purifier Parts & Accessories
149,2019-12-23,1073164.0,Air Purifier Parts & Accessories
150,2019-12-24,1073164.0,Air Purifier Parts & Accessories
151,2019-12-25,1073164.0,Air Purifier Parts & Accessories
152,2019-12-26,1073164.0,Air Purifier Parts & Accessories
153,2019-12-27,1073164.0,Air Purifier Parts & Accessories
154,2019-12-28,1073164.0,Air Purifier Parts & Accessories
155,2019-12-29,487214.0,Air Purifier Parts & Accessories
156,2019-12-30,487214.0,Air Purifier Parts & Accessories
157,2019-12-31,487214.0,Air Purifier Parts & Accessories
158,2020-01-01,487214.0,Air Purifier Parts & Accessories
159,2020-01-02,487214.0,Air Purifier Parts & Accessories
160,2020-01-03,487214.0,Air Purifier Parts & Accessories
161,2020-01-04,487214.0,Air Purifier Parts & Accessories
162,2020-01-05,487214.0,Air Purifier Parts & Accessories
163,2020-01-06,487214.0,Air Purifier Parts & Accessories
164,2020-01-07,487214.0,Air Purifier Parts & Accessories
165,2020-01-08,197134.0,Air Purifier Parts & Accessories
166,2020-01-09,197134.0,Air Purifier Parts & Accessories
167,2020-01-10,197134.0,Air Purifier Parts & Accessories
168,2020-01-11,197134.0,Air Purifier Parts & Accessories
169,2020-01-12,197134.0,Air Purifier Parts & Accessories
