,date,value,name_B08Y96GSXC
0,2021-03-31,16181.0,Shade Sails
1,2021-04-01,7896.0,Shade Sails
2,2021-04-02,7398.0,Shade Sails
3,2021-04-03,4636.0,Shade Sails
4,2021-04-04,4636.0,Shade Sails
5,2021-04-05,3174.0,Shade Sails
6,2021-04-06,3174.0,Shade Sails
7,2021-04-07,3591.0,Shade Sails
8,2021-04-08,1864.0,Shade Sails
9,2021-04-09,1978.0,Shade Sails
10,2021-04-10,2512.0,Shade Sails
11,2021-04-11,1476.0,Shade Sails
12,2021-04-12,1103.0,Shade Sails
13,2021-04-13,1264.0,Shade Sails
14,2021-04-14,1601.0,Shade Sails
15,2021-04-15,1609.0,Shade Sails
16,2021-04-16,1456.0,Shade Sails
17,2021-04-17,1589.0,Shade Sails
18,2021-04-18,1693.0,Shade Sails
19,2021-04-19,1138.0,Shade Sails
20,2021-04-20,1303.0,Shade Sails
21,2021-04-21,934.0,Shade Sails
22,2021-04-22,1164.0,Shade Sails
23,2021-04-23,1354.0,Shade Sails
24,2021-04-24,1417.0,Shade Sails
25,2021-04-25,1379.0,Shade Sails
26,2021-04-26,1045.0,Shade Sails
27,2021-04-27,1392.0,Shade Sails
28,2021-04-28,1164.0,Shade Sails
29,2021-04-29,1143.0,Shade Sails
30,2021-04-30,1081.0,Shade Sails
31,2021-05-01,1016.0,Shade Sails
32,2021-05-02,1044.0,Shade Sails
33,2021-05-03,1099.0,Shade Sails
34,2021-05-04,1121.0,Shade Sails
35,2021-05-05,1075.0,Shade Sails
36,2021-05-06,920.0,Shade Sails
37,2021-05-07,1005.0,Shade Sails
38,2021-05-08,989.0,Shade Sails
39,2021-05-09,1159.0,Shade Sails
40,2021-05-10,1095.0,Shade Sails
41,2021-05-11,1207.0,Shade Sails
42,2021-05-12,1207.0,Shade Sails
43,2021-05-13,1376.0,Shade Sails
44,2021-05-14,1376.0,Shade Sails
45,2021-05-15,1388.0,Shade Sails
46,2021-05-16,1096.0,Shade Sails
47,2021-05-17,950.0,Shade Sails
48,2021-05-18,1024.0,Shade Sails
49,2021-05-19,1024.0,Shade Sails
50,2021-05-20,1281.0,Shade Sails
51,2021-05-21,1197.0,Shade Sails
52,2021-05-22,1221.0,Shade Sails
53,2021-05-23,1221.0,Shade Sails
54,2021-05-24,1104.0,Shade Sails
55,2021-05-25,1403.0,Shade Sails
56,2021-05-26,1572.0,Shade Sails
57,2021-05-27,1481.0,Shade Sails
58,2021-05-28,1609.0,Shade Sails
59,2021-05-29,1609.0,Shade Sails
60,2021-05-30,2585.0,Shade Sails
61,2021-05-31,3060.0,Shade Sails
62,2021-06-01,2842.0,Shade Sails
63,2021-06-02,3428.0,Shade Sails
64,2021-06-03,3208.0,Shade Sails
65,2021-06-04,2502.0,Shade Sails
66,2021-06-05,2502.0,Shade Sails
67,2021-06-06,2236.0,Shade Sails
68,2021-06-07,2259.0,Shade Sails
69,2021-06-08,1619.0,Shade Sails
70,2021-06-09,1410.0,Shade Sails
71,2021-06-10,1768.0,Shade Sails
72,2021-06-11,1768.0,Shade Sails
73,2021-06-12,1566.0,Shade Sails
74,2021-06-13,1566.0,Shade Sails
75,2021-06-14,1609.0,Shade Sails
76,2021-06-15,1609.0,Shade Sails
77,2021-06-16,2600.0,Shade Sails
78,2021-06-17,2600.0,Shade Sails
79,2021-06-18,3269.0,Shade Sails
80,2021-06-19,2786.0,Shade Sails
81,2021-06-20,2786.0,Shade Sails
82,2021-06-21,2488.0,Shade Sails
83,2021-06-22,1723.0,Shade Sails
84,2021-06-23,1734.0,Shade Sails
85,2021-06-24,1734.0,Shade Sails
86,2021-06-25,1589.0,Shade Sails
87,2021-06-26,1589.0,Shade Sails
88,2021-06-27,1154.0,Shade Sails
89,2021-06-28,907.0,Shade Sails
90,2021-06-29,925.0,Shade Sails
91,2021-06-30,1068.0,Shade Sails
92,2021-07-01,1068.0,Shade Sails
93,2021-07-02,820.0,Shade Sails
94,2021-07-03,949.0,Shade Sails
95,2021-07-04,949.0,Shade Sails
96,2021-07-05,990.0,Shade Sails
97,2021-07-06,750.0,Shade Sails
98,2021-07-07,913.0,Shade Sails
99,2021-07-08,821.0,Shade Sails
100,2021-07-09,895.0,Shade Sails
101,2021-07-10,895.0,Shade Sails
102,2021-07-11,815.0,Shade Sails
