,date,value,name_B08J7KYZ4H
0,2020-11-30,95166.0,Utility Carts
1,2020-12-01,43878.0,Utility Carts
2,2020-12-02,63551.0,Utility Carts
3,2020-12-03,63551.0,Utility Carts
4,2020-12-04,63551.0,Utility Carts
5,2020-12-05,51272.0,Utility Carts
6,2020-12-06,51272.0,Utility Carts
7,2020-12-07,51272.0,Utility Carts
8,2020-12-08,32991.0,Utility Carts
9,2020-12-09,32991.0,Utility Carts
10,2020-12-10,32991.0,Utility Carts
11,2020-12-11,32991.0,Utility Carts
12,2020-12-12,34918.0,Utility Carts
13,2020-12-13,34918.0,Utility Carts
14,2020-12-14,18067.0,Utility Carts
15,2020-12-15,18067.0,Utility Carts
16,2020-12-16,20013.0,Utility Carts
17,2020-12-17,20013.0,Utility Carts
18,2020-12-18,20013.0,Utility Carts
19,2020-12-19,20013.0,Utility Carts
20,2020-12-20,20013.0,Utility Carts
21,2020-12-21,10884.0,Utility Carts
22,2020-12-22,10884.0,Utility Carts
23,2020-12-23,10884.0,Utility Carts
24,2020-12-24,11678.0,Utility Carts
25,2020-12-25,11678.0,Utility Carts
26,2020-12-26,10743.0,Utility Carts
27,2020-12-27,10743.0,Utility Carts
28,2020-12-28,7456.0,Utility Carts
29,2020-12-29,7456.0,Utility Carts
30,2020-12-30,7456.0,Utility Carts
31,2020-12-31,7456.0,Utility Carts
32,2021-01-01,6016.0,Utility Carts
33,2021-01-02,6016.0,Utility Carts
34,2021-01-03,6055.0,Utility Carts
35,2021-01-04,6055.0,Utility Carts
36,2021-01-05,6055.0,Utility Carts
37,2021-01-06,5900.0,Utility Carts
38,2021-01-07,5900.0,Utility Carts
39,2021-01-08,5900.0,Utility Carts
40,2021-01-09,5900.0,Utility Carts
41,2021-01-10,8601.0,Utility Carts
42,2021-01-11,8601.0,Utility Carts
43,2021-01-12,12044.0,Utility Carts
44,2021-01-13,12044.0,Utility Carts
45,2021-01-14,12044.0,Utility Carts
46,2021-01-15,11975.0,Utility Carts
47,2021-01-16,11975.0,Utility Carts
48,2021-01-17,11975.0,Utility Carts
49,2021-01-18,11975.0,Utility Carts
50,2021-01-19,9668.0,Utility Carts
51,2021-01-20,11760.0,Utility Carts
52,2021-01-21,10925.0,Utility Carts
53,2021-01-22,11055.0,Utility Carts
54,2021-01-23,7950.0,Utility Carts
55,2021-01-24,7950.0,Utility Carts
56,2021-01-25,8316.0,Utility Carts
57,2021-01-26,8063.0,Utility Carts
58,2021-01-27,15297.0,Utility Carts
