,date,value,name_B07ZYGJT6V
0,2020-08-05,1059.0,Inkjet Printer Paper
1,2020-08-06,897.0,Inkjet Printer Paper
2,2020-08-07,559.0,Inkjet Printer Paper
3,2020-08-08,559.0,Inkjet Printer Paper
4,2020-08-09,597.0,Inkjet Printer Paper
5,2020-08-10,659.0,Inkjet Printer Paper
6,2020-08-11,659.0,Inkjet Printer Paper
7,2020-08-12,659.0,Inkjet Printer Paper
8,2020-08-13,965.0,Inkjet Printer Paper
9,2020-08-14,859.0,Inkjet Printer Paper
10,2020-08-15,859.0,Inkjet Printer Paper
11,2020-08-16,859.0,Inkjet Printer Paper
12,2020-08-17,767.0,Inkjet Printer Paper
13,2020-08-18,767.0,Inkjet Printer Paper
14,2020-08-19,599.0,Inkjet Printer Paper
15,2020-08-20,501.0,Inkjet Printer Paper
16,2020-08-21,501.0,Inkjet Printer Paper
17,2020-08-22,501.0,Inkjet Printer Paper
18,2020-08-23,576.0,Inkjet Printer Paper
19,2020-08-24,576.0,Inkjet Printer Paper
20,2020-08-25,576.0,Inkjet Printer Paper
21,2020-08-26,949.0,Inkjet Printer Paper
22,2020-08-27,949.0,Inkjet Printer Paper
23,2020-08-28,1865.0,Inkjet Printer Paper
24,2020-08-29,1865.0,Inkjet Printer Paper
25,2020-08-30,2407.0,Inkjet Printer Paper
26,2020-08-31,2407.0,Inkjet Printer Paper
27,2020-09-01,2407.0,Inkjet Printer Paper
28,2020-09-02,3036.0,Inkjet Printer Paper
29,2020-09-03,3036.0,Inkjet Printer Paper
30,2020-09-04,3036.0,Inkjet Printer Paper
31,2020-09-05,3036.0,Inkjet Printer Paper
32,2020-09-06,2982.0,Inkjet Printer Paper
33,2020-09-07,2947.0,Inkjet Printer Paper
34,2020-09-08,2947.0,Inkjet Printer Paper
35,2020-09-09,2947.0,Inkjet Printer Paper
36,2020-09-10,3354.0,Inkjet Printer Paper
37,2020-09-11,3354.0,Inkjet Printer Paper
38,2020-09-12,3354.0,Inkjet Printer Paper
39,2020-09-13,5198.0,Inkjet Printer Paper
40,2020-09-14,5198.0,Inkjet Printer Paper
41,2020-09-15,5198.0,Inkjet Printer Paper
42,2020-09-16,2774.0,Inkjet Printer Paper
43,2020-09-17,2774.0,Inkjet Printer Paper
44,2020-09-18,2774.0,Inkjet Printer Paper
45,2020-09-19,675.0,Inkjet Printer Paper
46,2020-09-20,611.0,Inkjet Printer Paper
47,2020-09-21,660.0,Inkjet Printer Paper
48,2020-09-22,660.0,Inkjet Printer Paper
49,2020-09-23,495.0,Inkjet Printer Paper
50,2020-09-24,495.0,Inkjet Printer Paper
51,2020-09-25,495.0,Inkjet Printer Paper
52,2020-09-26,365.0,Inkjet Printer Paper
53,2020-09-27,403.0,Inkjet Printer Paper
54,2020-09-28,421.0,Inkjet Printer Paper
55,2020-09-29,421.0,Inkjet Printer Paper
56,2020-09-30,446.0,Inkjet Printer Paper
57,2020-10-01,446.0,Inkjet Printer Paper
58,2020-10-02,446.0,Inkjet Printer Paper
59,2020-10-03,239.0,Inkjet Printer Paper
60,2020-10-04,239.0,Inkjet Printer Paper
61,2020-10-05,301.0,Inkjet Printer Paper
62,2020-10-06,422.0,Inkjet Printer Paper
63,2020-10-07,672.0,Inkjet Printer Paper
64,2020-10-08,699.0,Inkjet Printer Paper
65,2020-10-09,699.0,Inkjet Printer Paper
66,2020-10-10,699.0,Inkjet Printer Paper
67,2020-10-11,766.0,Inkjet Printer Paper
68,2020-10-12,766.0,Inkjet Printer Paper
69,2020-10-13,1057.0,Inkjet Printer Paper
70,2020-10-14,1057.0,Inkjet Printer Paper
71,2020-10-15,1336.0,Inkjet Printer Paper
72,2020-10-16,1413.0,Inkjet Printer Paper
73,2020-10-17,1413.0,Inkjet Printer Paper
74,2020-10-18,1413.0,Inkjet Printer Paper
75,2020-10-19,843.0,Inkjet Printer Paper
76,2020-10-20,860.0,Inkjet Printer Paper
77,2020-10-21,860.0,Inkjet Printer Paper
78,2020-10-22,619.0,Inkjet Printer Paper
79,2020-10-23,619.0,Inkjet Printer Paper
80,2020-10-24,619.0,Inkjet Printer Paper
81,2020-10-25,463.0,Inkjet Printer Paper
82,2020-10-26,463.0,Inkjet Printer Paper
83,2020-10-27,564.0,Inkjet Printer Paper
84,2020-10-28,564.0,Inkjet Printer Paper
85,2020-10-29,564.0,Inkjet Printer Paper
86,2020-10-30,465.0,Inkjet Printer Paper
87,2020-10-31,373.0,Inkjet Printer Paper
88,2020-11-01,373.0,Inkjet Printer Paper
89,2020-11-02,476.0,Inkjet Printer Paper
90,2020-11-03,476.0,Inkjet Printer Paper
91,2020-11-04,476.0,Inkjet Printer Paper
