,date,value,name_B09176YJDG
0,2021-04-26,34500.0,Fidget Spinners
1,2021-04-27,34500.0,Fidget Spinners
2,2021-04-28,34500.0,Fidget Spinners
3,2021-04-29,19690.0,Fidget Spinners
4,2021-04-30,13762.0,Fidget Spinners
5,2021-05-01,22536.0,Fidget Spinners
6,2021-05-02,22536.0,Fidget Spinners
7,2021-05-03,22536.0,Fidget Spinners
8,2021-05-04,11151.0,Fidget Spinners
9,2021-05-05,11151.0,Fidget Spinners
10,2021-05-06,7456.0,Fidget Spinners
11,2021-05-07,7998.0,Fidget Spinners
12,2021-05-08,7998.0,Fidget Spinners
13,2021-05-09,11160.0,Fidget Spinners
14,2021-05-10,12071.0,Fidget Spinners
15,2021-05-11,12071.0,Fidget Spinners
16,2021-05-12,11014.0,Fidget Spinners
17,2021-05-13,11014.0,Fidget Spinners
18,2021-05-14,11902.0,Fidget Spinners
19,2021-05-15,9095.0,Fidget Spinners
20,2021-05-16,4512.0,Fidget Spinners
21,2021-05-17,3607.0,Fidget Spinners
22,2021-05-18,3652.0,Fidget Spinners
23,2021-05-19,2149.0,Fidget Spinners
24,2021-05-20,2618.0,Fidget Spinners
25,2021-05-21,3087.0,Fidget Spinners
26,2021-05-22,2423.0,Fidget Spinners
27,2021-05-23,2164.0,Fidget Spinners
28,2021-05-24,6101.0,Fidget Spinners
29,2021-05-25,6101.0,Fidget Spinners
30,2021-05-26,6101.0,Fidget Spinners
31,2021-05-27,10762.0,Fidget Spinners
32,2021-05-28,7746.0,Fidget Spinners
33,2021-05-29,7746.0,Fidget Spinners
34,2021-05-30,7746.0,Fidget Spinners
35,2021-05-31,7746.0,Fidget Spinners
36,2021-06-01,17983.0,Fidget Spinners
37,2021-06-02,17983.0,Fidget Spinners
38,2021-06-03,17983.0,Fidget Spinners
39,2021-06-04,8168.0,Fidget Spinners
40,2021-06-05,8168.0,Fidget Spinners
41,2021-06-06,4400.0,Fidget Spinners
42,2021-06-07,4400.0,Fidget Spinners
43,2021-06-08,5253.0,Fidget Spinners
44,2021-06-09,4390.0,Fidget Spinners
45,2021-06-10,4390.0,Fidget Spinners
46,2021-06-11,5088.0,Fidget Spinners
47,2021-06-12,5723.0,Fidget Spinners
48,2021-06-13,5723.0,Fidget Spinners
49,2021-06-14,3006.0,Fidget Spinners
50,2021-06-15,2685.0,Fidget Spinners
51,2021-06-16,2685.0,Fidget Spinners
52,2021-06-17,1626.0,Fidget Spinners
53,2021-06-18,1626.0,Fidget Spinners
54,2021-06-19,1029.0,Fidget Spinners
55,2021-06-20,1029.0,Fidget Spinners
56,2021-06-21,10258.0,Fidget Spinners
57,2021-06-22,14086.0,Fidget Spinners
58,2021-06-23,16384.0,Fidget Spinners
59,2021-06-24,16384.0,Fidget Spinners
60,2021-06-25,23263.0,Fidget Spinners
61,2021-06-26,23263.0,Fidget Spinners
62,2021-06-27,23361.0,Fidget Spinners
63,2021-06-28,26326.0,Fidget Spinners
64,2021-06-29,26326.0,Fidget Spinners
65,2021-06-30,24401.0,Fidget Spinners
66,2021-07-01,24362.0,Fidget Spinners
67,2021-07-02,24362.0,Fidget Spinners
68,2021-07-03,24362.0,Fidget Spinners
69,2021-07-04,24362.0,Fidget Spinners
70,2021-07-05,24362.0,Fidget Spinners
71,2021-07-06,42883.0,Fidget Spinners
72,2021-07-07,42883.0,Fidget Spinners
73,2021-07-08,22076.0,Fidget Spinners
74,2021-07-09,49427.0,Fidget Spinners
