,date,value,name_B072L3GPLQ
159,2018-11-06,3124.0,Test Strips
160,2018-11-07,3124.0,Test Strips
161,2018-11-08,3124.0,Test Strips
162,2018-11-09,5010.0,Test Strips
163,2018-11-10,5010.0,Test Strips
164,2018-11-11,5010.0,Test Strips
165,2018-11-12,4977.0,Test Strips
166,2018-11-13,4977.0,Test Strips
167,2018-11-14,6785.0,Test Strips
168,2018-11-15,3446.0,Test Strips
169,2018-11-16,4499.0,Test Strips
170,2018-11-17,5030.0,Test Strips
171,2018-11-18,5036.0,Test Strips
172,2018-11-19,3025.0,Test Strips
173,2018-11-20,3208.0,Test Strips
174,2018-11-21,3208.0,Test Strips
175,2018-11-22,3208.0,Test Strips
176,2018-11-23,5208.0,Test Strips
177,2018-11-24,4651.0,Test Strips
178,2018-11-25,6928.0,Test Strips
179,2018-11-26,6928.0,Test Strips
180,2018-11-27,5699.0,Test Strips
181,2018-11-28,5699.0,Test Strips
182,2018-11-29,4904.0,Test Strips
183,2018-11-30,4869.0,Test Strips
184,2018-12-01,4777.0,Test Strips
185,2018-12-02,5009.0,Test Strips
186,2018-12-03,5009.0,Test Strips
187,2018-12-04,7779.0,Test Strips
188,2018-12-05,4908.0,Test Strips
189,2018-12-06,4908.0,Test Strips
190,2018-12-07,4908.0,Test Strips
191,2018-12-08,4908.0,Test Strips
192,2018-12-09,6351.0,Test Strips
193,2018-12-10,5026.0,Test Strips
194,2018-12-11,5026.0,Test Strips
195,2018-12-12,4160.0,Test Strips
196,2018-12-13,4160.0,Test Strips
197,2018-12-14,6959.0,Test Strips
198,2018-12-15,6181.0,Test Strips
199,2018-12-16,6181.0,Test Strips
200,2018-12-17,6181.0,Test Strips
201,2018-12-18,6181.0,Test Strips
202,2018-12-19,6181.0,Test Strips
203,2018-12-20,6837.0,Test Strips
204,2018-12-21,6020.0,Test Strips
205,2018-12-22,5527.0,Test Strips
206,2018-12-23,5527.0,Test Strips
207,2018-12-24,5527.0,Test Strips
208,2018-12-25,5527.0,Test Strips
209,2018-12-26,5446.0,Test Strips
210,2018-12-27,4107.0,Test Strips
211,2018-12-28,4107.0,Test Strips
212,2018-12-29,4107.0,Test Strips
213,2018-12-30,4107.0,Test Strips
214,2018-12-31,2349.0,Test Strips
215,2019-01-01,2788.0,Test Strips
216,2019-01-02,2177.0,Test Strips
217,2019-01-03,2227.0,Test Strips
218,2019-01-04,2769.0,Test Strips
219,2019-01-05,2802.0,Test Strips
220,2019-01-06,2626.0,Test Strips
221,2019-01-07,3705.0,Test Strips
222,2019-01-08,2313.0,Test Strips
223,2019-01-09,2698.0,Test Strips
224,2019-01-10,3234.0,Test Strips
225,2019-01-11,2651.0,Test Strips
226,2019-01-12,3029.0,Test Strips
227,2019-01-13,2009.0,Test Strips
228,2019-01-14,2198.0,Test Strips
229,2019-01-15,2258.0,Test Strips
230,2019-01-16,3952.0,Test Strips
231,2019-01-17,3952.0,Test Strips
232,2019-01-18,2683.0,Test Strips
233,2019-01-19,3851.0,Test Strips
234,2019-01-20,2150.0,Test Strips
235,2019-01-21,3058.0,Test Strips
236,2019-01-22,2970.0,Test Strips
237,2019-01-23,3591.0,Test Strips
238,2019-01-24,4978.0,Test Strips
239,2019-01-25,4192.0,Test Strips
240,2019-01-26,2944.0,Test Strips
241,2019-01-27,3519.0,Test Strips
242,2019-01-28,3594.0,Test Strips
243,2019-01-29,4355.0,Test Strips
244,2019-01-30,4073.0,Test Strips
245,2019-01-31,5481.0,Test Strips
246,2019-02-01,2440.0,Test Strips
247,2019-02-02,3983.0,Test Strips
248,2019-02-03,1978.0,Test Strips
249,2019-02-04,3851.0,Test Strips
250,2019-02-05,3314.0,Test Strips
251,2019-02-06,2698.0,Test Strips
252,2019-02-07,5410.0,Test Strips
253,2019-02-08,6214.0,Test Strips
254,2019-02-09,6214.0,Test Strips
255,2019-02-10,5512.0,Test Strips
256,2019-02-11,4410.0,Test Strips
257,2019-02-12,4410.0,Test Strips
258,2019-02-13,4273.0,Test Strips
259,2019-02-14,3856.0,Test Strips
260,2019-02-15,4342.0,Test Strips
261,2019-02-16,5356.0,Test Strips
262,2019-02-17,5356.0,Test Strips
263,2019-02-18,4222.0,Test Strips
264,2019-02-19,7200.0,Test Strips
265,2019-02-20,4782.0,Test Strips
266,2019-02-21,3585.0,Test Strips
267,2019-02-22,3585.0,Test Strips
