,date,value,name_B091N94ZBL
0,2021-04-12,3952.0,Omega-3
1,2021-04-13,3952.0,Omega-3
2,2021-04-14,3952.0,Omega-3
3,2021-04-15,4288.0,Omega-3
4,2021-04-16,4288.0,Omega-3
5,2021-04-17,3412.0,Omega-3
6,2021-04-18,3412.0,Omega-3
7,2021-04-19,3993.0,Omega-3
8,2021-04-20,3993.0,Omega-3
9,2021-04-21,3686.0,Omega-3
10,2021-04-22,3686.0,Omega-3
11,2021-04-23,3686.0,Omega-3
12,2021-04-24,3462.0,Omega-3
13,2021-04-25,3462.0,Omega-3
14,2021-04-26,4008.0,Omega-3
15,2021-04-27,4008.0,Omega-3
16,2021-04-28,3838.0,Omega-3
17,2021-04-29,3838.0,Omega-3
18,2021-04-30,3838.0,Omega-3
19,2021-05-01,3417.0,Omega-3
20,2021-05-02,3161.0,Omega-3
21,2021-05-03,4257.0,Omega-3
22,2021-05-04,4257.0,Omega-3
23,2021-05-05,3527.0,Omega-3
24,2021-05-06,3527.0,Omega-3
25,2021-05-07,3527.0,Omega-3
26,2021-05-08,3527.0,Omega-3
27,2021-05-09,3661.0,Omega-3
28,2021-05-10,3955.0,Omega-3
29,2021-05-11,3955.0,Omega-3
30,2021-05-12,4059.0,Omega-3
31,2021-05-13,4059.0,Omega-3
32,2021-05-14,3567.0,Omega-3
33,2021-05-15,3903.0,Omega-3
34,2021-05-16,3903.0,Omega-3
35,2021-05-17,3903.0,Omega-3
36,2021-05-18,3368.0,Omega-3
37,2021-05-19,3752.0,Omega-3
38,2021-05-20,3604.0,Omega-3
39,2021-05-21,3452.0,Omega-3
40,2021-05-22,3452.0,Omega-3
41,2021-05-23,3947.0,Omega-3
42,2021-05-24,3947.0,Omega-3
43,2021-05-25,3388.0,Omega-3
44,2021-05-26,3406.0,Omega-3
45,2021-05-27,3585.0,Omega-3
46,2021-05-28,3585.0,Omega-3
47,2021-05-29,4302.0,Omega-3
48,2021-05-30,4302.0,Omega-3
49,2021-05-31,3014.0,Omega-3
50,2021-06-01,3470.0,Omega-3
51,2021-06-02,3470.0,Omega-3
52,2021-06-03,3688.0,Omega-3
53,2021-06-04,3688.0,Omega-3
54,2021-06-05,3688.0,Omega-3
55,2021-06-06,3743.0,Omega-3
56,2021-06-07,3743.0,Omega-3
57,2021-06-08,3737.0,Omega-3
58,2021-06-09,3737.0,Omega-3
59,2021-06-10,3405.0,Omega-3
60,2021-06-11,3405.0,Omega-3
61,2021-06-12,3545.0,Omega-3
62,2021-06-13,3545.0,Omega-3
63,2021-06-14,3545.0,Omega-3
64,2021-06-15,4176.0,Omega-3
65,2021-06-16,2949.0,Omega-3
66,2021-06-17,2949.0,Omega-3
67,2021-06-18,2949.0,Omega-3
68,2021-06-19,4492.0,Omega-3
69,2021-06-20,3658.0,Omega-3
70,2021-06-21,3671.0,Omega-3
71,2021-06-22,5166.0,Omega-3
72,2021-06-23,5166.0,Omega-3
73,2021-06-24,5166.0,Omega-3
74,2021-06-25,4004.0,Omega-3
75,2021-06-26,4004.0,Omega-3
76,2021-06-27,4004.0,Omega-3
77,2021-06-28,4167.0,Omega-3
78,2021-06-29,4167.0,Omega-3
79,2021-06-30,4386.0,Omega-3
80,2021-07-01,4386.0,Omega-3
81,2021-07-02,3751.0,Omega-3
82,2021-07-03,3751.0,Omega-3
83,2021-07-04,4052.0,Omega-3
84,2021-07-05,4052.0,Omega-3
85,2021-07-06,4052.0,Omega-3
86,2021-07-07,3916.0,Omega-3
87,2021-07-08,3916.0,Omega-3
88,2021-07-09,4281.0,Omega-3
89,2021-07-10,4009.0,Omega-3
