,date,value,name_B07HGH41KK
0,2020-05-28,13681.0,Magnesium
1,2020-05-29,13681.0,Magnesium
2,2020-05-30,13681.0,Magnesium
3,2020-05-31,13681.0,Magnesium
4,2020-06-01,13681.0,Magnesium
5,2020-06-02,13681.0,Magnesium
6,2020-06-03,13681.0,Magnesium
7,2020-06-04,13681.0,Magnesium
8,2020-06-05,13681.0,Magnesium
9,2020-06-06,13681.0,Magnesium
10,2020-06-07,13681.0,Magnesium
11,2020-06-08,13681.0,Magnesium
12,2020-06-09,13681.0,Magnesium
13,2020-06-10,13681.0,Magnesium
14,2020-06-11,12145.0,Magnesium
15,2020-06-12,12145.0,Magnesium
16,2020-06-13,12145.0,Magnesium
17,2020-06-14,12145.0,Magnesium
18,2020-06-15,12145.0,Magnesium
19,2020-06-16,12145.0,Magnesium
20,2020-06-17,11097.0,Magnesium
21,2020-06-18,11097.0,Magnesium
22,2020-06-19,11097.0,Magnesium
23,2020-06-20,13647.0,Magnesium
24,2020-06-21,13647.0,Magnesium
25,2020-06-22,13647.0,Magnesium
26,2020-06-23,15188.0,Magnesium
27,2020-06-24,15188.0,Magnesium
28,2020-06-25,15188.0,Magnesium
29,2020-06-26,15188.0,Magnesium
30,2020-06-27,15188.0,Magnesium
31,2020-06-28,15188.0,Magnesium
32,2020-06-29,13472.0,Magnesium
33,2020-06-30,13472.0,Magnesium
34,2020-07-01,13472.0,Magnesium
35,2020-07-02,13472.0,Magnesium
36,2020-07-03,13472.0,Magnesium
37,2020-07-04,13472.0,Magnesium
38,2020-07-05,13885.0,Magnesium
39,2020-07-06,13885.0,Magnesium
40,2020-07-07,13885.0,Magnesium
41,2020-07-08,12664.0,Magnesium
42,2020-07-09,12664.0,Magnesium
43,2020-07-10,12664.0,Magnesium
44,2020-07-11,11247.0,Magnesium
45,2020-07-12,11247.0,Magnesium
46,2020-07-13,11247.0,Magnesium
47,2020-07-14,13843.0,Magnesium
48,2020-07-15,13843.0,Magnesium
49,2020-07-16,12112.0,Magnesium
50,2020-07-17,12112.0,Magnesium
51,2020-07-18,12112.0,Magnesium
52,2020-07-19,12112.0,Magnesium
53,2020-07-20,11940.0,Magnesium
54,2020-07-21,11940.0,Magnesium
55,2020-07-22,13072.0,Magnesium
56,2020-07-23,13072.0,Magnesium
57,2020-07-24,11201.0,Magnesium
58,2020-07-25,10965.0,Magnesium
59,2020-07-26,10965.0,Magnesium
60,2020-07-27,12260.0,Magnesium
61,2020-07-28,12260.0,Magnesium
62,2020-07-29,12260.0,Magnesium
63,2020-07-30,9952.0,Magnesium
64,2020-07-31,9952.0,Magnesium
65,2020-08-01,9952.0,Magnesium
66,2020-08-02,9952.0,Magnesium
67,2020-08-03,11389.0,Magnesium
68,2020-08-04,11389.0,Magnesium
69,2020-08-05,12301.0,Magnesium
70,2020-08-06,12301.0,Magnesium
71,2020-08-07,12301.0,Magnesium
72,2020-08-08,12301.0,Magnesium
73,2020-08-09,14156.0,Magnesium
74,2020-08-10,14156.0,Magnesium
75,2020-08-11,14270.0,Magnesium
76,2020-08-12,14270.0,Magnesium
77,2020-08-13,14270.0,Magnesium
78,2020-08-14,15372.0,Magnesium
79,2020-08-15,15372.0,Magnesium
80,2020-08-16,15372.0,Magnesium
81,2020-08-17,13555.0,Magnesium
82,2020-08-18,13555.0,Magnesium
83,2020-08-19,13555.0,Magnesium
84,2020-08-20,13555.0,Magnesium
85,2020-08-21,13555.0,Magnesium
86,2020-08-22,13555.0,Magnesium
87,2020-08-23,13781.0,Magnesium
88,2020-08-24,13781.0,Magnesium
89,2020-08-25,14769.0,Magnesium
90,2020-08-26,14769.0,Magnesium
91,2020-08-27,13290.0,Magnesium
92,2020-08-28,13290.0,Magnesium
93,2020-08-29,13290.0,Magnesium
94,2020-08-30,13290.0,Magnesium
95,2020-08-31,13290.0,Magnesium
96,2020-09-01,12764.0,Magnesium
97,2020-09-02,12764.0,Magnesium
98,2020-09-03,12764.0,Magnesium
99,2020-09-04,12764.0,Magnesium
100,2020-09-05,7320.0,Magnesium
101,2020-09-06,7320.0,Magnesium
102,2020-09-07,10304.0,Magnesium
103,2020-09-08,10304.0,Magnesium
104,2020-09-09,10304.0,Magnesium
105,2020-09-10,9868.0,Magnesium
106,2020-09-11,9868.0,Magnesium
107,2020-09-12,9868.0,Magnesium
108,2020-09-13,12459.0,Magnesium
109,2020-09-14,13628.0,Magnesium
110,2020-09-15,13628.0,Magnesium
111,2020-09-16,13628.0,Magnesium
112,2020-09-17,13628.0,Magnesium
113,2020-09-18,12178.0,Magnesium
114,2020-09-19,12178.0,Magnesium
115,2020-09-20,12178.0,Magnesium
116,2020-09-21,12178.0,Magnesium
117,2020-09-22,15214.0,Magnesium
118,2020-09-23,15214.0,Magnesium
119,2020-09-24,15214.0,Magnesium
