,date,value,name_B0851SFXH3
0,2020-05-29,10775.0,BCAAs
1,2020-05-30,10775.0,BCAAs
2,2020-05-31,10775.0,BCAAs
3,2020-06-01,10823.0,BCAAs
4,2020-06-02,10823.0,BCAAs
5,2020-06-03,10823.0,BCAAs
6,2020-06-04,9794.0,BCAAs
7,2020-06-05,9794.0,BCAAs
8,2020-06-06,9794.0,BCAAs
9,2020-06-07,14315.0,BCAAs
10,2020-06-08,14315.0,BCAAs
11,2020-06-09,14315.0,BCAAs
12,2020-06-10,11998.0,BCAAs
13,2020-06-11,13340.0,BCAAs
14,2020-06-12,10499.0,BCAAs
15,2020-06-13,10499.0,BCAAs
16,2020-06-14,10499.0,BCAAs
17,2020-06-15,14580.0,BCAAs
18,2020-06-16,14580.0,BCAAs
19,2020-06-17,14580.0,BCAAs
20,2020-06-18,11613.0,BCAAs
21,2020-06-19,11613.0,BCAAs
22,2020-06-20,13715.0,BCAAs
23,2020-06-21,13715.0,BCAAs
24,2020-06-22,13715.0,BCAAs
25,2020-06-23,13715.0,BCAAs
26,2020-06-24,17314.0,BCAAs
27,2020-06-25,17314.0,BCAAs
28,2020-06-26,18968.0,BCAAs
29,2020-06-27,18968.0,BCAAs
30,2020-06-28,18968.0,BCAAs
31,2020-06-29,22172.0,BCAAs
32,2020-06-30,23031.0,BCAAs
33,2020-07-01,22437.0,BCAAs
34,2020-07-02,22437.0,BCAAs
35,2020-07-03,22437.0,BCAAs
36,2020-07-04,22437.0,BCAAs
37,2020-07-05,27123.0,BCAAs
38,2020-07-06,26421.0,BCAAs
39,2020-07-07,26421.0,BCAAs
40,2020-07-08,26421.0,BCAAs
41,2020-07-09,16049.0,BCAAs
42,2020-07-10,18549.0,BCAAs
43,2020-07-11,15047.0,BCAAs
44,2020-07-12,15047.0,BCAAs
45,2020-07-13,20115.0,BCAAs
46,2020-07-14,20115.0,BCAAs
47,2020-07-15,20115.0,BCAAs
48,2020-07-16,15758.0,BCAAs
49,2020-07-17,15758.0,BCAAs
50,2020-07-18,15758.0,BCAAs
51,2020-07-19,13763.0,BCAAs
52,2020-07-20,12733.0,BCAAs
53,2020-07-21,12733.0,BCAAs
54,2020-07-22,12733.0,BCAAs
55,2020-07-23,12733.0,BCAAs
56,2020-07-24,12609.0,BCAAs
57,2020-07-25,12609.0,BCAAs
58,2020-07-26,12609.0,BCAAs
59,2020-07-27,12999.0,BCAAs
60,2020-07-28,12999.0,BCAAs
61,2020-07-29,12170.0,BCAAs
62,2020-07-30,12170.0,BCAAs
63,2020-07-31,12334.0,BCAAs
64,2020-08-01,12334.0,BCAAs
65,2020-08-02,12334.0,BCAAs
66,2020-08-03,16069.0,BCAAs
67,2020-08-04,16069.0,BCAAs
68,2020-08-05,13706.0,BCAAs
69,2020-08-06,13706.0,BCAAs
70,2020-08-07,13706.0,BCAAs
71,2020-08-08,13706.0,BCAAs
72,2020-08-09,14709.0,BCAAs
73,2020-08-10,14709.0,BCAAs
74,2020-08-11,14709.0,BCAAs
75,2020-08-12,13214.0,BCAAs
76,2020-08-13,13214.0,BCAAs
77,2020-08-14,13214.0,BCAAs
78,2020-08-15,13448.0,BCAAs
79,2020-08-16,13448.0,BCAAs
80,2020-08-17,12633.0,BCAAs
81,2020-08-18,12633.0,BCAAs
82,2020-08-19,13551.0,BCAAs
83,2020-08-20,13551.0,BCAAs
84,2020-08-21,17961.0,BCAAs
85,2020-08-22,17961.0,BCAAs
86,2020-08-23,17961.0,BCAAs
87,2020-08-24,16527.0,BCAAs
88,2020-08-25,16527.0,BCAAs
89,2020-08-26,16527.0,BCAAs
90,2020-08-27,15327.0,BCAAs
91,2020-08-28,15327.0,BCAAs
92,2020-08-29,15327.0,BCAAs
93,2020-08-30,16346.0,BCAAs
94,2020-08-31,16346.0,BCAAs
95,2020-09-01,14745.0,BCAAs
96,2020-09-02,14745.0,BCAAs
97,2020-09-03,14745.0,BCAAs
98,2020-09-04,15955.0,BCAAs
99,2020-09-05,15955.0,BCAAs
100,2020-09-06,15955.0,BCAAs
101,2020-09-07,22142.0,BCAAs
102,2020-09-08,14938.0,BCAAs
103,2020-09-09,14938.0,BCAAs
104,2020-09-10,14938.0,BCAAs
105,2020-09-11,14938.0,BCAAs
106,2020-09-12,13563.0,BCAAs
107,2020-09-13,13563.0,BCAAs
108,2020-09-14,12964.0,BCAAs
109,2020-09-15,12964.0,BCAAs
110,2020-09-16,12964.0,BCAAs
111,2020-09-17,12964.0,BCAAs
112,2020-09-18,13977.0,BCAAs
113,2020-09-19,13977.0,BCAAs
114,2020-09-20,13977.0,BCAAs
115,2020-09-21,15363.0,BCAAs
116,2020-09-22,15363.0,BCAAs
117,2020-09-23,15363.0,BCAAs
118,2020-09-24,15363.0,BCAAs
119,2020-09-25,15363.0,BCAAs
120,2020-09-26,18291.0,BCAAs
121,2020-09-27,18291.0,BCAAs
122,2020-09-28,13465.0,BCAAs
123,2020-09-29,12824.0,BCAAs
124,2020-09-30,12824.0,BCAAs
125,2020-10-01,12824.0,BCAAs
126,2020-10-02,12243.0,BCAAs
127,2020-10-03,12243.0,BCAAs
128,2020-10-04,12243.0,BCAAs
129,2020-10-05,17479.0,BCAAs
130,2020-10-06,14901.0,BCAAs
131,2020-10-07,14901.0,BCAAs
132,2020-10-08,14901.0,BCAAs
133,2020-10-09,14901.0,BCAAs
134,2020-10-10,18179.0,BCAAs
135,2020-10-11,18179.0,BCAAs
136,2020-10-12,19759.0,BCAAs
137,2020-10-13,19759.0,BCAAs
138,2020-10-14,19759.0,BCAAs
139,2020-10-15,15689.0,BCAAs
140,2020-10-16,17043.0,BCAAs
141,2020-10-17,17043.0,BCAAs
142,2020-10-18,17043.0,BCAAs
143,2020-10-19,19303.0,BCAAs
144,2020-10-20,18551.0,BCAAs
145,2020-10-21,20178.0,BCAAs
146,2020-10-22,20178.0,BCAAs
147,2020-10-23,18387.0,BCAAs
148,2020-10-24,18387.0,BCAAs
149,2020-10-25,18387.0,BCAAs
150,2020-10-26,18387.0,BCAAs
151,2020-10-27,17485.0,BCAAs
152,2020-10-28,17485.0,BCAAs
153,2020-10-29,17485.0,BCAAs
154,2020-10-30,22718.0,BCAAs
155,2020-10-31,21712.0,BCAAs
156,2020-11-01,21712.0,BCAAs
157,2020-11-02,21712.0,BCAAs
158,2020-11-03,14216.0,BCAAs
159,2020-11-04,14216.0,BCAAs
160,2020-11-05,18207.0,BCAAs
161,2020-11-06,18207.0,BCAAs
162,2020-11-07,14104.0,BCAAs
163,2020-11-08,14104.0,BCAAs
164,2020-11-09,14104.0,BCAAs
165,2020-11-10,14104.0,BCAAs
166,2020-11-11,17625.0,BCAAs
167,2020-11-12,17625.0,BCAAs
168,2020-11-13,17625.0,BCAAs
169,2020-11-14,17625.0,BCAAs
170,2020-11-15,16367.0,BCAAs
171,2020-11-16,16367.0,BCAAs
172,2020-11-17,17808.0,BCAAs
173,2020-11-18,14692.0,BCAAs
174,2020-11-19,14692.0,BCAAs
175,2020-11-20,14692.0,BCAAs
176,2020-11-21,21290.0,BCAAs
177,2020-11-22,18331.0,BCAAs
178,2020-11-23,18331.0,BCAAs
