,date,value,name_B07WRY5MY5
0,2019-08-23,10364.0,Tablecloths
1,2019-08-24,11898.0,Tablecloths
2,2019-08-25,13219.0,Tablecloths
3,2019-08-26,12288.0,Tablecloths
4,2019-08-27,10328.0,Tablecloths
5,2019-08-28,11920.0,Tablecloths
6,2019-08-29,10858.0,Tablecloths
7,2019-08-30,13890.0,Tablecloths
8,2019-08-31,10841.0,Tablecloths
9,2019-09-01,14953.0,Tablecloths
10,2019-09-02,14953.0,Tablecloths
11,2019-09-03,14953.0,Tablecloths
12,2019-09-04,16912.0,Tablecloths
13,2019-09-05,16676.0,Tablecloths
14,2019-09-06,16079.0,Tablecloths
15,2019-09-07,16965.0,Tablecloths
16,2019-09-08,19480.0,Tablecloths
17,2019-09-09,17516.0,Tablecloths
18,2019-09-10,13841.0,Tablecloths
19,2019-09-11,12994.0,Tablecloths
20,2019-09-12,9532.0,Tablecloths
21,2019-09-13,10920.0,Tablecloths
22,2019-09-14,12639.0,Tablecloths
23,2019-09-15,14430.0,Tablecloths
24,2019-09-16,15542.0,Tablecloths
25,2019-09-17,15059.0,Tablecloths
26,2019-09-18,12986.0,Tablecloths
27,2019-09-19,11024.0,Tablecloths
28,2019-09-20,12098.0,Tablecloths
29,2019-09-21,14241.0,Tablecloths
30,2019-09-22,13339.0,Tablecloths
31,2019-09-23,13080.0,Tablecloths
32,2019-09-24,11611.0,Tablecloths
33,2019-09-25,8522.0,Tablecloths
34,2019-09-26,7703.0,Tablecloths
35,2019-09-27,11620.0,Tablecloths
36,2019-09-28,13202.0,Tablecloths
37,2019-09-29,15756.0,Tablecloths
38,2019-09-30,17619.0,Tablecloths
39,2019-10-01,12345.0,Tablecloths
40,2019-10-02,12674.0,Tablecloths
41,2019-10-03,9716.0,Tablecloths
42,2019-10-04,10283.0,Tablecloths
43,2019-10-05,12954.0,Tablecloths
44,2019-10-06,12948.0,Tablecloths
45,2019-10-07,19360.0,Tablecloths
46,2019-10-08,10980.0,Tablecloths
47,2019-10-09,10980.0,Tablecloths
48,2019-10-10,8389.0,Tablecloths
49,2019-10-11,9987.0,Tablecloths
