,date,value,name_B07YCSDWK4
0,2020-05-31,43622.0,Arch Supports
1,2020-06-01,43622.0,Arch Supports
2,2020-06-02,43622.0,Arch Supports
3,2020-06-03,43622.0,Arch Supports
4,2020-06-04,43622.0,Arch Supports
5,2020-06-05,43622.0,Arch Supports
6,2020-06-06,43622.0,Arch Supports
7,2020-06-07,45241.0,Arch Supports
8,2020-06-08,45241.0,Arch Supports
9,2020-06-09,45241.0,Arch Supports
10,2020-06-10,45241.0,Arch Supports
11,2020-06-11,45241.0,Arch Supports
12,2020-06-12,45241.0,Arch Supports
13,2020-06-13,45241.0,Arch Supports
14,2020-06-14,45241.0,Arch Supports
15,2020-06-15,45241.0,Arch Supports
16,2020-06-16,45241.0,Arch Supports
17,2020-06-17,45241.0,Arch Supports
18,2020-06-18,45241.0,Arch Supports
19,2020-06-19,55001.0,Arch Supports
20,2020-06-20,55001.0,Arch Supports
21,2020-06-21,55001.0,Arch Supports
22,2020-06-22,55001.0,Arch Supports
23,2020-06-23,55001.0,Arch Supports
24,2020-06-24,55001.0,Arch Supports
25,2020-06-25,55001.0,Arch Supports
26,2020-06-26,55001.0,Arch Supports
27,2020-06-27,55001.0,Arch Supports
28,2020-06-28,55001.0,Arch Supports
29,2020-06-29,55001.0,Arch Supports
30,2020-06-30,55001.0,Arch Supports
31,2020-07-01,55001.0,Arch Supports
32,2020-07-02,55001.0,Arch Supports
33,2020-07-03,55001.0,Arch Supports
34,2020-07-04,55001.0,Arch Supports
35,2020-07-05,55001.0,Arch Supports
36,2020-07-06,55001.0,Arch Supports
37,2020-07-07,55001.0,Arch Supports
38,2020-07-08,61482.0,Arch Supports
39,2020-07-09,61482.0,Arch Supports
40,2020-07-10,61482.0,Arch Supports
41,2020-07-11,61482.0,Arch Supports
42,2020-07-12,61482.0,Arch Supports
43,2020-07-13,61482.0,Arch Supports
44,2020-07-14,61482.0,Arch Supports
45,2020-07-15,61482.0,Arch Supports
46,2020-07-16,61482.0,Arch Supports
47,2020-07-17,61482.0,Arch Supports
48,2020-07-18,61482.0,Arch Supports
49,2020-07-19,61482.0,Arch Supports
50,2020-07-20,61482.0,Arch Supports
51,2020-07-21,32019.0,Arch Supports
52,2020-07-22,32019.0,Arch Supports
53,2020-07-23,32019.0,Arch Supports
54,2020-07-24,32019.0,Arch Supports
55,2020-07-25,32019.0,Arch Supports
