,date,value,name_B08DR85WL1
0,2020-08-03,10928.0,Grow Bags
1,2020-08-04,10928.0,Grow Bags
2,2020-08-05,10928.0,Grow Bags
3,2020-08-06,8922.0,Grow Bags
4,2020-08-07,8922.0,Grow Bags
5,2020-08-08,8922.0,Grow Bags
6,2020-08-09,8922.0,Grow Bags
7,2020-08-10,8922.0,Grow Bags
8,2020-08-11,5307.0,Grow Bags
9,2020-08-12,5307.0,Grow Bags
10,2020-08-13,5307.0,Grow Bags
11,2020-08-14,5307.0,Grow Bags
12,2020-08-15,8867.0,Grow Bags
13,2020-08-16,8867.0,Grow Bags
14,2020-08-17,8867.0,Grow Bags
15,2020-08-18,8867.0,Grow Bags
16,2020-08-19,8867.0,Grow Bags
17,2020-08-20,8867.0,Grow Bags
18,2020-08-21,10000.0,Grow Bags
19,2020-08-22,10000.0,Grow Bags
20,2020-08-23,10000.0,Grow Bags
21,2020-08-24,6238.0,Grow Bags
22,2020-08-25,6238.0,Grow Bags
23,2020-08-26,6238.0,Grow Bags
24,2020-08-27,6229.0,Grow Bags
25,2020-08-28,3895.0,Grow Bags
26,2020-08-29,3895.0,Grow Bags
27,2020-08-30,4803.0,Grow Bags
28,2020-08-31,5765.0,Grow Bags
29,2020-09-01,5081.0,Grow Bags
30,2020-09-02,5081.0,Grow Bags
31,2020-09-03,5081.0,Grow Bags
32,2020-09-04,4242.0,Grow Bags
33,2020-09-05,4242.0,Grow Bags
34,2020-09-06,4242.0,Grow Bags
35,2020-09-07,4242.0,Grow Bags
36,2020-09-08,3850.0,Grow Bags
37,2020-09-09,3850.0,Grow Bags
38,2020-09-10,5270.0,Grow Bags
39,2020-09-11,5270.0,Grow Bags
40,2020-09-12,5270.0,Grow Bags
41,2020-09-13,5270.0,Grow Bags
42,2020-09-14,3403.0,Grow Bags
43,2020-09-15,3403.0,Grow Bags
44,2020-09-16,3403.0,Grow Bags
45,2020-09-17,3403.0,Grow Bags
46,2020-09-18,3648.0,Grow Bags
47,2020-09-19,4598.0,Grow Bags
48,2020-09-20,4598.0,Grow Bags
49,2020-09-21,4238.0,Grow Bags
50,2020-09-22,3917.0,Grow Bags
51,2020-09-23,3917.0,Grow Bags
52,2020-09-24,3356.0,Grow Bags
