,date,value,name_B08J7T7Z29
0,2020-09-20,7261.0,Electric Clippers
1,2020-09-21,7261.0,Electric Clippers
2,2020-09-22,10821.0,Electric Clippers
3,2020-09-23,10821.0,Electric Clippers
4,2020-09-24,10821.0,Electric Clippers
5,2020-09-25,10821.0,Electric Clippers
6,2020-09-26,10821.0,Electric Clippers
7,2020-09-27,10343.0,Electric Clippers
8,2020-09-28,10343.0,Electric Clippers
9,2020-09-29,10343.0,Electric Clippers
10,2020-09-30,8132.0,Electric Clippers
11,2020-10-01,9277.0,Electric Clippers
12,2020-10-02,9277.0,Electric Clippers
13,2020-10-03,9277.0,Electric Clippers
14,2020-10-04,9277.0,Electric Clippers
15,2020-10-05,10302.0,Electric Clippers
16,2020-10-06,9527.0,Electric Clippers
17,2020-10-07,7920.0,Electric Clippers
18,2020-10-08,7920.0,Electric Clippers
19,2020-10-09,7920.0,Electric Clippers
20,2020-10-10,7920.0,Electric Clippers
21,2020-10-11,7920.0,Electric Clippers
22,2020-10-12,7430.0,Electric Clippers
23,2020-10-13,7430.0,Electric Clippers
24,2020-10-14,3399.0,Electric Clippers
25,2020-10-15,3399.0,Electric Clippers
26,2020-10-16,3399.0,Electric Clippers
27,2020-10-17,6168.0,Electric Clippers
28,2020-10-18,6168.0,Electric Clippers
29,2020-10-19,6168.0,Electric Clippers
30,2020-10-20,6168.0,Electric Clippers
31,2020-10-21,6168.0,Electric Clippers
32,2020-10-22,8072.0,Electric Clippers
33,2020-10-23,8072.0,Electric Clippers
34,2020-10-24,8072.0,Electric Clippers
35,2020-10-25,8937.0,Electric Clippers
36,2020-10-26,8937.0,Electric Clippers
37,2020-10-27,8937.0,Electric Clippers
38,2020-10-28,10799.0,Electric Clippers
39,2020-10-29,10799.0,Electric Clippers
40,2020-10-30,10799.0,Electric Clippers
41,2020-10-31,13339.0,Electric Clippers
42,2020-11-01,13339.0,Electric Clippers
43,2020-11-02,9420.0,Electric Clippers
44,2020-11-03,9420.0,Electric Clippers
45,2020-11-04,9420.0,Electric Clippers
46,2020-11-05,11242.0,Electric Clippers
47,2020-11-06,11242.0,Electric Clippers
48,2020-11-07,8542.0,Electric Clippers
49,2020-11-08,8542.0,Electric Clippers
50,2020-11-09,9200.0,Electric Clippers
51,2020-11-10,9200.0,Electric Clippers
52,2020-11-11,7174.0,Electric Clippers
53,2020-11-12,8183.0,Electric Clippers
54,2020-11-13,8183.0,Electric Clippers
55,2020-11-14,8183.0,Electric Clippers
56,2020-11-15,11532.0,Electric Clippers
57,2020-11-16,11726.0,Electric Clippers
58,2020-11-17,11726.0,Electric Clippers
59,2020-11-18,11726.0,Electric Clippers
60,2020-11-19,11726.0,Electric Clippers
61,2020-11-20,12617.0,Electric Clippers
62,2020-11-21,9289.0,Electric Clippers
63,2020-11-22,9289.0,Electric Clippers
64,2020-11-23,8495.0,Electric Clippers
65,2020-11-24,8495.0,Electric Clippers
66,2020-11-25,8495.0,Electric Clippers
67,2020-11-26,13728.0,Electric Clippers
68,2020-11-27,13728.0,Electric Clippers
69,2020-11-28,13728.0,Electric Clippers
70,2020-11-29,13728.0,Electric Clippers
71,2020-11-30,13728.0,Electric Clippers
72,2020-12-01,7809.0,Electric Clippers
73,2020-12-02,7809.0,Electric Clippers
74,2020-12-03,7809.0,Electric Clippers
75,2020-12-04,7809.0,Electric Clippers
76,2020-12-05,7809.0,Electric Clippers
77,2020-12-06,12542.0,Electric Clippers
78,2020-12-07,12542.0,Electric Clippers
79,2020-12-08,13631.0,Electric Clippers
80,2020-12-09,13631.0,Electric Clippers
81,2020-12-10,10996.0,Electric Clippers
82,2020-12-11,10996.0,Electric Clippers
83,2020-12-12,10996.0,Electric Clippers
84,2020-12-13,10996.0,Electric Clippers
85,2020-12-14,11525.0,Electric Clippers
86,2020-12-15,12786.0,Electric Clippers
87,2020-12-16,12786.0,Electric Clippers
88,2020-12-17,12786.0,Electric Clippers
89,2020-12-18,9361.0,Electric Clippers
90,2020-12-19,9361.0,Electric Clippers
91,2020-12-20,9361.0,Electric Clippers
92,2020-12-21,10703.0,Electric Clippers
93,2020-12-22,10703.0,Electric Clippers
94,2020-12-23,10703.0,Electric Clippers
95,2020-12-24,10703.0,Electric Clippers
96,2020-12-25,12622.0,Electric Clippers
97,2020-12-26,12622.0,Electric Clippers
98,2020-12-27,12622.0,Electric Clippers
99,2020-12-28,8091.0,Electric Clippers
100,2020-12-29,8554.0,Electric Clippers
101,2020-12-30,8554.0,Electric Clippers
102,2020-12-31,8554.0,Electric Clippers
103,2021-01-01,9578.0,Electric Clippers
104,2021-01-02,9578.0,Electric Clippers
105,2021-01-03,7026.0,Electric Clippers
106,2021-01-04,9422.0,Electric Clippers
107,2021-01-05,9422.0,Electric Clippers
108,2021-01-06,9422.0,Electric Clippers
109,2021-01-07,10931.0,Electric Clippers
110,2021-01-08,15021.0,Electric Clippers
111,2021-01-09,20251.0,Electric Clippers
112,2021-01-10,15844.0,Electric Clippers
113,2021-01-11,18479.0,Electric Clippers
114,2021-01-12,17374.0,Electric Clippers
115,2021-01-13,9445.0,Electric Clippers
116,2021-01-14,11393.0,Electric Clippers
117,2021-01-15,8477.0,Electric Clippers
118,2021-01-16,8477.0,Electric Clippers
119,2021-01-17,8477.0,Electric Clippers
120,2021-01-18,6194.0,Electric Clippers
121,2021-01-19,6194.0,Electric Clippers
122,2021-01-20,6005.0,Electric Clippers
123,2021-01-21,6005.0,Electric Clippers
124,2021-01-22,6013.0,Electric Clippers
125,2021-01-23,7427.0,Electric Clippers
126,2021-01-24,7427.0,Electric Clippers
127,2021-01-25,9836.0,Electric Clippers
128,2021-01-26,9333.0,Electric Clippers
129,2021-01-27,9061.0,Electric Clippers
130,2021-01-28,8844.0,Electric Clippers
131,2021-01-29,8819.0,Electric Clippers
132,2021-01-30,7487.0,Electric Clippers
133,2021-01-31,7487.0,Electric Clippers
134,2021-02-01,8345.0,Electric Clippers
135,2021-02-02,10650.0,Electric Clippers
136,2021-02-03,9487.0,Electric Clippers
137,2021-02-04,9487.0,Electric Clippers
138,2021-02-05,10181.0,Electric Clippers
139,2021-02-06,10181.0,Electric Clippers
140,2021-02-07,12235.0,Electric Clippers
141,2021-02-08,12235.0,Electric Clippers
142,2021-02-09,12235.0,Electric Clippers
143,2021-02-10,10702.0,Electric Clippers
144,2021-02-11,19187.0,Electric Clippers
145,2021-02-12,19187.0,Electric Clippers
146,2021-02-13,19187.0,Electric Clippers
147,2021-02-14,19187.0,Electric Clippers
148,2021-02-15,39273.0,Electric Clippers
149,2021-02-16,39273.0,Electric Clippers
150,2021-02-17,39273.0,Electric Clippers
151,2021-02-18,39273.0,Electric Clippers
152,2021-02-19,51447.0,Electric Clippers
153,2021-02-20,52193.0,Electric Clippers
154,2021-02-21,52193.0,Electric Clippers
155,2021-02-22,58741.0,Electric Clippers
156,2021-02-23,58741.0,Electric Clippers
157,2021-02-24,58741.0,Electric Clippers
158,2021-02-25,62211.0,Electric Clippers
159,2021-02-26,8019.0,Electric Clippers
160,2021-02-27,8868.0,Electric Clippers
161,2021-02-28,8868.0,Electric Clippers
162,2021-03-01,8868.0,Electric Clippers
163,2021-03-02,8868.0,Electric Clippers
164,2021-03-03,8868.0,Electric Clippers
165,2021-03-04,6503.0,Electric Clippers
166,2021-03-05,6503.0,Electric Clippers
167,2021-03-06,7581.0,Electric Clippers
168,2021-03-07,7581.0,Electric Clippers
169,2021-03-08,6482.0,Electric Clippers
170,2021-03-09,6515.0,Electric Clippers
171,2021-03-10,6502.0,Electric Clippers
172,2021-03-11,9815.0,Electric Clippers
173,2021-03-12,17326.0,Electric Clippers
174,2021-03-13,17326.0,Electric Clippers
175,2021-03-14,9085.0,Electric Clippers
176,2021-03-15,10908.0,Electric Clippers
177,2021-03-16,7863.0,Electric Clippers
178,2021-03-17,7832.0,Electric Clippers
179,2021-03-18,6565.0,Electric Clippers
180,2021-03-19,6565.0,Electric Clippers
181,2021-03-20,6565.0,Electric Clippers
182,2021-03-21,7386.0,Electric Clippers
183,2021-03-22,6185.0,Electric Clippers
