,date,value,name_B08K3RVPHM
0,2020-09-26,9468.0,Home Fragrance Accessories
1,2020-09-27,9575.0,Home Fragrance Accessories
2,2020-09-28,11240.0,Home Fragrance Accessories
3,2020-09-29,9558.0,Home Fragrance Accessories
4,2020-09-30,12392.0,Home Fragrance Accessories
5,2020-10-01,12392.0,Home Fragrance Accessories
6,2020-10-02,12392.0,Home Fragrance Accessories
7,2020-10-03,10589.0,Home Fragrance Accessories
8,2020-10-04,10214.0,Home Fragrance Accessories
9,2020-10-05,8877.0,Home Fragrance Accessories
10,2020-10-06,10702.0,Home Fragrance Accessories
11,2020-10-07,10702.0,Home Fragrance Accessories
12,2020-10-08,12026.0,Home Fragrance Accessories
13,2020-10-09,13128.0,Home Fragrance Accessories
14,2020-10-10,13128.0,Home Fragrance Accessories
15,2020-10-11,9886.0,Home Fragrance Accessories
16,2020-10-12,8178.0,Home Fragrance Accessories
17,2020-10-13,12117.0,Home Fragrance Accessories
18,2020-10-14,16030.0,Home Fragrance Accessories
19,2020-10-15,16030.0,Home Fragrance Accessories
20,2020-10-16,14476.0,Home Fragrance Accessories
21,2020-10-17,12227.0,Home Fragrance Accessories
22,2020-10-18,14793.0,Home Fragrance Accessories
23,2020-10-19,13964.0,Home Fragrance Accessories
24,2020-10-20,13964.0,Home Fragrance Accessories
25,2020-10-21,10729.0,Home Fragrance Accessories
26,2020-10-22,10729.0,Home Fragrance Accessories
27,2020-10-23,12628.0,Home Fragrance Accessories
28,2020-10-24,11781.0,Home Fragrance Accessories
29,2020-10-25,11781.0,Home Fragrance Accessories
30,2020-10-26,10897.0,Home Fragrance Accessories
31,2020-10-27,11397.0,Home Fragrance Accessories
32,2020-10-28,14798.0,Home Fragrance Accessories
33,2020-10-29,15661.0,Home Fragrance Accessories
34,2020-10-30,12591.0,Home Fragrance Accessories
35,2020-10-31,11546.0,Home Fragrance Accessories
36,2020-11-01,11696.0,Home Fragrance Accessories
37,2020-11-02,10291.0,Home Fragrance Accessories
38,2020-11-03,10374.0,Home Fragrance Accessories
39,2020-11-04,10374.0,Home Fragrance Accessories
40,2020-11-05,8973.0,Home Fragrance Accessories
41,2020-11-06,15915.0,Home Fragrance Accessories
42,2020-11-07,15915.0,Home Fragrance Accessories
43,2020-11-08,12147.0,Home Fragrance Accessories
44,2020-11-09,12147.0,Home Fragrance Accessories
45,2020-11-10,14732.0,Home Fragrance Accessories
46,2020-11-11,14298.0,Home Fragrance Accessories
47,2020-11-12,14298.0,Home Fragrance Accessories
48,2020-11-13,12617.0,Home Fragrance Accessories
49,2020-11-14,12163.0,Home Fragrance Accessories
50,2020-11-15,11200.0,Home Fragrance Accessories
51,2020-11-16,11200.0,Home Fragrance Accessories
52,2020-11-17,11200.0,Home Fragrance Accessories
53,2020-11-18,10645.0,Home Fragrance Accessories
54,2020-11-19,10645.0,Home Fragrance Accessories
55,2020-11-20,10199.0,Home Fragrance Accessories
56,2020-11-21,10426.0,Home Fragrance Accessories
57,2020-11-22,10387.0,Home Fragrance Accessories
58,2020-11-23,10516.0,Home Fragrance Accessories
59,2020-11-24,10516.0,Home Fragrance Accessories
60,2020-11-25,11501.0,Home Fragrance Accessories
61,2020-11-26,10906.0,Home Fragrance Accessories
62,2020-11-27,12954.0,Home Fragrance Accessories
63,2020-11-28,16224.0,Home Fragrance Accessories
64,2020-11-29,11470.0,Home Fragrance Accessories
