,date,value,name_B07T1YD9RT
0,2020-05-27,1935.0,Greeting Card Envelopes
1,2020-05-28,1935.0,Greeting Card Envelopes
2,2020-05-29,1935.0,Greeting Card Envelopes
3,2020-05-30,1935.0,Greeting Card Envelopes
4,2020-05-31,1887.0,Greeting Card Envelopes
5,2020-06-01,1747.0,Greeting Card Envelopes
6,2020-06-02,1747.0,Greeting Card Envelopes
7,2020-06-03,1747.0,Greeting Card Envelopes
8,2020-06-04,1747.0,Greeting Card Envelopes
9,2020-06-05,1738.0,Greeting Card Envelopes
10,2020-06-06,1738.0,Greeting Card Envelopes
11,2020-06-07,1738.0,Greeting Card Envelopes
12,2020-06-08,1738.0,Greeting Card Envelopes
13,2020-06-09,1878.0,Greeting Card Envelopes
14,2020-06-10,1878.0,Greeting Card Envelopes
15,2020-06-11,1669.0,Greeting Card Envelopes
16,2020-06-12,1669.0,Greeting Card Envelopes
17,2020-06-13,1669.0,Greeting Card Envelopes
18,2020-06-14,1762.0,Greeting Card Envelopes
19,2020-06-15,1762.0,Greeting Card Envelopes
20,2020-06-16,1663.0,Greeting Card Envelopes
21,2020-06-17,1663.0,Greeting Card Envelopes
22,2020-06-18,1663.0,Greeting Card Envelopes
23,2020-06-19,2004.0,Greeting Card Envelopes
24,2020-06-20,1845.0,Greeting Card Envelopes
25,2020-06-21,1845.0,Greeting Card Envelopes
26,2020-06-22,1845.0,Greeting Card Envelopes
27,2020-06-23,2322.0,Greeting Card Envelopes
28,2020-06-24,2322.0,Greeting Card Envelopes
29,2020-06-25,2322.0,Greeting Card Envelopes
30,2020-06-26,2089.0,Greeting Card Envelopes
31,2020-06-27,2089.0,Greeting Card Envelopes
32,2020-06-28,2089.0,Greeting Card Envelopes
33,2020-06-29,1901.0,Greeting Card Envelopes
34,2020-06-30,1901.0,Greeting Card Envelopes
35,2020-07-01,1659.0,Greeting Card Envelopes
36,2020-07-02,1568.0,Greeting Card Envelopes
37,2020-07-03,1672.0,Greeting Card Envelopes
38,2020-07-04,1672.0,Greeting Card Envelopes
39,2020-07-05,1672.0,Greeting Card Envelopes
40,2020-07-06,1999.0,Greeting Card Envelopes
41,2020-07-07,1999.0,Greeting Card Envelopes
42,2020-07-08,1999.0,Greeting Card Envelopes
43,2020-07-09,1743.0,Greeting Card Envelopes
44,2020-07-10,1743.0,Greeting Card Envelopes
45,2020-07-11,1743.0,Greeting Card Envelopes
46,2020-07-12,2269.0,Greeting Card Envelopes
47,2020-07-13,2269.0,Greeting Card Envelopes
48,2020-07-14,2269.0,Greeting Card Envelopes
49,2020-07-15,2269.0,Greeting Card Envelopes
50,2020-07-16,2217.0,Greeting Card Envelopes
51,2020-07-17,2217.0,Greeting Card Envelopes
52,2020-07-18,3169.0,Greeting Card Envelopes
53,2020-07-19,3146.0,Greeting Card Envelopes
54,2020-07-20,3146.0,Greeting Card Envelopes
55,2020-07-21,4067.0,Greeting Card Envelopes
56,2020-07-22,4067.0,Greeting Card Envelopes
57,2020-07-23,4067.0,Greeting Card Envelopes
58,2020-07-24,4893.0,Greeting Card Envelopes
59,2020-07-25,4893.0,Greeting Card Envelopes
60,2020-07-26,4893.0,Greeting Card Envelopes
61,2020-07-27,4581.0,Greeting Card Envelopes
62,2020-07-28,3979.0,Greeting Card Envelopes
63,2020-07-29,3979.0,Greeting Card Envelopes
64,2020-07-30,3979.0,Greeting Card Envelopes
65,2020-07-31,4497.0,Greeting Card Envelopes
66,2020-08-01,4497.0,Greeting Card Envelopes
67,2020-08-02,4497.0,Greeting Card Envelopes
68,2020-08-03,4964.0,Greeting Card Envelopes
69,2020-08-04,4964.0,Greeting Card Envelopes
70,2020-08-05,4964.0,Greeting Card Envelopes
71,2020-08-06,5484.0,Greeting Card Envelopes
72,2020-08-07,5484.0,Greeting Card Envelopes
73,2020-08-08,5484.0,Greeting Card Envelopes
74,2020-08-09,6946.0,Greeting Card Envelopes
75,2020-08-10,6946.0,Greeting Card Envelopes
76,2020-08-11,6946.0,Greeting Card Envelopes
77,2020-08-12,6592.0,Greeting Card Envelopes
78,2020-08-13,6592.0,Greeting Card Envelopes
79,2020-08-14,6592.0,Greeting Card Envelopes
80,2020-08-15,6171.0,Greeting Card Envelopes
81,2020-08-16,6171.0,Greeting Card Envelopes
82,2020-08-17,6171.0,Greeting Card Envelopes
83,2020-08-18,5861.0,Greeting Card Envelopes
84,2020-08-19,5861.0,Greeting Card Envelopes
85,2020-08-20,5861.0,Greeting Card Envelopes
86,2020-08-21,5861.0,Greeting Card Envelopes
87,2020-08-22,5861.0,Greeting Card Envelopes
88,2020-08-23,5861.0,Greeting Card Envelopes
89,2020-08-24,5861.0,Greeting Card Envelopes
90,2020-08-25,5987.0,Greeting Card Envelopes
91,2020-08-26,5987.0,Greeting Card Envelopes
92,2020-08-27,6430.0,Greeting Card Envelopes
93,2020-08-28,6430.0,Greeting Card Envelopes
94,2020-08-29,4942.0,Greeting Card Envelopes
95,2020-08-30,4942.0,Greeting Card Envelopes
96,2020-08-31,4942.0,Greeting Card Envelopes
97,2020-09-01,3942.0,Greeting Card Envelopes
98,2020-09-02,3942.0,Greeting Card Envelopes
99,2020-09-03,5255.0,Greeting Card Envelopes
100,2020-09-04,5255.0,Greeting Card Envelopes
101,2020-09-05,4410.0,Greeting Card Envelopes
102,2020-09-06,4410.0,Greeting Card Envelopes
103,2020-09-07,4538.0,Greeting Card Envelopes
104,2020-09-08,4538.0,Greeting Card Envelopes
105,2020-09-09,3832.0,Greeting Card Envelopes
106,2020-09-10,3832.0,Greeting Card Envelopes
107,2020-09-11,3832.0,Greeting Card Envelopes
108,2020-09-12,4409.0,Greeting Card Envelopes
109,2020-09-13,4409.0,Greeting Card Envelopes
110,2020-09-14,4409.0,Greeting Card Envelopes
111,2020-09-15,4730.0,Greeting Card Envelopes
112,2020-09-16,4730.0,Greeting Card Envelopes
113,2020-09-17,4730.0,Greeting Card Envelopes
114,2020-09-18,4341.0,Greeting Card Envelopes
115,2020-09-19,5306.0,Greeting Card Envelopes
116,2020-09-20,5306.0,Greeting Card Envelopes
117,2020-09-21,5306.0,Greeting Card Envelopes
118,2020-09-22,3591.0,Greeting Card Envelopes
119,2020-09-23,3591.0,Greeting Card Envelopes
120,2020-09-24,4085.0,Greeting Card Envelopes
121,2020-09-25,5514.0,Greeting Card Envelopes
122,2020-09-26,5514.0,Greeting Card Envelopes
123,2020-09-27,3905.0,Greeting Card Envelopes
124,2020-09-28,3905.0,Greeting Card Envelopes
125,2020-09-29,3775.0,Greeting Card Envelopes
126,2020-09-30,2260.0,Greeting Card Envelopes
127,2020-10-01,2260.0,Greeting Card Envelopes
128,2020-10-02,2260.0,Greeting Card Envelopes
129,2020-10-03,3467.0,Greeting Card Envelopes
130,2020-10-04,3467.0,Greeting Card Envelopes
131,2020-10-05,3206.0,Greeting Card Envelopes
132,2020-10-06,2848.0,Greeting Card Envelopes
133,2020-10-07,2848.0,Greeting Card Envelopes
134,2020-10-08,2848.0,Greeting Card Envelopes
135,2020-10-09,2848.0,Greeting Card Envelopes
136,2020-10-10,3491.0,Greeting Card Envelopes
137,2020-10-11,3491.0,Greeting Card Envelopes
138,2020-10-12,3491.0,Greeting Card Envelopes
139,2020-10-13,4555.0,Greeting Card Envelopes
140,2020-10-14,4991.0,Greeting Card Envelopes
141,2020-10-15,4991.0,Greeting Card Envelopes
142,2020-10-16,4991.0,Greeting Card Envelopes
143,2020-10-17,3414.0,Greeting Card Envelopes
