,date,value,name_B084PY4FKB
0,2020-02-23,13353.0,Bath Towels
1,2020-02-24,13353.0,Bath Towels
2,2020-02-25,13353.0,Bath Towels
3,2020-02-26,7228.0,Bath Towels
4,2020-02-27,7594.0,Bath Towels
5,2020-02-28,4842.0,Bath Towels
6,2020-02-29,4842.0,Bath Towels
7,2020-03-01,3386.0,Bath Towels
8,2020-03-02,5248.0,Bath Towels
9,2020-03-03,5248.0,Bath Towels
10,2020-03-04,10738.0,Bath Towels
11,2020-03-05,10738.0,Bath Towels
12,2020-03-06,10445.0,Bath Towels
13,2020-03-07,10445.0,Bath Towels
14,2020-03-08,10445.0,Bath Towels
15,2020-03-09,6650.0,Bath Towels
16,2020-03-10,6559.0,Bath Towels
17,2020-03-11,5098.0,Bath Towels
18,2020-03-12,4470.0,Bath Towels
19,2020-03-13,3578.0,Bath Towels
20,2020-03-14,3578.0,Bath Towels
21,2020-03-15,3310.0,Bath Towels
22,2020-03-16,3004.0,Bath Towels
23,2020-03-17,3211.0,Bath Towels
24,2020-03-18,3187.0,Bath Towels
25,2020-03-19,2824.0,Bath Towels
26,2020-03-20,2824.0,Bath Towels
27,2020-03-21,2248.0,Bath Towels
28,2020-03-22,2400.0,Bath Towels
29,2020-03-23,2741.0,Bath Towels
30,2020-03-24,3122.0,Bath Towels
31,2020-03-25,2484.0,Bath Towels
32,2020-03-26,3084.0,Bath Towels
33,2020-03-27,2982.0,Bath Towels
34,2020-03-28,3191.0,Bath Towels
35,2020-03-29,3887.0,Bath Towels
36,2020-03-30,4653.0,Bath Towels
37,2020-03-31,4653.0,Bath Towels
38,2020-04-01,4690.0,Bath Towels
39,2020-04-02,4746.0,Bath Towels
40,2020-04-03,4202.0,Bath Towels
41,2020-04-04,5745.0,Bath Towels
42,2020-04-05,5745.0,Bath Towels
43,2020-04-06,5745.0,Bath Towels
44,2020-04-07,5943.0,Bath Towels
45,2020-04-08,5943.0,Bath Towels
46,2020-04-09,5943.0,Bath Towels
47,2020-04-10,6096.0,Bath Towels
48,2020-04-11,6096.0,Bath Towels
49,2020-04-12,6096.0,Bath Towels
50,2020-04-13,11929.0,Bath Towels
51,2020-04-14,11929.0,Bath Towels
52,2020-04-15,6754.0,Bath Towels
53,2020-04-16,7150.0,Bath Towels
54,2020-04-17,6722.0,Bath Towels
55,2020-04-18,6722.0,Bath Towels
56,2020-04-19,9238.0,Bath Towels
57,2020-04-20,9238.0,Bath Towels
58,2020-04-21,15907.0,Bath Towels
59,2020-04-22,19263.0,Bath Towels
60,2020-04-23,19263.0,Bath Towels
61,2020-04-24,11929.0,Bath Towels
62,2020-04-25,16619.0,Bath Towels
63,2020-04-26,20071.0,Bath Towels
64,2020-04-27,20630.0,Bath Towels
65,2020-04-28,20630.0,Bath Towels
66,2020-04-29,20116.0,Bath Towels
67,2020-04-30,20116.0,Bath Towels
68,2020-05-01,20116.0,Bath Towels
69,2020-05-02,24848.0,Bath Towels
70,2020-05-03,24848.0,Bath Towels
71,2020-05-04,22172.0,Bath Towels
72,2020-05-05,15493.0,Bath Towels
73,2020-05-06,14731.0,Bath Towels
74,2020-05-07,14731.0,Bath Towels
75,2020-05-08,14731.0,Bath Towels
76,2020-05-09,14731.0,Bath Towels
77,2020-05-10,14731.0,Bath Towels
78,2020-05-11,17501.0,Bath Towels
79,2020-05-12,17868.0,Bath Towels
80,2020-05-13,17868.0,Bath Towels
81,2020-05-14,14009.0,Bath Towels
82,2020-05-15,23788.0,Bath Towels
83,2020-05-16,23788.0,Bath Towels
84,2020-05-17,23788.0,Bath Towels
85,2020-05-18,13596.0,Bath Towels
86,2020-05-19,13596.0,Bath Towels
87,2020-05-20,7545.0,Bath Towels
88,2020-05-21,7545.0,Bath Towels
89,2020-05-22,6649.0,Bath Towels
90,2020-05-23,6649.0,Bath Towels
91,2020-05-24,7646.0,Bath Towels
92,2020-05-25,7646.0,Bath Towels
93,2020-05-26,7646.0,Bath Towels
94,2020-05-27,7927.0,Bath Towels
95,2020-05-28,10567.0,Bath Towels
96,2020-05-29,10567.0,Bath Towels
97,2020-05-30,9536.0,Bath Towels
98,2020-05-31,9536.0,Bath Towels
99,2020-06-01,8648.0,Bath Towels
100,2020-06-02,8939.0,Bath Towels
101,2020-06-03,8939.0,Bath Towels
102,2020-06-04,10063.0,Bath Towels
103,2020-06-05,9654.0,Bath Towels
104,2020-06-06,11277.0,Bath Towels
105,2020-06-07,11277.0,Bath Towels
106,2020-06-08,13090.0,Bath Towels
107,2020-06-09,14685.0,Bath Towels
108,2020-06-10,14685.0,Bath Towels
109,2020-06-11,12881.0,Bath Towels
110,2020-06-12,16952.0,Bath Towels
111,2020-06-13,16952.0,Bath Towels
112,2020-06-14,18599.0,Bath Towels
113,2020-06-15,16738.0,Bath Towels
114,2020-06-16,16567.0,Bath Towels
115,2020-06-17,13215.0,Bath Towels
116,2020-06-18,13215.0,Bath Towels
117,2020-06-19,13215.0,Bath Towels
118,2020-06-20,14688.0,Bath Towels
119,2020-06-21,14688.0,Bath Towels
120,2020-06-22,27768.0,Bath Towels
121,2020-06-23,37141.0,Bath Towels
122,2020-06-24,37141.0,Bath Towels
