,date,value,name_B07T914FW1
0,2019-07-25,313029.0,Cups
1,2019-07-26,316159.0,Cups
2,2019-07-27,170836.0,Cups
3,2019-07-28,65853.0,Cups
4,2019-07-29,97041.0,Cups
5,2019-07-30,109382.0,Cups
6,2019-07-31,134548.0,Cups
7,2019-08-01,60460.0,Cups
8,2019-08-02,106567.0,Cups
9,2019-08-03,134124.0,Cups
10,2019-08-04,74996.0,Cups
11,2019-08-05,87732.0,Cups
12,2019-08-06,103185.0,Cups
13,2019-08-07,105840.0,Cups
14,2019-08-08,92217.0,Cups
15,2019-08-09,57234.0,Cups
16,2019-08-10,70264.0,Cups
17,2019-08-11,58547.0,Cups
18,2019-08-12,60742.0,Cups
19,2019-08-13,35661.0,Cups
20,2019-08-14,24598.0,Cups
21,2019-08-15,36512.0,Cups
22,2019-08-16,46544.0,Cups
23,2019-08-17,37625.0,Cups
24,2019-08-18,32976.0,Cups
25,2019-08-19,52304.0,Cups
26,2019-08-20,38960.0,Cups
27,2019-08-21,35535.0,Cups
28,2019-08-22,39133.0,Cups
29,2019-08-23,39133.0,Cups
30,2019-08-24,71781.0,Cups
31,2019-08-25,50366.0,Cups
32,2019-08-26,37159.0,Cups
33,2019-08-27,37159.0,Cups
34,2019-08-28,44235.0,Cups
35,2019-08-29,44235.0,Cups
36,2019-08-30,44235.0,Cups
37,2019-08-31,21083.0,Cups
38,2019-09-01,21083.0,Cups
39,2019-09-02,21083.0,Cups
40,2019-09-03,30569.0,Cups
41,2019-09-04,24423.0,Cups
42,2019-09-05,19388.0,Cups
43,2019-09-06,16216.0,Cups
44,2019-09-07,11229.0,Cups
45,2019-09-08,14679.0,Cups
46,2019-09-09,16428.0,Cups
47,2019-09-10,15203.0,Cups
48,2019-09-11,15686.0,Cups
49,2019-09-12,9090.0,Cups
50,2019-09-13,8057.0,Cups
51,2019-09-14,12319.0,Cups
52,2019-09-15,13032.0,Cups
53,2019-09-16,15371.0,Cups
54,2019-09-17,15319.0,Cups
55,2019-09-18,14179.0,Cups
56,2019-09-19,15383.0,Cups
57,2019-09-20,14519.0,Cups
58,2019-09-21,23224.0,Cups
59,2019-09-22,31248.0,Cups
60,2019-09-23,39219.0,Cups
61,2019-09-24,39219.0,Cups
62,2019-09-25,22089.0,Cups
63,2019-09-26,27013.0,Cups
64,2019-09-27,26882.0,Cups
65,2019-09-28,26882.0,Cups
66,2019-09-29,29158.0,Cups
67,2019-09-30,29582.0,Cups
68,2019-10-01,29582.0,Cups
69,2019-10-02,28476.0,Cups
70,2019-10-03,28476.0,Cups
71,2019-10-04,28476.0,Cups
72,2019-10-05,23508.0,Cups
73,2019-10-06,23508.0,Cups
74,2019-10-07,29762.0,Cups
75,2019-10-08,15460.0,Cups
76,2019-10-09,15460.0,Cups
77,2019-10-10,23128.0,Cups
78,2019-10-11,23128.0,Cups
79,2019-10-12,23128.0,Cups
80,2019-10-13,23128.0,Cups
81,2019-10-14,19506.0,Cups
82,2019-10-15,19506.0,Cups
83,2019-10-16,15908.0,Cups
84,2019-10-17,21158.0,Cups
85,2019-10-18,17627.0,Cups
86,2019-10-19,17627.0,Cups
87,2019-10-20,17627.0,Cups
88,2019-10-21,14618.0,Cups
89,2019-10-22,14618.0,Cups
90,2019-10-23,14618.0,Cups
91,2019-10-24,13294.0,Cups
92,2019-10-25,11905.0,Cups
93,2019-10-26,18216.0,Cups
94,2019-10-27,18216.0,Cups
95,2019-10-28,15696.0,Cups
96,2019-10-29,18470.0,Cups
97,2019-10-30,14307.0,Cups
98,2019-10-31,14307.0,Cups
99,2019-11-01,14307.0,Cups
100,2019-11-02,17728.0,Cups
101,2019-11-03,24594.0,Cups
102,2019-11-04,20748.0,Cups
103,2019-11-05,20748.0,Cups
104,2019-11-06,20748.0,Cups
105,2019-11-07,20748.0,Cups
106,2019-11-08,20748.0,Cups
107,2019-11-09,20748.0,Cups
108,2019-11-10,47017.0,Cups
109,2019-11-11,47017.0,Cups
110,2019-11-12,47017.0,Cups
111,2019-11-13,47017.0,Cups
112,2019-11-14,47017.0,Cups
113,2019-11-15,47017.0,Cups
114,2019-11-16,47017.0,Cups
115,2019-11-17,26116.0,Cups
116,2019-11-18,26116.0,Cups
117,2019-11-19,26116.0,Cups
118,2019-11-20,26116.0,Cups
119,2019-11-21,26116.0,Cups
120,2019-11-22,26116.0,Cups
121,2019-11-23,23095.0,Cups
122,2019-11-24,23095.0,Cups
123,2019-11-25,23095.0,Cups
124,2019-11-26,16552.0,Cups
125,2019-11-27,19847.0,Cups
126,2019-11-28,25867.0,Cups
127,2019-11-29,25867.0,Cups
128,2019-11-30,25867.0,Cups
129,2019-12-01,25867.0,Cups
130,2019-12-02,25867.0,Cups
131,2019-12-03,25867.0,Cups
132,2019-12-04,33402.0,Cups
133,2019-12-05,33402.0,Cups
134,2019-12-06,33402.0,Cups
135,2019-12-07,28835.0,Cups
136,2019-12-08,28835.0,Cups
137,2019-12-09,28835.0,Cups
138,2019-12-10,25293.0,Cups
139,2019-12-11,25293.0,Cups
140,2019-12-12,25293.0,Cups
141,2019-12-13,21968.0,Cups
142,2019-12-14,21968.0,Cups
143,2019-12-15,36475.0,Cups
144,2019-12-16,36671.0,Cups
145,2019-12-17,36671.0,Cups
146,2019-12-18,36671.0,Cups
147,2019-12-19,36671.0,Cups
148,2019-12-20,19173.0,Cups
149,2019-12-21,19173.0,Cups
150,2019-12-22,23103.0,Cups
151,2019-12-23,23103.0,Cups
152,2019-12-24,23103.0,Cups
153,2019-12-25,23103.0,Cups
154,2019-12-26,23103.0,Cups
155,2019-12-27,19933.0,Cups
156,2019-12-28,19933.0,Cups
157,2019-12-29,19933.0,Cups
158,2019-12-30,11088.0,Cups
159,2019-12-31,13803.0,Cups
160,2020-01-01,13803.0,Cups
161,2020-01-02,13803.0,Cups
162,2020-01-03,18263.0,Cups
163,2020-01-04,18263.0,Cups
164,2020-01-05,18263.0,Cups
165,2020-01-06,17655.0,Cups
166,2020-01-07,17655.0,Cups
167,2020-01-08,16085.0,Cups
168,2020-01-09,16085.0,Cups
169,2020-01-10,16085.0,Cups
170,2020-01-11,16085.0,Cups
171,2020-01-12,16085.0,Cups
172,2020-01-13,16085.0,Cups
173,2020-01-14,21728.0,Cups
174,2020-01-15,14152.0,Cups
175,2020-01-16,14152.0,Cups
176,2020-01-17,14501.0,Cups
177,2020-01-18,17096.0,Cups
178,2020-01-19,17096.0,Cups
179,2020-01-20,17096.0,Cups
180,2020-01-21,26341.0,Cups
181,2020-01-22,26341.0,Cups
182,2020-01-23,22133.0,Cups
183,2020-01-24,22133.0,Cups
184,2020-01-25,22133.0,Cups
185,2020-01-26,22133.0,Cups
186,2020-01-27,30088.0,Cups
187,2020-01-28,30088.0,Cups
188,2020-01-29,30088.0,Cups
189,2020-01-30,19045.0,Cups
190,2020-01-31,19045.0,Cups
191,2020-02-01,19045.0,Cups
192,2020-02-02,19045.0,Cups
193,2020-02-03,19045.0,Cups
194,2020-02-04,19045.0,Cups
195,2020-02-05,19045.0,Cups
196,2020-02-06,11043.0,Cups
197,2020-02-07,11043.0,Cups
198,2020-02-08,18992.0,Cups
199,2020-02-09,17737.0,Cups
200,2020-02-10,17737.0,Cups
201,2020-02-11,13748.0,Cups
202,2020-02-12,13748.0,Cups
203,2020-02-13,13748.0,Cups
204,2020-02-14,23157.0,Cups
205,2020-02-15,23157.0,Cups
206,2020-02-16,23157.0,Cups
207,2020-02-17,23157.0,Cups
208,2020-02-18,23157.0,Cups
209,2020-02-19,23157.0,Cups
210,2020-02-20,23157.0,Cups
211,2020-02-21,23157.0,Cups
212,2020-02-22,23157.0,Cups
