,date,value,name_B095KY8MK5
0,2021-05-26,1513.0,Science Kits & Toys
1,2021-05-27,1513.0,Science Kits & Toys
2,2021-05-28,911.0,Science Kits & Toys
3,2021-05-29,923.0,Science Kits & Toys
4,2021-05-30,730.0,Science Kits & Toys
5,2021-05-31,730.0,Science Kits & Toys
6,2021-06-01,730.0,Science Kits & Toys
7,2021-06-02,730.0,Science Kits & Toys
8,2021-06-03,730.0,Science Kits & Toys
9,2021-06-04,730.0,Science Kits & Toys
10,2021-06-05,730.0,Science Kits & Toys
11,2021-06-06,730.0,Science Kits & Toys
12,2021-06-07,730.0,Science Kits & Toys
13,2021-06-08,730.0,Science Kits & Toys
14,2021-06-09,10167.0,Science Kits & Toys
15,2021-06-10,10167.0,Science Kits & Toys
16,2021-06-11,1729.0,Science Kits & Toys
17,2021-06-12,1088.0,Science Kits & Toys
18,2021-06-13,1088.0,Science Kits & Toys
19,2021-06-14,633.0,Science Kits & Toys
20,2021-06-15,633.0,Science Kits & Toys
21,2021-06-16,808.0,Science Kits & Toys
22,2021-06-17,808.0,Science Kits & Toys
23,2021-06-18,558.0,Science Kits & Toys
24,2021-06-19,558.0,Science Kits & Toys
25,2021-06-20,558.0,Science Kits & Toys
26,2021-06-21,572.0,Science Kits & Toys
27,2021-06-22,1651.0,Science Kits & Toys
28,2021-06-23,1917.0,Science Kits & Toys
29,2021-06-24,1917.0,Science Kits & Toys
30,2021-06-25,374.0,Science Kits & Toys
31,2021-06-26,459.0,Science Kits & Toys
32,2021-06-27,514.0,Science Kits & Toys
33,2021-06-28,361.0,Science Kits & Toys
34,2021-06-29,647.0,Science Kits & Toys
35,2021-06-30,697.0,Science Kits & Toys
36,2021-07-01,138.0,Science Kits & Toys
37,2021-07-02,398.0,Science Kits & Toys
38,2021-07-03,443.0,Science Kits & Toys
39,2021-07-04,443.0,Science Kits & Toys
40,2021-07-05,443.0,Science Kits & Toys
41,2021-07-06,397.0,Science Kits & Toys
42,2021-07-07,406.0,Science Kits & Toys
43,2021-07-08,447.0,Science Kits & Toys
44,2021-07-09,845.0,Science Kits & Toys
