,date,value,name_B08HL1Y9RG
0,2020-09-10,3823.0,Decorative Stones
1,2020-09-11,3823.0,Decorative Stones
2,2020-09-12,2895.0,Decorative Stones
3,2020-09-13,2895.0,Decorative Stones
4,2020-09-14,2039.0,Decorative Stones
5,2020-09-15,2039.0,Decorative Stones
6,2020-09-16,2039.0,Decorative Stones
7,2020-09-17,2039.0,Decorative Stones
8,2020-09-18,2039.0,Decorative Stones
9,2020-09-19,2039.0,Decorative Stones
10,2020-09-20,3165.0,Decorative Stones
11,2020-09-21,3165.0,Decorative Stones
12,2020-09-22,3165.0,Decorative Stones
13,2020-09-23,2071.0,Decorative Stones
14,2020-09-24,2071.0,Decorative Stones
15,2020-09-25,1554.0,Decorative Stones
16,2020-09-26,1554.0,Decorative Stones
17,2020-09-27,1554.0,Decorative Stones
18,2020-09-28,1820.0,Decorative Stones
19,2020-09-29,1820.0,Decorative Stones
20,2020-09-30,1820.0,Decorative Stones
21,2020-10-01,1726.0,Decorative Stones
22,2020-10-02,2109.0,Decorative Stones
23,2020-10-03,2109.0,Decorative Stones
24,2020-10-04,2109.0,Decorative Stones
25,2020-10-05,2356.0,Decorative Stones
26,2020-10-06,1880.0,Decorative Stones
27,2020-10-07,1880.0,Decorative Stones
28,2020-10-08,2356.0,Decorative Stones
29,2020-10-09,2356.0,Decorative Stones
30,2020-10-10,2356.0,Decorative Stones
31,2020-10-11,2356.0,Decorative Stones
32,2020-10-12,1416.0,Decorative Stones
33,2020-10-13,1416.0,Decorative Stones
34,2020-10-14,1416.0,Decorative Stones
35,2020-10-15,2783.0,Decorative Stones
36,2020-10-16,2783.0,Decorative Stones
37,2020-10-17,2783.0,Decorative Stones
38,2020-10-18,2783.0,Decorative Stones
39,2020-10-19,1931.0,Decorative Stones
40,2020-10-20,1931.0,Decorative Stones
41,2020-10-21,1931.0,Decorative Stones
42,2020-10-22,2100.0,Decorative Stones
43,2020-10-23,2100.0,Decorative Stones
44,2020-10-24,2100.0,Decorative Stones
45,2020-10-25,1662.0,Decorative Stones
46,2020-10-26,1662.0,Decorative Stones
47,2020-10-27,1662.0,Decorative Stones
48,2020-10-28,1740.0,Decorative Stones
49,2020-10-29,1740.0,Decorative Stones
50,2020-10-30,1740.0,Decorative Stones
51,2020-10-31,1710.0,Decorative Stones
52,2020-11-01,1710.0,Decorative Stones
53,2020-11-02,1710.0,Decorative Stones
54,2020-11-03,1710.0,Decorative Stones
55,2020-11-04,1677.0,Decorative Stones
56,2020-11-05,1738.0,Decorative Stones
57,2020-11-06,1894.0,Decorative Stones
58,2020-11-07,1894.0,Decorative Stones
59,2020-11-08,1894.0,Decorative Stones
60,2020-11-09,2143.0,Decorative Stones
61,2020-11-10,2143.0,Decorative Stones
62,2020-11-11,1282.0,Decorative Stones
63,2020-11-12,1282.0,Decorative Stones
64,2020-11-13,1282.0,Decorative Stones
65,2020-11-14,1157.0,Decorative Stones
66,2020-11-15,1157.0,Decorative Stones
67,2020-11-16,1704.0,Decorative Stones
68,2020-11-17,1704.0,Decorative Stones
