,date,value,name_B08CV93QHX
0,2020-08-11,169563.0,Safety Products
1,2020-08-12,169563.0,Safety Products
2,2020-08-13,169563.0,Safety Products
3,2020-08-14,169563.0,Safety Products
4,2020-08-15,169563.0,Safety Products
5,2020-08-16,169563.0,Safety Products
6,2020-08-17,169563.0,Safety Products
7,2020-08-18,169563.0,Safety Products
8,2020-08-19,169563.0,Safety Products
9,2020-08-20,237281.0,Safety Products
10,2020-08-21,237281.0,Safety Products
11,2020-08-22,237281.0,Safety Products
12,2020-08-23,237281.0,Safety Products
13,2020-08-24,237281.0,Safety Products
14,2020-08-25,237281.0,Safety Products
15,2020-08-26,237281.0,Safety Products
16,2020-08-27,237281.0,Safety Products
17,2020-08-28,237281.0,Safety Products
18,2020-08-29,237281.0,Safety Products
19,2020-08-30,237281.0,Safety Products
20,2020-08-31,237281.0,Safety Products
21,2020-09-01,237281.0,Safety Products
22,2020-09-02,237281.0,Safety Products
23,2020-09-03,237281.0,Safety Products
24,2020-09-04,237281.0,Safety Products
25,2020-09-05,237281.0,Safety Products
26,2020-09-06,237281.0,Safety Products
27,2020-09-07,237281.0,Safety Products
28,2020-09-08,237281.0,Safety Products
29,2020-09-09,237281.0,Safety Products
30,2020-09-10,237281.0,Safety Products
31,2020-09-11,237281.0,Safety Products
32,2020-09-12,237281.0,Safety Products
33,2020-09-13,237281.0,Safety Products
34,2020-09-14,237281.0,Safety Products
35,2020-09-15,167353.0,Safety Products
36,2020-09-16,167353.0,Safety Products
37,2020-09-17,167353.0,Safety Products
38,2020-09-18,167353.0,Safety Products
39,2020-09-19,167353.0,Safety Products
40,2020-09-20,167353.0,Safety Products
41,2020-09-21,167353.0,Safety Products
42,2020-09-22,167353.0,Safety Products
43,2020-09-23,167353.0,Safety Products
44,2020-09-24,167353.0,Safety Products
45,2020-09-25,167353.0,Safety Products
46,2020-09-26,167353.0,Safety Products
47,2020-09-27,167353.0,Safety Products
48,2020-09-28,167353.0,Safety Products
49,2020-09-29,167353.0,Safety Products
50,2020-09-30,167353.0,Safety Products
51,2020-10-01,167353.0,Safety Products
52,2020-10-02,167353.0,Safety Products
53,2020-10-03,167353.0,Safety Products
54,2020-10-04,167353.0,Safety Products
55,2020-10-05,167353.0,Safety Products
56,2020-10-06,167353.0,Safety Products
57,2020-10-07,167353.0,Safety Products
58,2020-10-08,167353.0,Safety Products
59,2020-10-09,167353.0,Safety Products
60,2020-10-10,167353.0,Safety Products
61,2020-10-11,167353.0,Safety Products
62,2020-10-12,167353.0,Safety Products
63,2020-10-13,167353.0,Safety Products
64,2020-10-14,167353.0,Safety Products
65,2020-10-15,380906.0,Safety Products
66,2020-10-16,380906.0,Safety Products
67,2020-10-17,380906.0,Safety Products
68,2020-10-18,380906.0,Safety Products
69,2020-10-19,380906.0,Safety Products
70,2020-10-20,380906.0,Safety Products
71,2020-10-21,380906.0,Safety Products
72,2020-10-22,380906.0,Safety Products
73,2020-10-23,380906.0,Safety Products
74,2020-10-24,380906.0,Safety Products
75,2020-10-25,380906.0,Safety Products
76,2020-10-26,380906.0,Safety Products
77,2020-10-27,380906.0,Safety Products
78,2020-10-28,380906.0,Safety Products
79,2020-10-29,380906.0,Safety Products
80,2020-10-30,380906.0,Safety Products
