,date,value,name_B093SSBJYX
0,2021-05-15,8772.0,Basket Liners
1,2021-05-16,8772.0,Basket Liners
2,2021-05-17,5803.0,Basket Liners
3,2021-05-18,5803.0,Basket Liners
4,2021-05-19,5803.0,Basket Liners
5,2021-05-20,8884.0,Basket Liners
6,2021-05-21,8884.0,Basket Liners
7,2021-05-22,8884.0,Basket Liners
8,2021-05-23,8884.0,Basket Liners
9,2021-05-24,6861.0,Basket Liners
10,2021-05-25,6861.0,Basket Liners
11,2021-05-26,7047.0,Basket Liners
12,2021-05-27,7047.0,Basket Liners
13,2021-05-28,12398.0,Basket Liners
14,2021-05-29,21869.0,Basket Liners
15,2021-05-30,22032.0,Basket Liners
16,2021-05-31,22032.0,Basket Liners
17,2021-06-01,22032.0,Basket Liners
18,2021-06-02,22032.0,Basket Liners
19,2021-06-03,22032.0,Basket Liners
20,2021-06-04,18019.0,Basket Liners
21,2021-06-05,18019.0,Basket Liners
22,2021-06-06,18019.0,Basket Liners
23,2021-06-07,14164.0,Basket Liners
24,2021-06-08,14520.0,Basket Liners
25,2021-06-09,14358.0,Basket Liners
26,2021-06-10,21884.0,Basket Liners
27,2021-06-11,21884.0,Basket Liners
28,2021-06-12,21884.0,Basket Liners
29,2021-06-13,11761.0,Basket Liners
30,2021-06-14,10997.0,Basket Liners
31,2021-06-15,10997.0,Basket Liners
32,2021-06-16,11271.0,Basket Liners
33,2021-06-17,10098.0,Basket Liners
34,2021-06-18,10098.0,Basket Liners
35,2021-06-19,8554.0,Basket Liners
36,2021-06-20,14177.0,Basket Liners
37,2021-06-21,9479.0,Basket Liners
38,2021-06-22,16371.0,Basket Liners
39,2021-06-23,14470.0,Basket Liners
40,2021-06-24,14470.0,Basket Liners
41,2021-06-25,17913.0,Basket Liners
42,2021-06-26,17913.0,Basket Liners
43,2021-06-27,12554.0,Basket Liners
44,2021-06-28,8908.0,Basket Liners
45,2021-06-29,8908.0,Basket Liners
46,2021-06-30,20836.0,Basket Liners
47,2021-07-01,22639.0,Basket Liners
48,2021-07-02,17924.0,Basket Liners
49,2021-07-03,17910.0,Basket Liners
50,2021-07-04,17910.0,Basket Liners
51,2021-07-05,19108.0,Basket Liners
52,2021-07-06,24981.0,Basket Liners
53,2021-07-07,28068.0,Basket Liners
54,2021-07-08,47491.0,Basket Liners
55,2021-07-09,29030.0,Basket Liners
