,date,value,name_B095SKC84H
0,2021-05-31,58303.0,Personal Fans
1,2021-06-01,44373.0,Personal Fans
2,2021-06-02,47127.0,Personal Fans
3,2021-06-03,47127.0,Personal Fans
4,2021-06-04,61464.0,Personal Fans
5,2021-06-05,70467.0,Personal Fans
6,2021-06-06,70467.0,Personal Fans
7,2021-06-07,70467.0,Personal Fans
8,2021-06-08,59697.0,Personal Fans
9,2021-06-09,64985.0,Personal Fans
10,2021-06-10,64985.0,Personal Fans
11,2021-06-11,64985.0,Personal Fans
12,2021-06-12,24885.0,Personal Fans
13,2021-06-13,24885.0,Personal Fans
14,2021-06-14,24885.0,Personal Fans
15,2021-06-15,14744.0,Personal Fans
16,2021-06-16,15628.0,Personal Fans
17,2021-06-17,17555.0,Personal Fans
18,2021-06-18,18779.0,Personal Fans
19,2021-06-19,7969.0,Personal Fans
20,2021-06-20,7969.0,Personal Fans
21,2021-06-21,5267.0,Personal Fans
22,2021-06-22,5267.0,Personal Fans
23,2021-06-23,7513.0,Personal Fans
24,2021-06-24,8364.0,Personal Fans
25,2021-06-25,10452.0,Personal Fans
26,2021-06-26,8816.0,Personal Fans
27,2021-06-27,8816.0,Personal Fans
28,2021-06-28,7574.0,Personal Fans
29,2021-06-29,7574.0,Personal Fans
30,2021-06-30,3746.0,Personal Fans
31,2021-07-01,2609.0,Personal Fans
32,2021-07-02,2609.0,Personal Fans
33,2021-07-03,4773.0,Personal Fans
34,2021-07-04,3838.0,Personal Fans
35,2021-07-05,4276.0,Personal Fans
36,2021-07-06,5789.0,Personal Fans
37,2021-07-07,5789.0,Personal Fans
38,2021-07-08,5404.0,Personal Fans
39,2021-07-09,4928.0,Personal Fans
40,2021-07-10,4991.0,Personal Fans
