,date,value,name_B078K5B9DH
0,2020-05-24,8626.0,Douches & Enemas
1,2020-05-25,7470.0,Douches & Enemas
2,2020-05-26,8558.0,Douches & Enemas
3,2020-05-27,8113.0,Douches & Enemas
4,2020-05-28,10170.0,Douches & Enemas
5,2020-05-29,9827.0,Douches & Enemas
6,2020-05-30,8791.0,Douches & Enemas
7,2020-05-31,8000.0,Douches & Enemas
8,2020-06-01,10754.0,Douches & Enemas
9,2020-06-02,10580.0,Douches & Enemas
10,2020-06-03,11317.0,Douches & Enemas
11,2020-06-04,11121.0,Douches & Enemas
12,2020-06-05,11746.0,Douches & Enemas
13,2020-06-06,10634.0,Douches & Enemas
14,2020-06-07,10569.0,Douches & Enemas
15,2020-06-08,9802.0,Douches & Enemas
16,2020-06-09,11104.0,Douches & Enemas
17,2020-06-10,9749.0,Douches & Enemas
18,2020-06-11,9748.0,Douches & Enemas
19,2020-06-12,10433.0,Douches & Enemas
20,2020-06-13,9345.0,Douches & Enemas
21,2020-06-14,9275.0,Douches & Enemas
22,2020-06-15,9955.0,Douches & Enemas
23,2020-06-16,8425.0,Douches & Enemas
24,2020-06-17,8609.0,Douches & Enemas
25,2020-06-18,9481.0,Douches & Enemas
26,2020-06-19,10115.0,Douches & Enemas
27,2020-06-20,10115.0,Douches & Enemas
28,2020-06-21,8934.0,Douches & Enemas
29,2020-06-22,7541.0,Douches & Enemas
30,2020-06-23,8692.0,Douches & Enemas
31,2020-06-24,8354.0,Douches & Enemas
32,2020-06-25,8177.0,Douches & Enemas
33,2020-06-26,10271.0,Douches & Enemas
34,2020-06-27,13579.0,Douches & Enemas
35,2020-06-28,10163.0,Douches & Enemas
36,2020-06-29,13261.0,Douches & Enemas
37,2020-06-30,11328.0,Douches & Enemas
38,2020-07-01,10803.0,Douches & Enemas
39,2020-07-02,11423.0,Douches & Enemas
40,2020-07-03,10351.0,Douches & Enemas
41,2020-07-04,10195.0,Douches & Enemas
42,2020-07-05,9940.0,Douches & Enemas
43,2020-07-06,11816.0,Douches & Enemas
44,2020-07-07,10282.0,Douches & Enemas
45,2020-07-08,12472.0,Douches & Enemas
46,2020-07-09,9896.0,Douches & Enemas
47,2020-07-10,12052.0,Douches & Enemas
48,2020-07-11,9570.0,Douches & Enemas
49,2020-07-12,11378.0,Douches & Enemas
50,2020-07-13,10403.0,Douches & Enemas
51,2020-07-14,12582.0,Douches & Enemas
52,2020-07-15,10501.0,Douches & Enemas
53,2020-07-16,11092.0,Douches & Enemas
54,2020-07-17,10077.0,Douches & Enemas
55,2020-07-18,11459.0,Douches & Enemas
56,2020-07-19,12264.0,Douches & Enemas
57,2020-07-20,12260.0,Douches & Enemas
58,2020-07-21,9906.0,Douches & Enemas
59,2020-07-22,10782.0,Douches & Enemas
60,2020-07-23,11550.0,Douches & Enemas
61,2020-07-24,10223.0,Douches & Enemas
62,2020-07-25,9329.0,Douches & Enemas
63,2020-07-26,10487.0,Douches & Enemas
64,2020-07-27,11248.0,Douches & Enemas
65,2020-07-28,9992.0,Douches & Enemas
66,2020-07-29,10652.0,Douches & Enemas
67,2020-07-30,10162.0,Douches & Enemas
68,2020-07-31,11837.0,Douches & Enemas
69,2020-08-01,10535.0,Douches & Enemas
70,2020-08-02,11152.0,Douches & Enemas
71,2020-08-03,13564.0,Douches & Enemas
72,2020-08-04,11885.0,Douches & Enemas
73,2020-08-05,10632.0,Douches & Enemas
74,2020-08-06,12067.0,Douches & Enemas
75,2020-08-07,12525.0,Douches & Enemas
76,2020-08-08,12858.0,Douches & Enemas
77,2020-08-09,11121.0,Douches & Enemas
78,2020-08-10,12730.0,Douches & Enemas
79,2020-08-11,12561.0,Douches & Enemas
80,2020-08-12,11584.0,Douches & Enemas
81,2020-08-13,11010.0,Douches & Enemas
82,2020-08-14,10775.0,Douches & Enemas
83,2020-08-15,13283.0,Douches & Enemas
84,2020-08-16,14302.0,Douches & Enemas
85,2020-08-17,14492.0,Douches & Enemas
86,2020-08-18,13479.0,Douches & Enemas
87,2020-08-19,12495.0,Douches & Enemas
88,2020-08-20,14041.0,Douches & Enemas
89,2020-08-21,11776.0,Douches & Enemas
90,2020-08-22,10488.0,Douches & Enemas
91,2020-08-23,8874.0,Douches & Enemas
92,2020-08-24,10013.0,Douches & Enemas
93,2020-08-25,10578.0,Douches & Enemas
94,2020-08-26,11358.0,Douches & Enemas
95,2020-08-27,11513.0,Douches & Enemas
96,2020-08-28,12851.0,Douches & Enemas
97,2020-08-29,11993.0,Douches & Enemas
98,2020-08-30,11993.0,Douches & Enemas
99,2020-08-31,10816.0,Douches & Enemas
100,2020-09-01,10266.0,Douches & Enemas
101,2020-09-02,10266.0,Douches & Enemas
102,2020-09-03,10266.0,Douches & Enemas
103,2020-09-04,11545.0,Douches & Enemas
104,2020-09-05,11545.0,Douches & Enemas
105,2020-09-06,11829.0,Douches & Enemas
106,2020-09-07,11829.0,Douches & Enemas
107,2020-09-08,11829.0,Douches & Enemas
108,2020-09-09,11829.0,Douches & Enemas
109,2020-09-10,11333.0,Douches & Enemas
110,2020-09-11,11333.0,Douches & Enemas
111,2020-09-12,11333.0,Douches & Enemas
112,2020-09-13,11333.0,Douches & Enemas
113,2020-09-14,13690.0,Douches & Enemas
114,2020-09-15,13690.0,Douches & Enemas
115,2020-09-16,13690.0,Douches & Enemas
116,2020-09-17,13690.0,Douches & Enemas
117,2020-09-18,12039.0,Douches & Enemas
118,2020-09-19,12039.0,Douches & Enemas
119,2020-09-20,12039.0,Douches & Enemas
120,2020-09-21,9982.0,Douches & Enemas
121,2020-09-22,9982.0,Douches & Enemas
122,2020-09-23,9982.0,Douches & Enemas
123,2020-09-24,10005.0,Douches & Enemas
124,2020-09-25,10005.0,Douches & Enemas
125,2020-09-26,10005.0,Douches & Enemas
126,2020-09-27,11632.0,Douches & Enemas
127,2020-09-28,11632.0,Douches & Enemas
128,2020-09-29,11632.0,Douches & Enemas
129,2020-09-30,10854.0,Douches & Enemas
130,2020-10-01,10854.0,Douches & Enemas
131,2020-10-02,10854.0,Douches & Enemas
