,date,value,name_B08LVL2T8C
177,2021-04-24,4231.0,Planters
178,2021-04-25,4630.0,Planters
179,2021-04-26,5292.0,Planters
180,2021-04-27,5245.0,Planters
181,2021-04-28,5245.0,Planters
182,2021-04-29,9420.0,Planters
183,2021-04-30,9420.0,Planters
184,2021-05-01,9420.0,Planters
185,2021-05-02,9420.0,Planters
186,2021-05-03,11191.0,Planters
187,2021-05-04,10036.0,Planters
188,2021-05-05,10036.0,Planters
189,2021-05-06,11296.0,Planters
190,2021-05-07,11296.0,Planters
191,2021-05-08,12334.0,Planters
192,2021-05-09,14794.0,Planters
193,2021-05-10,14794.0,Planters
194,2021-05-11,14794.0,Planters
195,2021-05-12,10025.0,Planters
196,2021-05-13,10025.0,Planters
197,2021-05-14,15269.0,Planters
198,2021-05-15,15269.0,Planters
199,2021-05-16,15269.0,Planters
200,2021-05-17,14240.0,Planters
201,2021-05-18,18063.0,Planters
202,2021-05-19,18063.0,Planters
203,2021-05-20,14017.0,Planters
204,2021-05-21,14017.0,Planters
205,2021-05-22,14017.0,Planters
206,2021-05-23,14017.0,Planters
207,2021-05-24,14017.0,Planters
208,2021-05-25,11303.0,Planters
209,2021-05-26,11303.0,Planters
210,2021-05-27,7414.0,Planters
211,2021-05-28,7414.0,Planters
212,2021-05-29,7414.0,Planters
213,2021-05-30,10308.0,Planters
214,2021-05-31,10308.0,Planters
215,2021-06-01,10308.0,Planters
216,2021-06-02,9216.0,Planters
217,2021-06-03,9216.0,Planters
218,2021-06-04,10306.0,Planters
219,2021-06-05,10306.0,Planters
220,2021-06-06,10306.0,Planters
221,2021-06-07,9006.0,Planters
222,2021-06-08,9006.0,Planters
223,2021-06-09,9006.0,Planters
224,2021-06-10,7912.0,Planters
225,2021-06-11,7912.0,Planters
226,2021-06-12,7912.0,Planters
227,2021-06-13,10176.0,Planters
228,2021-06-14,11340.0,Planters
229,2021-06-15,11340.0,Planters
230,2021-06-16,11340.0,Planters
231,2021-06-17,11524.0,Planters
232,2021-06-18,11524.0,Planters
233,2021-06-19,10405.0,Planters
234,2021-06-20,12712.0,Planters
235,2021-06-21,12712.0,Planters
236,2021-06-22,12712.0,Planters
237,2021-06-23,9325.0,Planters
238,2021-06-24,9325.0,Planters
239,2021-06-25,9049.0,Planters
