,date,value,name_B08B3Q97Z2
0,2020-11-08,44625.0,Fertilizers & Plant Food
1,2020-11-09,44625.0,Fertilizers & Plant Food
2,2020-11-10,44625.0,Fertilizers & Plant Food
3,2020-11-11,28093.0,Fertilizers & Plant Food
4,2020-11-12,28093.0,Fertilizers & Plant Food
5,2020-11-13,28142.0,Fertilizers & Plant Food
6,2020-11-14,28142.0,Fertilizers & Plant Food
7,2020-11-15,37214.0,Fertilizers & Plant Food
8,2020-11-16,37214.0,Fertilizers & Plant Food
9,2020-11-17,37214.0,Fertilizers & Plant Food
10,2020-11-18,38538.0,Fertilizers & Plant Food
11,2020-11-19,38538.0,Fertilizers & Plant Food
12,2020-11-20,38538.0,Fertilizers & Plant Food
13,2020-11-21,38538.0,Fertilizers & Plant Food
14,2020-11-22,38538.0,Fertilizers & Plant Food
15,2020-11-23,38538.0,Fertilizers & Plant Food
16,2020-11-24,53221.0,Fertilizers & Plant Food
17,2020-11-25,53221.0,Fertilizers & Plant Food
18,2020-11-26,53221.0,Fertilizers & Plant Food
19,2020-11-27,32555.0,Fertilizers & Plant Food
20,2020-11-28,32555.0,Fertilizers & Plant Food
21,2020-11-29,32555.0,Fertilizers & Plant Food
22,2020-11-30,21653.0,Fertilizers & Plant Food
23,2020-12-01,21653.0,Fertilizers & Plant Food
24,2020-12-02,21653.0,Fertilizers & Plant Food
25,2020-12-03,21653.0,Fertilizers & Plant Food
26,2020-12-04,29790.0,Fertilizers & Plant Food
27,2020-12-05,29790.0,Fertilizers & Plant Food
28,2020-12-06,29790.0,Fertilizers & Plant Food
29,2020-12-07,29790.0,Fertilizers & Plant Food
30,2020-12-08,40727.0,Fertilizers & Plant Food
31,2020-12-09,40727.0,Fertilizers & Plant Food
32,2020-12-10,40727.0,Fertilizers & Plant Food
33,2020-12-11,40727.0,Fertilizers & Plant Food
34,2020-12-12,51575.0,Fertilizers & Plant Food
35,2020-12-13,51575.0,Fertilizers & Plant Food
36,2020-12-14,51575.0,Fertilizers & Plant Food
37,2020-12-15,51575.0,Fertilizers & Plant Food
38,2020-12-16,51575.0,Fertilizers & Plant Food
39,2020-12-17,27382.0,Fertilizers & Plant Food
40,2020-12-18,27382.0,Fertilizers & Plant Food
41,2020-12-19,27382.0,Fertilizers & Plant Food
42,2020-12-20,27382.0,Fertilizers & Plant Food
43,2020-12-21,27382.0,Fertilizers & Plant Food
44,2020-12-22,27382.0,Fertilizers & Plant Food
45,2020-12-23,23902.0,Fertilizers & Plant Food
46,2020-12-24,23902.0,Fertilizers & Plant Food
47,2020-12-25,23902.0,Fertilizers & Plant Food
48,2020-12-26,17057.0,Fertilizers & Plant Food
49,2020-12-27,17057.0,Fertilizers & Plant Food
50,2020-12-28,29193.0,Fertilizers & Plant Food
51,2020-12-29,29193.0,Fertilizers & Plant Food
52,2020-12-30,13034.0,Fertilizers & Plant Food
53,2020-12-31,13034.0,Fertilizers & Plant Food
54,2021-01-01,13034.0,Fertilizers & Plant Food
55,2021-01-02,13034.0,Fertilizers & Plant Food
56,2021-01-03,13034.0,Fertilizers & Plant Food
57,2021-01-04,37598.0,Fertilizers & Plant Food
58,2021-01-05,37598.0,Fertilizers & Plant Food
59,2021-01-06,37598.0,Fertilizers & Plant Food
60,2021-01-07,16470.0,Fertilizers & Plant Food
61,2021-01-08,16470.0,Fertilizers & Plant Food
62,2021-01-09,12125.0,Fertilizers & Plant Food
63,2021-01-10,12125.0,Fertilizers & Plant Food
64,2021-01-11,12125.0,Fertilizers & Plant Food
65,2021-01-12,18013.0,Fertilizers & Plant Food
66,2021-01-13,18013.0,Fertilizers & Plant Food
67,2021-01-14,13949.0,Fertilizers & Plant Food
68,2021-01-15,13949.0,Fertilizers & Plant Food
69,2021-01-16,13949.0,Fertilizers & Plant Food
70,2021-01-17,13949.0,Fertilizers & Plant Food
71,2021-01-18,8017.0,Fertilizers & Plant Food
72,2021-01-19,8017.0,Fertilizers & Plant Food
73,2021-01-20,8017.0,Fertilizers & Plant Food
74,2021-01-21,8017.0,Fertilizers & Plant Food
75,2021-01-22,6811.0,Fertilizers & Plant Food
76,2021-01-23,6811.0,Fertilizers & Plant Food
77,2021-01-24,6811.0,Fertilizers & Plant Food
78,2021-01-25,6881.0,Fertilizers & Plant Food
79,2021-01-26,6881.0,Fertilizers & Plant Food
80,2021-01-27,6881.0,Fertilizers & Plant Food
81,2021-01-28,6746.0,Fertilizers & Plant Food
82,2021-01-29,6746.0,Fertilizers & Plant Food
83,2021-01-30,6746.0,Fertilizers & Plant Food
84,2021-01-31,9681.0,Fertilizers & Plant Food
85,2021-02-01,9681.0,Fertilizers & Plant Food
86,2021-02-02,9681.0,Fertilizers & Plant Food
87,2021-02-03,5647.0,Fertilizers & Plant Food
88,2021-02-04,5647.0,Fertilizers & Plant Food
89,2021-02-05,5647.0,Fertilizers & Plant Food
90,2021-02-06,5647.0,Fertilizers & Plant Food
91,2021-02-07,5647.0,Fertilizers & Plant Food
92,2021-02-08,7951.0,Fertilizers & Plant Food
93,2021-02-09,7951.0,Fertilizers & Plant Food
94,2021-02-10,7951.0,Fertilizers & Plant Food
95,2021-02-11,7951.0,Fertilizers & Plant Food
96,2021-02-12,6421.0,Fertilizers & Plant Food
97,2021-02-13,6421.0,Fertilizers & Plant Food
98,2021-02-14,6421.0,Fertilizers & Plant Food
99,2021-02-15,6421.0,Fertilizers & Plant Food
100,2021-02-16,5608.0,Fertilizers & Plant Food
101,2021-02-17,5608.0,Fertilizers & Plant Food
102,2021-02-18,5608.0,Fertilizers & Plant Food
103,2021-02-19,4865.0,Fertilizers & Plant Food
104,2021-02-20,6362.0,Fertilizers & Plant Food
105,2021-02-21,6362.0,Fertilizers & Plant Food
106,2021-02-22,6362.0,Fertilizers & Plant Food
107,2021-02-23,6362.0,Fertilizers & Plant Food
108,2021-02-24,6362.0,Fertilizers & Plant Food
109,2021-02-25,8340.0,Fertilizers & Plant Food
110,2021-02-26,8340.0,Fertilizers & Plant Food
111,2021-02-27,8340.0,Fertilizers & Plant Food
112,2021-02-28,6483.0,Fertilizers & Plant Food
113,2021-03-01,6483.0,Fertilizers & Plant Food
114,2021-03-02,6483.0,Fertilizers & Plant Food
115,2021-03-03,6483.0,Fertilizers & Plant Food
116,2021-03-04,6770.0,Fertilizers & Plant Food
117,2021-03-05,5475.0,Fertilizers & Plant Food
118,2021-03-06,5829.0,Fertilizers & Plant Food
119,2021-03-07,6090.0,Fertilizers & Plant Food
120,2021-03-08,6190.0,Fertilizers & Plant Food
121,2021-03-09,6190.0,Fertilizers & Plant Food
122,2021-03-10,6190.0,Fertilizers & Plant Food
123,2021-03-11,5762.0,Fertilizers & Plant Food
124,2021-03-12,7049.0,Fertilizers & Plant Food
125,2021-03-13,7049.0,Fertilizers & Plant Food
126,2021-03-14,8654.0,Fertilizers & Plant Food
127,2021-03-15,11001.0,Fertilizers & Plant Food
128,2021-03-16,7702.0,Fertilizers & Plant Food
129,2021-03-17,7702.0,Fertilizers & Plant Food
130,2021-03-18,7702.0,Fertilizers & Plant Food
131,2021-03-19,6267.0,Fertilizers & Plant Food
132,2021-03-20,6267.0,Fertilizers & Plant Food
133,2021-03-21,9860.0,Fertilizers & Plant Food
134,2021-03-22,9860.0,Fertilizers & Plant Food
135,2021-03-23,10035.0,Fertilizers & Plant Food
136,2021-03-24,10035.0,Fertilizers & Plant Food
137,2021-03-25,11410.0,Fertilizers & Plant Food
138,2021-03-26,11410.0,Fertilizers & Plant Food
139,2021-03-27,11410.0,Fertilizers & Plant Food
140,2021-03-28,11410.0,Fertilizers & Plant Food
141,2021-03-29,11410.0,Fertilizers & Plant Food
142,2021-03-30,11410.0,Fertilizers & Plant Food
143,2021-03-31,8996.0,Fertilizers & Plant Food
144,2021-04-01,8996.0,Fertilizers & Plant Food
145,2021-04-02,6509.0,Fertilizers & Plant Food
146,2021-04-03,6509.0,Fertilizers & Plant Food
147,2021-04-04,11147.0,Fertilizers & Plant Food
148,2021-04-05,11147.0,Fertilizers & Plant Food
149,2021-04-06,11222.0,Fertilizers & Plant Food
150,2021-04-07,11222.0,Fertilizers & Plant Food
151,2021-04-08,11551.0,Fertilizers & Plant Food
152,2021-04-09,11551.0,Fertilizers & Plant Food
153,2021-04-10,11551.0,Fertilizers & Plant Food
154,2021-04-11,11551.0,Fertilizers & Plant Food
155,2021-04-12,9892.0,Fertilizers & Plant Food
156,2021-04-13,9892.0,Fertilizers & Plant Food
157,2021-04-14,9892.0,Fertilizers & Plant Food
158,2021-04-15,9238.0,Fertilizers & Plant Food
159,2021-04-16,9238.0,Fertilizers & Plant Food
160,2021-04-17,9238.0,Fertilizers & Plant Food
161,2021-04-18,7965.0,Fertilizers & Plant Food
162,2021-04-19,7383.0,Fertilizers & Plant Food
163,2021-04-20,7383.0,Fertilizers & Plant Food
164,2021-04-21,7557.0,Fertilizers & Plant Food
