,date,value,name_B082Q33W3C
0,2020-02-18,586295.0,Fitted Sheets
1,2020-02-19,586295.0,Fitted Sheets
2,2020-02-20,586295.0,Fitted Sheets
3,2020-02-21,586295.0,Fitted Sheets
4,2020-02-22,586295.0,Fitted Sheets
5,2020-02-23,586295.0,Fitted Sheets
6,2020-02-24,586295.0,Fitted Sheets
7,2020-02-25,586295.0,Fitted Sheets
8,2020-02-26,586295.0,Fitted Sheets
9,2020-02-27,586295.0,Fitted Sheets
10,2020-02-28,635154.0,Fitted Sheets
11,2020-02-29,635154.0,Fitted Sheets
12,2020-03-01,635154.0,Fitted Sheets
13,2020-03-02,635154.0,Fitted Sheets
14,2020-03-03,635154.0,Fitted Sheets
15,2020-03-04,635154.0,Fitted Sheets
16,2020-03-05,635154.0,Fitted Sheets
17,2020-03-06,635154.0,Fitted Sheets
18,2020-03-07,687687.0,Fitted Sheets
19,2020-03-08,687687.0,Fitted Sheets
20,2020-03-09,890627.0,Fitted Sheets
21,2020-03-10,890627.0,Fitted Sheets
22,2020-03-11,1201625.0,Fitted Sheets
23,2020-03-12,1201625.0,Fitted Sheets
24,2020-03-13,1201625.0,Fitted Sheets
25,2020-03-14,274773.0,Fitted Sheets
26,2020-03-15,274773.0,Fitted Sheets
27,2020-03-16,274773.0,Fitted Sheets
28,2020-03-17,274773.0,Fitted Sheets
29,2020-03-18,274773.0,Fitted Sheets
30,2020-03-19,274773.0,Fitted Sheets
31,2020-03-20,274773.0,Fitted Sheets
32,2020-03-21,274773.0,Fitted Sheets
33,2020-03-22,274773.0,Fitted Sheets
34,2020-03-23,274773.0,Fitted Sheets
35,2020-03-24,274773.0,Fitted Sheets
36,2020-03-25,274773.0,Fitted Sheets
37,2020-03-26,274773.0,Fitted Sheets
38,2020-03-27,309710.0,Fitted Sheets
39,2020-03-28,309710.0,Fitted Sheets
40,2020-03-29,309710.0,Fitted Sheets
41,2020-03-30,309710.0,Fitted Sheets
42,2020-03-31,309710.0,Fitted Sheets
43,2020-04-01,309710.0,Fitted Sheets
44,2020-04-02,88524.0,Fitted Sheets
45,2020-04-03,88524.0,Fitted Sheets
46,2020-04-04,88524.0,Fitted Sheets
47,2020-04-05,88524.0,Fitted Sheets
48,2020-04-06,82019.0,Fitted Sheets
49,2020-04-07,82019.0,Fitted Sheets
50,2020-04-08,82019.0,Fitted Sheets
51,2020-04-09,76749.0,Fitted Sheets
52,2020-04-10,76749.0,Fitted Sheets
53,2020-04-11,76749.0,Fitted Sheets
54,2020-04-12,76749.0,Fitted Sheets
55,2020-04-13,51565.0,Fitted Sheets
56,2020-04-14,51565.0,Fitted Sheets
57,2020-04-15,51565.0,Fitted Sheets
58,2020-04-16,51565.0,Fitted Sheets
59,2020-04-17,51565.0,Fitted Sheets
60,2020-04-18,44722.0,Fitted Sheets
61,2020-04-19,44722.0,Fitted Sheets
62,2020-04-20,44722.0,Fitted Sheets
63,2020-04-21,37493.0,Fitted Sheets
64,2020-04-22,37493.0,Fitted Sheets
65,2020-04-23,37493.0,Fitted Sheets
66,2020-04-24,35018.0,Fitted Sheets
67,2020-04-25,35018.0,Fitted Sheets
68,2020-04-26,35018.0,Fitted Sheets
69,2020-04-27,35018.0,Fitted Sheets
70,2020-04-28,35018.0,Fitted Sheets
71,2020-04-29,35018.0,Fitted Sheets
72,2020-04-30,35018.0,Fitted Sheets
73,2020-05-01,19029.0,Fitted Sheets
74,2020-05-02,19029.0,Fitted Sheets
75,2020-05-03,19029.0,Fitted Sheets
76,2020-05-04,19029.0,Fitted Sheets
77,2020-05-05,17450.0,Fitted Sheets
78,2020-05-06,17450.0,Fitted Sheets
79,2020-05-07,17450.0,Fitted Sheets
80,2020-05-08,19710.0,Fitted Sheets
81,2020-05-09,19710.0,Fitted Sheets
82,2020-05-10,19710.0,Fitted Sheets
83,2020-05-11,15202.0,Fitted Sheets
84,2020-05-12,18261.0,Fitted Sheets
85,2020-05-13,18261.0,Fitted Sheets
86,2020-05-14,13855.0,Fitted Sheets
87,2020-05-15,12854.0,Fitted Sheets
88,2020-05-16,12854.0,Fitted Sheets
89,2020-05-17,12366.0,Fitted Sheets
90,2020-05-18,12013.0,Fitted Sheets
91,2020-05-19,12013.0,Fitted Sheets
92,2020-05-20,14083.0,Fitted Sheets
93,2020-05-21,14083.0,Fitted Sheets
94,2020-05-22,10389.0,Fitted Sheets
95,2020-05-23,10389.0,Fitted Sheets
96,2020-05-24,10389.0,Fitted Sheets
97,2020-05-25,7800.0,Fitted Sheets
98,2020-05-26,10402.0,Fitted Sheets
99,2020-05-27,10402.0,Fitted Sheets
100,2020-05-28,15710.0,Fitted Sheets
101,2020-05-29,14552.0,Fitted Sheets
102,2020-05-30,14552.0,Fitted Sheets
103,2020-05-31,13597.0,Fitted Sheets
104,2020-06-01,13597.0,Fitted Sheets
105,2020-06-02,13365.0,Fitted Sheets
106,2020-06-03,13365.0,Fitted Sheets
107,2020-06-04,13365.0,Fitted Sheets
108,2020-06-05,13623.0,Fitted Sheets
109,2020-06-06,13623.0,Fitted Sheets
110,2020-06-07,13623.0,Fitted Sheets
111,2020-06-08,13623.0,Fitted Sheets
112,2020-06-09,10654.0,Fitted Sheets
113,2020-06-10,12605.0,Fitted Sheets
114,2020-06-11,12605.0,Fitted Sheets
115,2020-06-12,12605.0,Fitted Sheets
116,2020-06-13,12605.0,Fitted Sheets
117,2020-06-14,12033.0,Fitted Sheets
118,2020-06-15,12033.0,Fitted Sheets
119,2020-06-16,12033.0,Fitted Sheets
120,2020-06-17,11120.0,Fitted Sheets
121,2020-06-18,11120.0,Fitted Sheets
122,2020-06-19,11120.0,Fitted Sheets
123,2020-06-20,9980.0,Fitted Sheets
124,2020-06-21,10194.0,Fitted Sheets
125,2020-06-22,10194.0,Fitted Sheets
126,2020-06-23,10194.0,Fitted Sheets
127,2020-06-24,11022.0,Fitted Sheets
128,2020-06-25,11022.0,Fitted Sheets
129,2020-06-26,11022.0,Fitted Sheets
130,2020-06-27,8084.0,Fitted Sheets
131,2020-06-28,8471.0,Fitted Sheets
132,2020-06-29,8855.0,Fitted Sheets
133,2020-06-30,8855.0,Fitted Sheets
134,2020-07-01,8855.0,Fitted Sheets
135,2020-07-02,10612.0,Fitted Sheets
136,2020-07-03,10612.0,Fitted Sheets
137,2020-07-04,10612.0,Fitted Sheets
138,2020-07-05,10612.0,Fitted Sheets
139,2020-07-06,9809.0,Fitted Sheets
140,2020-07-07,9809.0,Fitted Sheets
141,2020-07-08,9809.0,Fitted Sheets
142,2020-07-09,12518.0,Fitted Sheets
143,2020-07-10,12518.0,Fitted Sheets
144,2020-07-11,12518.0,Fitted Sheets
145,2020-07-12,13552.0,Fitted Sheets
146,2020-07-13,11126.0,Fitted Sheets
147,2020-07-14,11126.0,Fitted Sheets
148,2020-07-15,15274.0,Fitted Sheets
149,2020-07-16,13307.0,Fitted Sheets
150,2020-07-17,13307.0,Fitted Sheets
151,2020-07-18,13307.0,Fitted Sheets
152,2020-07-19,16626.0,Fitted Sheets
153,2020-07-20,16371.0,Fitted Sheets
154,2020-07-21,16371.0,Fitted Sheets
155,2020-07-22,16371.0,Fitted Sheets
156,2020-07-23,12984.0,Fitted Sheets
157,2020-07-24,14698.0,Fitted Sheets
158,2020-07-25,14698.0,Fitted Sheets
159,2020-07-26,14698.0,Fitted Sheets
160,2020-07-27,8585.0,Fitted Sheets
161,2020-07-28,12552.0,Fitted Sheets
162,2020-07-29,12552.0,Fitted Sheets
163,2020-07-30,12552.0,Fitted Sheets
164,2020-07-31,14573.0,Fitted Sheets
165,2020-08-01,12547.0,Fitted Sheets
166,2020-08-02,12547.0,Fitted Sheets
167,2020-08-03,14452.0,Fitted Sheets
168,2020-08-04,15848.0,Fitted Sheets
169,2020-08-05,15848.0,Fitted Sheets
170,2020-08-06,15848.0,Fitted Sheets
171,2020-08-07,15848.0,Fitted Sheets
172,2020-08-08,15848.0,Fitted Sheets
173,2020-08-09,15848.0,Fitted Sheets
174,2020-08-10,15747.0,Fitted Sheets
175,2020-08-11,15747.0,Fitted Sheets
176,2020-08-12,15747.0,Fitted Sheets
177,2020-08-13,15231.0,Fitted Sheets
178,2020-08-14,15231.0,Fitted Sheets
179,2020-08-15,15231.0,Fitted Sheets
180,2020-08-16,13582.0,Fitted Sheets
181,2020-08-17,13582.0,Fitted Sheets
182,2020-08-18,13330.0,Fitted Sheets
183,2020-08-19,13330.0,Fitted Sheets
184,2020-08-20,13330.0,Fitted Sheets
185,2020-08-21,14774.0,Fitted Sheets
186,2020-08-22,14774.0,Fitted Sheets
187,2020-08-23,14774.0,Fitted Sheets
188,2020-08-24,17313.0,Fitted Sheets
189,2020-08-25,17313.0,Fitted Sheets
190,2020-08-26,17313.0,Fitted Sheets
191,2020-08-27,12249.0,Fitted Sheets
192,2020-08-28,12249.0,Fitted Sheets
193,2020-08-29,12249.0,Fitted Sheets
194,2020-08-30,11234.0,Fitted Sheets
195,2020-08-31,8230.0,Fitted Sheets
196,2020-09-01,8230.0,Fitted Sheets
197,2020-09-02,8230.0,Fitted Sheets
198,2020-09-03,7482.0,Fitted Sheets
