,date,value,name_B08PKZBHQK
0,2020-12-04,371.0,Vest Harnesses
1,2020-12-05,415.0,Vest Harnesses
2,2020-12-06,369.0,Vest Harnesses
3,2020-12-07,438.0,Vest Harnesses
4,2020-12-08,463.0,Vest Harnesses
5,2020-12-09,427.0,Vest Harnesses
6,2020-12-10,404.0,Vest Harnesses
7,2020-12-11,386.0,Vest Harnesses
8,2020-12-12,423.0,Vest Harnesses
9,2020-12-13,423.0,Vest Harnesses
10,2020-12-14,382.0,Vest Harnesses
11,2020-12-15,397.0,Vest Harnesses
12,2020-12-16,413.0,Vest Harnesses
13,2020-12-17,449.0,Vest Harnesses
14,2020-12-18,409.0,Vest Harnesses
15,2020-12-19,382.0,Vest Harnesses
16,2020-12-20,438.0,Vest Harnesses
17,2020-12-21,466.0,Vest Harnesses
18,2020-12-22,317.0,Vest Harnesses
19,2020-12-23,238.0,Vest Harnesses
20,2020-12-24,259.0,Vest Harnesses
21,2020-12-25,259.0,Vest Harnesses
22,2020-12-26,206.0,Vest Harnesses
23,2020-12-27,248.0,Vest Harnesses
24,2020-12-28,227.0,Vest Harnesses
25,2020-12-29,343.0,Vest Harnesses
26,2020-12-30,361.0,Vest Harnesses
27,2020-12-31,396.0,Vest Harnesses
28,2021-01-01,380.0,Vest Harnesses
29,2021-01-02,342.0,Vest Harnesses
30,2021-01-03,381.0,Vest Harnesses
31,2021-01-04,377.0,Vest Harnesses
32,2021-01-05,365.0,Vest Harnesses
33,2021-01-06,395.0,Vest Harnesses
34,2021-01-07,345.0,Vest Harnesses
35,2021-01-08,339.0,Vest Harnesses
36,2021-01-09,329.0,Vest Harnesses
37,2021-01-10,391.0,Vest Harnesses
38,2021-01-11,325.0,Vest Harnesses
39,2021-01-12,327.0,Vest Harnesses
40,2021-01-13,385.0,Vest Harnesses
41,2021-01-14,378.0,Vest Harnesses
42,2021-01-15,400.0,Vest Harnesses
43,2021-01-16,400.0,Vest Harnesses
44,2021-01-17,332.0,Vest Harnesses
45,2021-01-18,343.0,Vest Harnesses
46,2021-01-19,354.0,Vest Harnesses
47,2021-01-20,344.0,Vest Harnesses
48,2021-01-21,314.0,Vest Harnesses
49,2021-01-22,292.0,Vest Harnesses
50,2021-01-23,336.0,Vest Harnesses
51,2021-01-24,339.0,Vest Harnesses
52,2021-01-25,333.0,Vest Harnesses
