,date,value,name_B07NSL512K
0,2019-03-30,9813.0,Hanging Decorative Tiles
1,2019-03-31,9813.0,Hanging Decorative Tiles
2,2019-04-01,7016.0,Hanging Decorative Tiles
3,2019-04-02,7016.0,Hanging Decorative Tiles
4,2019-04-03,6943.0,Hanging Decorative Tiles
5,2019-04-04,5159.0,Hanging Decorative Tiles
6,2019-04-05,5159.0,Hanging Decorative Tiles
7,2019-04-06,4805.0,Hanging Decorative Tiles
8,2019-04-07,3999.0,Hanging Decorative Tiles
9,2019-04-08,3999.0,Hanging Decorative Tiles
10,2019-04-09,4726.0,Hanging Decorative Tiles
11,2019-04-10,4617.0,Hanging Decorative Tiles
12,2019-04-11,3640.0,Hanging Decorative Tiles
13,2019-04-12,3640.0,Hanging Decorative Tiles
14,2019-04-13,4335.0,Hanging Decorative Tiles
15,2019-04-14,2710.0,Hanging Decorative Tiles
16,2019-04-15,2710.0,Hanging Decorative Tiles
17,2019-04-16,4520.0,Hanging Decorative Tiles
18,2019-04-17,5518.0,Hanging Decorative Tiles
19,2019-04-18,11660.0,Hanging Decorative Tiles
20,2019-04-19,7994.0,Hanging Decorative Tiles
21,2019-04-20,3676.0,Hanging Decorative Tiles
22,2019-04-21,5085.0,Hanging Decorative Tiles
23,2019-04-22,6006.0,Hanging Decorative Tiles
24,2019-04-23,5047.0,Hanging Decorative Tiles
25,2019-04-24,4333.0,Hanging Decorative Tiles
26,2019-04-25,4937.0,Hanging Decorative Tiles
27,2019-04-26,6471.0,Hanging Decorative Tiles
28,2019-04-27,5647.0,Hanging Decorative Tiles
29,2019-04-28,5647.0,Hanging Decorative Tiles
30,2019-04-29,6399.0,Hanging Decorative Tiles
31,2019-04-30,7344.0,Hanging Decorative Tiles
32,2019-05-01,8465.0,Hanging Decorative Tiles
33,2019-05-02,8465.0,Hanging Decorative Tiles
34,2019-05-03,8465.0,Hanging Decorative Tiles
35,2019-05-04,8465.0,Hanging Decorative Tiles
36,2019-05-05,6540.0,Hanging Decorative Tiles
37,2019-05-06,6540.0,Hanging Decorative Tiles
38,2019-05-07,9117.0,Hanging Decorative Tiles
39,2019-05-08,10203.0,Hanging Decorative Tiles
40,2019-05-09,7133.0,Hanging Decorative Tiles
41,2019-05-10,7461.0,Hanging Decorative Tiles
42,2019-05-11,6910.0,Hanging Decorative Tiles
