,date,value,name_B08FF2BHRX
0,2020-08-12,10698.0,Detox & Cleanse
1,2020-08-13,10698.0,Detox & Cleanse
2,2020-08-14,10698.0,Detox & Cleanse
3,2020-08-15,10698.0,Detox & Cleanse
4,2020-08-16,10698.0,Detox & Cleanse
5,2020-08-17,11850.0,Detox & Cleanse
6,2020-08-18,11850.0,Detox & Cleanse
7,2020-08-19,12663.0,Detox & Cleanse
8,2020-08-20,12663.0,Detox & Cleanse
9,2020-08-21,12663.0,Detox & Cleanse
10,2020-08-22,12663.0,Detox & Cleanse
11,2020-08-23,12663.0,Detox & Cleanse
12,2020-08-24,12990.0,Detox & Cleanse
13,2020-08-25,12990.0,Detox & Cleanse
14,2020-08-26,12990.0,Detox & Cleanse
15,2020-08-27,13608.0,Detox & Cleanse
16,2020-08-28,13608.0,Detox & Cleanse
17,2020-08-29,13608.0,Detox & Cleanse
18,2020-08-30,13608.0,Detox & Cleanse
19,2020-08-31,10960.0,Detox & Cleanse
20,2020-09-01,10960.0,Detox & Cleanse
21,2020-09-02,10960.0,Detox & Cleanse
22,2020-09-03,10960.0,Detox & Cleanse
23,2020-09-04,12371.0,Detox & Cleanse
24,2020-09-05,12371.0,Detox & Cleanse
25,2020-09-06,12371.0,Detox & Cleanse
26,2020-09-07,15933.0,Detox & Cleanse
27,2020-09-08,15933.0,Detox & Cleanse
28,2020-09-09,12568.0,Detox & Cleanse
29,2020-09-10,12568.0,Detox & Cleanse
30,2020-09-11,14165.0,Detox & Cleanse
31,2020-09-12,14165.0,Detox & Cleanse
32,2020-09-13,14165.0,Detox & Cleanse
33,2020-09-14,12121.0,Detox & Cleanse
34,2020-09-15,12121.0,Detox & Cleanse
35,2020-09-16,12121.0,Detox & Cleanse
36,2020-09-17,12121.0,Detox & Cleanse
37,2020-09-18,9387.0,Detox & Cleanse
38,2020-09-19,12636.0,Detox & Cleanse
39,2020-09-20,12636.0,Detox & Cleanse
40,2020-09-21,12636.0,Detox & Cleanse
41,2020-09-22,9649.0,Detox & Cleanse
42,2020-09-23,11047.0,Detox & Cleanse
43,2020-09-24,11047.0,Detox & Cleanse
44,2020-09-25,11047.0,Detox & Cleanse
45,2020-09-26,12460.0,Detox & Cleanse
46,2020-09-27,12460.0,Detox & Cleanse
47,2020-09-28,12460.0,Detox & Cleanse
48,2020-09-29,12460.0,Detox & Cleanse
49,2020-09-30,11117.0,Detox & Cleanse
50,2020-10-01,11117.0,Detox & Cleanse
51,2020-10-02,10584.0,Detox & Cleanse
52,2020-10-03,10584.0,Detox & Cleanse
53,2020-10-04,10584.0,Detox & Cleanse
54,2020-10-05,12375.0,Detox & Cleanse
55,2020-10-06,12270.0,Detox & Cleanse
56,2020-10-07,12270.0,Detox & Cleanse
57,2020-10-08,12270.0,Detox & Cleanse
58,2020-10-09,12270.0,Detox & Cleanse
59,2020-10-10,14264.0,Detox & Cleanse
60,2020-10-11,14264.0,Detox & Cleanse
61,2020-10-12,14264.0,Detox & Cleanse
62,2020-10-13,14668.0,Detox & Cleanse
63,2020-10-14,14668.0,Detox & Cleanse
64,2020-10-15,14668.0,Detox & Cleanse
65,2020-10-16,14580.0,Detox & Cleanse
66,2020-10-17,14580.0,Detox & Cleanse
67,2020-10-18,14580.0,Detox & Cleanse
68,2020-10-19,16209.0,Detox & Cleanse
69,2020-10-20,14699.0,Detox & Cleanse
70,2020-10-21,14699.0,Detox & Cleanse
71,2020-10-22,14497.0,Detox & Cleanse
72,2020-10-23,14497.0,Detox & Cleanse
73,2020-10-24,14497.0,Detox & Cleanse
74,2020-10-25,19026.0,Detox & Cleanse
75,2020-10-26,19026.0,Detox & Cleanse
76,2020-10-27,13744.0,Detox & Cleanse
77,2020-10-28,13744.0,Detox & Cleanse
78,2020-10-29,13744.0,Detox & Cleanse
79,2020-10-30,17496.0,Detox & Cleanse
80,2020-10-31,15488.0,Detox & Cleanse
81,2020-11-01,15488.0,Detox & Cleanse
82,2020-11-02,15488.0,Detox & Cleanse
83,2020-11-03,15488.0,Detox & Cleanse
