,date,value,name_B07RZH1P7W
0,2021-02-16,11412.0,Vitamins & Dietary Supplements
1,2021-02-17,11412.0,Vitamins & Dietary Supplements
2,2021-02-18,10891.0,Vitamins & Dietary Supplements
3,2021-02-19,9533.0,Vitamins & Dietary Supplements
4,2021-02-20,9533.0,Vitamins & Dietary Supplements
5,2021-02-21,9533.0,Vitamins & Dietary Supplements
6,2021-02-22,11869.0,Vitamins & Dietary Supplements
7,2021-02-23,11869.0,Vitamins & Dietary Supplements
8,2021-02-24,11869.0,Vitamins & Dietary Supplements
9,2021-02-25,12742.0,Vitamins & Dietary Supplements
10,2021-02-26,13061.0,Vitamins & Dietary Supplements
11,2021-02-27,13061.0,Vitamins & Dietary Supplements
12,2021-02-28,13061.0,Vitamins & Dietary Supplements
13,2021-03-01,9881.0,Vitamins & Dietary Supplements
14,2021-03-02,9881.0,Vitamins & Dietary Supplements
15,2021-03-03,11492.0,Vitamins & Dietary Supplements
16,2021-03-04,11492.0,Vitamins & Dietary Supplements
17,2021-03-05,11363.0,Vitamins & Dietary Supplements
18,2021-03-06,10391.0,Vitamins & Dietary Supplements
19,2021-03-07,10391.0,Vitamins & Dietary Supplements
20,2021-03-08,9792.0,Vitamins & Dietary Supplements
21,2021-03-09,10210.0,Vitamins & Dietary Supplements
22,2021-03-10,10210.0,Vitamins & Dietary Supplements
23,2021-03-11,10210.0,Vitamins & Dietary Supplements
24,2021-03-12,12199.0,Vitamins & Dietary Supplements
25,2021-03-13,12199.0,Vitamins & Dietary Supplements
26,2021-03-14,13741.0,Vitamins & Dietary Supplements
27,2021-03-15,12390.0,Vitamins & Dietary Supplements
28,2021-03-16,12390.0,Vitamins & Dietary Supplements
29,2021-03-17,13331.0,Vitamins & Dietary Supplements
30,2021-03-18,13331.0,Vitamins & Dietary Supplements
31,2021-03-19,13331.0,Vitamins & Dietary Supplements
32,2021-03-20,12680.0,Vitamins & Dietary Supplements
33,2021-03-21,11043.0,Vitamins & Dietary Supplements
34,2021-03-22,11043.0,Vitamins & Dietary Supplements
35,2021-03-23,12025.0,Vitamins & Dietary Supplements
36,2021-03-24,12025.0,Vitamins & Dietary Supplements
37,2021-03-25,12025.0,Vitamins & Dietary Supplements
38,2021-03-26,11667.0,Vitamins & Dietary Supplements
39,2021-03-27,11667.0,Vitamins & Dietary Supplements
40,2021-03-28,11667.0,Vitamins & Dietary Supplements
41,2021-03-29,12642.0,Vitamins & Dietary Supplements
42,2021-03-30,11605.0,Vitamins & Dietary Supplements
43,2021-03-31,11274.0,Vitamins & Dietary Supplements
44,2021-04-01,11274.0,Vitamins & Dietary Supplements
45,2021-04-02,11274.0,Vitamins & Dietary Supplements
46,2021-04-03,11303.0,Vitamins & Dietary Supplements
47,2021-04-04,11303.0,Vitamins & Dietary Supplements
48,2021-04-05,11303.0,Vitamins & Dietary Supplements
49,2021-04-06,13093.0,Vitamins & Dietary Supplements
50,2021-04-07,13093.0,Vitamins & Dietary Supplements
51,2021-04-08,12432.0,Vitamins & Dietary Supplements
52,2021-04-09,12698.0,Vitamins & Dietary Supplements
53,2021-04-10,12698.0,Vitamins & Dietary Supplements
54,2021-04-11,13837.0,Vitamins & Dietary Supplements
55,2021-04-12,13837.0,Vitamins & Dietary Supplements
56,2021-04-13,11024.0,Vitamins & Dietary Supplements
57,2021-04-14,11024.0,Vitamins & Dietary Supplements
58,2021-04-15,13179.0,Vitamins & Dietary Supplements
59,2021-04-16,13179.0,Vitamins & Dietary Supplements
60,2021-04-17,13179.0,Vitamins & Dietary Supplements
61,2021-04-18,13275.0,Vitamins & Dietary Supplements
62,2021-04-19,13275.0,Vitamins & Dietary Supplements
63,2021-04-20,12761.0,Vitamins & Dietary Supplements
64,2021-04-21,12761.0,Vitamins & Dietary Supplements
65,2021-04-22,12761.0,Vitamins & Dietary Supplements
66,2021-04-23,13544.0,Vitamins & Dietary Supplements
67,2021-04-24,13544.0,Vitamins & Dietary Supplements
68,2021-04-25,10306.0,Vitamins & Dietary Supplements
69,2021-04-26,10306.0,Vitamins & Dietary Supplements
70,2021-04-27,12719.0,Vitamins & Dietary Supplements
71,2021-04-28,12719.0,Vitamins & Dietary Supplements
72,2021-04-29,12097.0,Vitamins & Dietary Supplements
73,2021-04-30,12097.0,Vitamins & Dietary Supplements
74,2021-05-01,12097.0,Vitamins & Dietary Supplements
75,2021-05-02,13037.0,Vitamins & Dietary Supplements
76,2021-05-03,13037.0,Vitamins & Dietary Supplements
77,2021-05-04,13166.0,Vitamins & Dietary Supplements
78,2021-05-05,13166.0,Vitamins & Dietary Supplements
79,2021-05-06,11359.0,Vitamins & Dietary Supplements
80,2021-05-07,12891.0,Vitamins & Dietary Supplements
81,2021-05-08,12891.0,Vitamins & Dietary Supplements
82,2021-05-09,12891.0,Vitamins & Dietary Supplements
83,2021-05-10,10651.0,Vitamins & Dietary Supplements
84,2021-05-11,10651.0,Vitamins & Dietary Supplements
85,2021-05-12,10755.0,Vitamins & Dietary Supplements
86,2021-05-13,10755.0,Vitamins & Dietary Supplements
87,2021-05-14,12538.0,Vitamins & Dietary Supplements
88,2021-05-15,11523.0,Vitamins & Dietary Supplements
89,2021-05-16,11523.0,Vitamins & Dietary Supplements
90,2021-05-17,11523.0,Vitamins & Dietary Supplements
91,2021-05-18,13686.0,Vitamins & Dietary Supplements
92,2021-05-19,13686.0,Vitamins & Dietary Supplements
93,2021-05-20,13309.0,Vitamins & Dietary Supplements
94,2021-05-21,13615.0,Vitamins & Dietary Supplements
95,2021-05-22,13615.0,Vitamins & Dietary Supplements
96,2021-05-23,14108.0,Vitamins & Dietary Supplements
97,2021-05-24,14108.0,Vitamins & Dietary Supplements
98,2021-05-25,14108.0,Vitamins & Dietary Supplements
99,2021-05-26,13092.0,Vitamins & Dietary Supplements
100,2021-05-27,13092.0,Vitamins & Dietary Supplements
101,2021-05-28,15001.0,Vitamins & Dietary Supplements
102,2021-05-29,15001.0,Vitamins & Dietary Supplements
103,2021-05-30,12528.0,Vitamins & Dietary Supplements
104,2021-05-31,12430.0,Vitamins & Dietary Supplements
105,2021-06-01,12430.0,Vitamins & Dietary Supplements
106,2021-06-02,12497.0,Vitamins & Dietary Supplements
107,2021-06-03,12497.0,Vitamins & Dietary Supplements
108,2021-06-04,12497.0,Vitamins & Dietary Supplements
109,2021-06-05,13444.0,Vitamins & Dietary Supplements
110,2021-06-06,13444.0,Vitamins & Dietary Supplements
111,2021-06-07,12419.0,Vitamins & Dietary Supplements
112,2021-06-08,12419.0,Vitamins & Dietary Supplements
113,2021-06-09,13098.0,Vitamins & Dietary Supplements
114,2021-06-10,13098.0,Vitamins & Dietary Supplements
115,2021-06-11,13098.0,Vitamins & Dietary Supplements
116,2021-06-12,14704.0,Vitamins & Dietary Supplements
117,2021-06-13,14704.0,Vitamins & Dietary Supplements
118,2021-06-14,12827.0,Vitamins & Dietary Supplements
119,2021-06-15,12827.0,Vitamins & Dietary Supplements
120,2021-06-16,12827.0,Vitamins & Dietary Supplements
121,2021-06-17,16305.0,Vitamins & Dietary Supplements
122,2021-06-18,12434.0,Vitamins & Dietary Supplements
123,2021-06-19,13478.0,Vitamins & Dietary Supplements
124,2021-06-20,13478.0,Vitamins & Dietary Supplements
125,2021-06-21,10643.0,Vitamins & Dietary Supplements
126,2021-06-22,15986.0,Vitamins & Dietary Supplements
127,2021-06-23,14202.0,Vitamins & Dietary Supplements
128,2021-06-24,14202.0,Vitamins & Dietary Supplements
129,2021-06-25,12630.0,Vitamins & Dietary Supplements
130,2021-06-26,12630.0,Vitamins & Dietary Supplements
131,2021-06-27,11781.0,Vitamins & Dietary Supplements
132,2021-06-28,11781.0,Vitamins & Dietary Supplements
133,2021-06-29,11988.0,Vitamins & Dietary Supplements
134,2021-06-30,11988.0,Vitamins & Dietary Supplements
135,2021-07-01,13334.0,Vitamins & Dietary Supplements
136,2021-07-02,13334.0,Vitamins & Dietary Supplements
137,2021-07-03,13334.0,Vitamins & Dietary Supplements
138,2021-07-04,15469.0,Vitamins & Dietary Supplements
139,2021-07-05,15469.0,Vitamins & Dietary Supplements
140,2021-07-06,13661.0,Vitamins & Dietary Supplements
141,2021-07-07,15480.0,Vitamins & Dietary Supplements
142,2021-07-08,16142.0,Vitamins & Dietary Supplements
143,2021-07-09,16142.0,Vitamins & Dietary Supplements
144,2021-07-10,17601.0,Vitamins & Dietary Supplements
