,date,value,name_B081XQZ9FJ
0,2019-11-27,118187.0,Sheet & Pillowcase Sets
1,2019-11-28,98440.0,Sheet & Pillowcase Sets
2,2019-11-29,107354.0,Sheet & Pillowcase Sets
3,2019-11-30,59989.0,Sheet & Pillowcase Sets
4,2019-12-01,45612.0,Sheet & Pillowcase Sets
5,2019-12-02,74238.0,Sheet & Pillowcase Sets
6,2019-12-03,48948.0,Sheet & Pillowcase Sets
7,2019-12-04,53801.0,Sheet & Pillowcase Sets
8,2019-12-05,77914.0,Sheet & Pillowcase Sets
9,2019-12-06,56370.0,Sheet & Pillowcase Sets
10,2019-12-07,61290.0,Sheet & Pillowcase Sets
11,2019-12-08,50016.0,Sheet & Pillowcase Sets
12,2019-12-09,44632.0,Sheet & Pillowcase Sets
13,2019-12-10,58866.0,Sheet & Pillowcase Sets
14,2019-12-11,59054.0,Sheet & Pillowcase Sets
15,2019-12-12,60688.0,Sheet & Pillowcase Sets
16,2019-12-13,63462.0,Sheet & Pillowcase Sets
17,2019-12-14,46631.0,Sheet & Pillowcase Sets
18,2019-12-15,48606.0,Sheet & Pillowcase Sets
19,2019-12-16,48606.0,Sheet & Pillowcase Sets
20,2019-12-17,61195.0,Sheet & Pillowcase Sets
21,2019-12-18,61195.0,Sheet & Pillowcase Sets
22,2019-12-19,61195.0,Sheet & Pillowcase Sets
23,2019-12-20,42892.0,Sheet & Pillowcase Sets
24,2019-12-21,59856.0,Sheet & Pillowcase Sets
25,2019-12-22,60060.0,Sheet & Pillowcase Sets
26,2019-12-23,60060.0,Sheet & Pillowcase Sets
27,2019-12-24,60060.0,Sheet & Pillowcase Sets
28,2019-12-25,47584.0,Sheet & Pillowcase Sets
29,2019-12-26,47584.0,Sheet & Pillowcase Sets
30,2019-12-27,47584.0,Sheet & Pillowcase Sets
31,2019-12-28,34501.0,Sheet & Pillowcase Sets
32,2019-12-29,34501.0,Sheet & Pillowcase Sets
33,2019-12-30,34955.0,Sheet & Pillowcase Sets
34,2019-12-31,34955.0,Sheet & Pillowcase Sets
