,date,value,name_B08F7L22LW
0,2020-11-12,39402.0,Sonic
1,2020-11-13,30485.0,Sonic
2,2020-11-14,33409.0,Sonic
3,2020-11-15,45596.0,Sonic
4,2020-11-16,38539.0,Sonic
5,2020-11-17,36508.0,Sonic
6,2020-11-18,26038.0,Sonic
7,2020-11-19,26892.0,Sonic
8,2020-11-20,27962.0,Sonic
9,2020-11-21,23225.0,Sonic
10,2020-11-22,18185.0,Sonic
11,2020-11-23,19874.0,Sonic
12,2020-11-24,15667.0,Sonic
13,2020-11-25,18711.0,Sonic
14,2020-11-26,14176.0,Sonic
15,2020-11-27,8156.0,Sonic
16,2020-11-28,2828.0,Sonic
17,2020-11-29,3992.0,Sonic
18,2020-11-30,4939.0,Sonic
19,2020-12-01,4845.0,Sonic
20,2020-12-02,6765.0,Sonic
21,2020-12-03,7475.0,Sonic
22,2020-12-04,7377.0,Sonic
23,2020-12-05,7614.0,Sonic
24,2020-12-06,7867.0,Sonic
25,2020-12-07,5841.0,Sonic
26,2020-12-08,5530.0,Sonic
27,2020-12-09,5729.0,Sonic
28,2020-12-10,5491.0,Sonic
29,2020-12-11,4464.0,Sonic
30,2020-12-12,4092.0,Sonic
31,2020-12-13,4070.0,Sonic
32,2020-12-14,4336.0,Sonic
33,2020-12-15,5106.0,Sonic
34,2020-12-16,4760.0,Sonic
35,2020-12-17,5102.0,Sonic
36,2020-12-18,4078.0,Sonic
37,2020-12-19,4362.0,Sonic
38,2020-12-20,4749.0,Sonic
39,2020-12-21,4993.0,Sonic
40,2020-12-22,5302.0,Sonic
41,2020-12-23,5579.0,Sonic
42,2020-12-24,7030.0,Sonic
43,2020-12-25,7586.0,Sonic
44,2020-12-26,7822.0,Sonic
45,2020-12-27,6423.0,Sonic
46,2020-12-28,7932.0,Sonic
47,2020-12-29,7634.0,Sonic
48,2020-12-30,7634.0,Sonic
49,2020-12-31,6351.0,Sonic
50,2021-01-01,7694.0,Sonic
51,2021-01-02,7694.0,Sonic
52,2021-01-03,7694.0,Sonic
53,2021-01-04,7201.0,Sonic
54,2021-01-05,6931.0,Sonic
