,date,value,name_B09161N4FR
0,2021-04-01,41627.0,Astaxanthin
1,2021-04-02,30845.0,Astaxanthin
2,2021-04-03,30845.0,Astaxanthin
3,2021-04-04,30845.0,Astaxanthin
4,2021-04-05,32207.0,Astaxanthin
5,2021-04-06,31348.0,Astaxanthin
6,2021-04-07,30308.0,Astaxanthin
7,2021-04-08,30308.0,Astaxanthin
8,2021-04-09,31977.0,Astaxanthin
9,2021-04-10,31977.0,Astaxanthin
10,2021-04-11,31977.0,Astaxanthin
11,2021-04-12,26237.0,Astaxanthin
12,2021-04-13,31488.0,Astaxanthin
13,2021-04-14,38198.0,Astaxanthin
14,2021-04-15,33118.0,Astaxanthin
15,2021-04-16,33118.0,Astaxanthin
16,2021-04-17,33118.0,Astaxanthin
17,2021-04-18,32641.0,Astaxanthin
18,2021-04-19,32641.0,Astaxanthin
19,2021-04-20,30205.0,Astaxanthin
20,2021-04-21,31396.0,Astaxanthin
21,2021-04-22,31396.0,Astaxanthin
22,2021-04-23,27217.0,Astaxanthin
23,2021-04-24,27217.0,Astaxanthin
24,2021-04-25,27217.0,Astaxanthin
25,2021-04-26,39021.0,Astaxanthin
26,2021-04-27,33629.0,Astaxanthin
27,2021-04-28,33629.0,Astaxanthin
28,2021-04-29,26984.0,Astaxanthin
29,2021-04-30,26984.0,Astaxanthin
30,2021-05-01,26984.0,Astaxanthin
31,2021-05-02,30184.0,Astaxanthin
32,2021-05-03,30184.0,Astaxanthin
33,2021-05-04,26872.0,Astaxanthin
34,2021-05-05,26872.0,Astaxanthin
35,2021-05-06,32054.0,Astaxanthin
36,2021-05-07,32054.0,Astaxanthin
37,2021-05-08,26944.0,Astaxanthin
38,2021-05-09,26271.0,Astaxanthin
39,2021-05-10,33306.0,Astaxanthin
40,2021-05-11,33306.0,Astaxanthin
41,2021-05-12,34212.0,Astaxanthin
42,2021-05-13,34212.0,Astaxanthin
43,2021-05-14,36040.0,Astaxanthin
44,2021-05-15,36040.0,Astaxanthin
45,2021-05-16,36040.0,Astaxanthin
46,2021-05-17,23351.0,Astaxanthin
47,2021-05-18,23351.0,Astaxanthin
48,2021-05-19,28099.0,Astaxanthin
49,2021-05-20,26311.0,Astaxanthin
50,2021-05-21,25199.0,Astaxanthin
51,2021-05-22,25199.0,Astaxanthin
52,2021-05-23,28800.0,Astaxanthin
53,2021-05-24,22945.0,Astaxanthin
54,2021-05-25,22945.0,Astaxanthin
55,2021-05-26,22945.0,Astaxanthin
56,2021-05-27,30282.0,Astaxanthin
57,2021-05-28,30282.0,Astaxanthin
58,2021-05-29,32069.0,Astaxanthin
59,2021-05-30,32069.0,Astaxanthin
60,2021-05-31,32069.0,Astaxanthin
61,2021-06-01,36446.0,Astaxanthin
62,2021-06-02,34052.0,Astaxanthin
63,2021-06-03,30953.0,Astaxanthin
64,2021-06-04,30953.0,Astaxanthin
65,2021-06-05,41840.0,Astaxanthin
66,2021-06-06,41840.0,Astaxanthin
67,2021-06-07,26502.0,Astaxanthin
68,2021-06-08,26502.0,Astaxanthin
69,2021-06-09,26502.0,Astaxanthin
70,2021-06-10,38425.0,Astaxanthin
71,2021-06-11,38425.0,Astaxanthin
72,2021-06-12,38425.0,Astaxanthin
73,2021-06-13,38425.0,Astaxanthin
74,2021-06-14,34152.0,Astaxanthin
75,2021-06-15,34152.0,Astaxanthin
76,2021-06-16,49848.0,Astaxanthin
77,2021-06-17,49848.0,Astaxanthin
78,2021-06-18,49848.0,Astaxanthin
79,2021-06-19,37411.0,Astaxanthin
80,2021-06-20,37411.0,Astaxanthin
81,2021-06-21,29732.0,Astaxanthin
82,2021-06-22,36391.0,Astaxanthin
83,2021-06-23,36391.0,Astaxanthin
84,2021-06-24,36391.0,Astaxanthin
85,2021-06-25,36391.0,Astaxanthin
86,2021-06-26,29288.0,Astaxanthin
87,2021-06-27,32465.0,Astaxanthin
88,2021-06-28,32465.0,Astaxanthin
89,2021-06-29,32465.0,Astaxanthin
90,2021-06-30,33698.0,Astaxanthin
91,2021-07-01,33698.0,Astaxanthin
92,2021-07-02,33698.0,Astaxanthin
93,2021-07-03,37237.0,Astaxanthin
94,2021-07-04,37237.0,Astaxanthin
95,2021-07-05,30458.0,Astaxanthin
96,2021-07-06,30458.0,Astaxanthin
97,2021-07-07,30458.0,Astaxanthin
98,2021-07-08,35417.0,Astaxanthin
99,2021-07-09,35417.0,Astaxanthin
100,2021-07-10,40922.0,Astaxanthin
