,date,value,name_B08J8DB19D
0,2020-09-18,3830.0,Kitchen Linen Sets
1,2020-09-19,3830.0,Kitchen Linen Sets
2,2020-09-20,4512.0,Kitchen Linen Sets
3,2020-09-21,4512.0,Kitchen Linen Sets
4,2020-09-22,4040.0,Kitchen Linen Sets
5,2020-09-23,4040.0,Kitchen Linen Sets
6,2020-09-24,4040.0,Kitchen Linen Sets
7,2020-09-25,3587.0,Kitchen Linen Sets
8,2020-09-26,3587.0,Kitchen Linen Sets
9,2020-09-27,3587.0,Kitchen Linen Sets
10,2020-09-28,11966.0,Kitchen Linen Sets
11,2020-09-29,11329.0,Kitchen Linen Sets
12,2020-09-30,11329.0,Kitchen Linen Sets
13,2020-10-01,11329.0,Kitchen Linen Sets
14,2020-10-02,11329.0,Kitchen Linen Sets
15,2020-10-03,11329.0,Kitchen Linen Sets
16,2020-10-04,25288.0,Kitchen Linen Sets
17,2020-10-05,25288.0,Kitchen Linen Sets
18,2020-10-06,25288.0,Kitchen Linen Sets
19,2020-10-07,11881.0,Kitchen Linen Sets
20,2020-10-08,13471.0,Kitchen Linen Sets
21,2020-10-09,13471.0,Kitchen Linen Sets
22,2020-10-10,17270.0,Kitchen Linen Sets
23,2020-10-11,17270.0,Kitchen Linen Sets
24,2020-10-12,17962.0,Kitchen Linen Sets
25,2020-10-13,10313.0,Kitchen Linen Sets
26,2020-10-14,10313.0,Kitchen Linen Sets
27,2020-10-15,13762.0,Kitchen Linen Sets
28,2020-10-16,13762.0,Kitchen Linen Sets
29,2020-10-17,12949.0,Kitchen Linen Sets
30,2020-10-18,7532.0,Kitchen Linen Sets
31,2020-10-19,7532.0,Kitchen Linen Sets
32,2020-10-20,7532.0,Kitchen Linen Sets
33,2020-10-21,7344.0,Kitchen Linen Sets
34,2020-10-22,6122.0,Kitchen Linen Sets
35,2020-10-23,6122.0,Kitchen Linen Sets
36,2020-10-24,5955.0,Kitchen Linen Sets
37,2020-10-25,5355.0,Kitchen Linen Sets
38,2020-10-26,6006.0,Kitchen Linen Sets
39,2020-10-27,6006.0,Kitchen Linen Sets
40,2020-10-28,6006.0,Kitchen Linen Sets
41,2020-10-29,4647.0,Kitchen Linen Sets
42,2020-10-30,5773.0,Kitchen Linen Sets
43,2020-10-31,5309.0,Kitchen Linen Sets
44,2020-11-01,5309.0,Kitchen Linen Sets
45,2020-11-02,5146.0,Kitchen Linen Sets
46,2020-11-03,5245.0,Kitchen Linen Sets
47,2020-11-04,4971.0,Kitchen Linen Sets
48,2020-11-05,4971.0,Kitchen Linen Sets
49,2020-11-06,4971.0,Kitchen Linen Sets
50,2020-11-07,3039.0,Kitchen Linen Sets
51,2020-11-08,3039.0,Kitchen Linen Sets
52,2020-11-09,3039.0,Kitchen Linen Sets
53,2020-11-10,2538.0,Kitchen Linen Sets
54,2020-11-11,3013.0,Kitchen Linen Sets
55,2020-11-12,2495.0,Kitchen Linen Sets
56,2020-11-13,2621.0,Kitchen Linen Sets
57,2020-11-14,2468.0,Kitchen Linen Sets
58,2020-11-15,2468.0,Kitchen Linen Sets
59,2020-11-16,2468.0,Kitchen Linen Sets
60,2020-11-17,2859.0,Kitchen Linen Sets
61,2020-11-18,2859.0,Kitchen Linen Sets
62,2020-11-19,3935.0,Kitchen Linen Sets
63,2020-11-20,5103.0,Kitchen Linen Sets
64,2020-11-21,5103.0,Kitchen Linen Sets
65,2020-11-22,4660.0,Kitchen Linen Sets
66,2020-11-23,4660.0,Kitchen Linen Sets
67,2020-11-24,3990.0,Kitchen Linen Sets
68,2020-11-25,4403.0,Kitchen Linen Sets
69,2020-11-26,3647.0,Kitchen Linen Sets
70,2020-11-27,2674.0,Kitchen Linen Sets
71,2020-11-28,2674.0,Kitchen Linen Sets
72,2020-11-29,2674.0,Kitchen Linen Sets
73,2020-11-30,4735.0,Kitchen Linen Sets
74,2020-12-01,5115.0,Kitchen Linen Sets
75,2020-12-02,5115.0,Kitchen Linen Sets
76,2020-12-03,5115.0,Kitchen Linen Sets
77,2020-12-04,5115.0,Kitchen Linen Sets
78,2020-12-05,7661.0,Kitchen Linen Sets
