,date,value,name_B08XJJ9FQM
0,2021-03-29,33009.0,Personal Video Players & Accessories
1,2021-03-30,33009.0,Personal Video Players & Accessories
2,2021-03-31,33009.0,Personal Video Players & Accessories
3,2021-04-01,43891.0,Personal Video Players & Accessories
4,2021-04-02,43891.0,Personal Video Players & Accessories
5,2021-04-03,43891.0,Personal Video Players & Accessories
6,2021-04-04,43891.0,Personal Video Players & Accessories
7,2021-04-05,43891.0,Personal Video Players & Accessories
8,2021-04-06,43891.0,Personal Video Players & Accessories
9,2021-04-07,36281.0,Personal Video Players & Accessories
10,2021-04-08,36281.0,Personal Video Players & Accessories
11,2021-04-09,36281.0,Personal Video Players & Accessories
12,2021-04-10,36813.0,Personal Video Players & Accessories
13,2021-04-11,36813.0,Personal Video Players & Accessories
14,2021-04-12,36813.0,Personal Video Players & Accessories
15,2021-04-13,27183.0,Personal Video Players & Accessories
16,2021-04-14,27183.0,Personal Video Players & Accessories
17,2021-04-15,31493.0,Personal Video Players & Accessories
18,2021-04-16,31493.0,Personal Video Players & Accessories
19,2021-04-17,31493.0,Personal Video Players & Accessories
20,2021-04-18,31493.0,Personal Video Players & Accessories
21,2021-04-19,15351.0,Personal Video Players & Accessories
22,2021-04-20,15351.0,Personal Video Players & Accessories
23,2021-04-21,23261.0,Personal Video Players & Accessories
24,2021-04-22,23261.0,Personal Video Players & Accessories
25,2021-04-23,23261.0,Personal Video Players & Accessories
26,2021-04-24,23261.0,Personal Video Players & Accessories
27,2021-04-25,23261.0,Personal Video Players & Accessories
28,2021-04-26,15115.0,Personal Video Players & Accessories
29,2021-04-27,10550.0,Personal Video Players & Accessories
30,2021-04-28,10550.0,Personal Video Players & Accessories
31,2021-04-29,16595.0,Personal Video Players & Accessories
32,2021-04-30,13030.0,Personal Video Players & Accessories
33,2021-05-01,13030.0,Personal Video Players & Accessories
34,2021-05-02,14692.0,Personal Video Players & Accessories
35,2021-05-03,14692.0,Personal Video Players & Accessories
36,2021-05-04,14692.0,Personal Video Players & Accessories
37,2021-05-05,14692.0,Personal Video Players & Accessories
38,2021-05-06,21529.0,Personal Video Players & Accessories
39,2021-05-07,28256.0,Personal Video Players & Accessories
40,2021-05-08,14799.0,Personal Video Players & Accessories
41,2021-05-09,16693.0,Personal Video Players & Accessories
42,2021-05-10,16693.0,Personal Video Players & Accessories
43,2021-05-11,16693.0,Personal Video Players & Accessories
44,2021-05-12,9763.0,Personal Video Players & Accessories
45,2021-05-13,9763.0,Personal Video Players & Accessories
46,2021-05-14,9763.0,Personal Video Players & Accessories
47,2021-05-15,16538.0,Personal Video Players & Accessories
48,2021-05-16,16538.0,Personal Video Players & Accessories
49,2021-05-17,23334.0,Personal Video Players & Accessories
50,2021-05-18,23334.0,Personal Video Players & Accessories
51,2021-05-19,23334.0,Personal Video Players & Accessories
52,2021-05-20,14098.0,Personal Video Players & Accessories
53,2021-05-21,14098.0,Personal Video Players & Accessories
54,2021-05-22,14589.0,Personal Video Players & Accessories
55,2021-05-23,14589.0,Personal Video Players & Accessories
56,2021-05-24,14589.0,Personal Video Players & Accessories
57,2021-05-25,9056.0,Personal Video Players & Accessories
58,2021-05-26,9056.0,Personal Video Players & Accessories
59,2021-05-27,9674.0,Personal Video Players & Accessories
60,2021-05-28,11179.0,Personal Video Players & Accessories
61,2021-05-29,9881.0,Personal Video Players & Accessories
62,2021-05-30,9881.0,Personal Video Players & Accessories
63,2021-05-31,9881.0,Personal Video Players & Accessories
64,2021-06-01,10345.0,Personal Video Players & Accessories
65,2021-06-02,10345.0,Personal Video Players & Accessories
66,2021-06-03,9030.0,Personal Video Players & Accessories
67,2021-06-04,9030.0,Personal Video Players & Accessories
68,2021-06-05,6206.0,Personal Video Players & Accessories
69,2021-06-06,7155.0,Personal Video Players & Accessories
70,2021-06-07,7155.0,Personal Video Players & Accessories
71,2021-06-08,7155.0,Personal Video Players & Accessories
72,2021-06-09,5702.0,Personal Video Players & Accessories
73,2021-06-10,5702.0,Personal Video Players & Accessories
74,2021-06-11,6939.0,Personal Video Players & Accessories
75,2021-06-12,6939.0,Personal Video Players & Accessories
76,2021-06-13,6939.0,Personal Video Players & Accessories
77,2021-06-14,8124.0,Personal Video Players & Accessories
78,2021-06-15,8124.0,Personal Video Players & Accessories
79,2021-06-16,11749.0,Personal Video Players & Accessories
80,2021-06-17,11749.0,Personal Video Players & Accessories
81,2021-06-18,15791.0,Personal Video Players & Accessories
82,2021-06-19,15791.0,Personal Video Players & Accessories
83,2021-06-20,15791.0,Personal Video Players & Accessories
84,2021-06-21,37326.0,Personal Video Players & Accessories
85,2021-06-22,84741.0,Personal Video Players & Accessories
86,2021-06-23,84741.0,Personal Video Players & Accessories
87,2021-06-24,84741.0,Personal Video Players & Accessories
88,2021-06-25,84741.0,Personal Video Players & Accessories
89,2021-06-26,84741.0,Personal Video Players & Accessories
90,2021-06-27,84741.0,Personal Video Players & Accessories
91,2021-06-28,104626.0,Personal Video Players & Accessories
92,2021-06-29,39553.0,Personal Video Players & Accessories
93,2021-06-30,39553.0,Personal Video Players & Accessories
94,2021-07-01,22600.0,Personal Video Players & Accessories
95,2021-07-02,24397.0,Personal Video Players & Accessories
96,2021-07-03,24397.0,Personal Video Players & Accessories
97,2021-07-04,24397.0,Personal Video Players & Accessories
98,2021-07-05,18463.0,Personal Video Players & Accessories
99,2021-07-06,18463.0,Personal Video Players & Accessories
100,2021-07-07,18463.0,Personal Video Players & Accessories
101,2021-07-08,12512.0,Personal Video Players & Accessories
102,2021-07-09,12088.0,Personal Video Players & Accessories
