,date,value,name_B081XG7BV1
0,2019-11-28,32396.0,Rice Cookers
1,2019-11-29,16253.0,Rice Cookers
2,2019-11-30,16253.0,Rice Cookers
3,2019-12-01,19891.0,Rice Cookers
4,2019-12-02,23211.0,Rice Cookers
5,2019-12-03,22159.0,Rice Cookers
6,2019-12-04,22159.0,Rice Cookers
7,2019-12-05,27750.0,Rice Cookers
8,2019-12-06,30070.0,Rice Cookers
9,2019-12-07,28732.0,Rice Cookers
10,2019-12-08,27620.0,Rice Cookers
11,2019-12-09,26096.0,Rice Cookers
12,2019-12-10,24622.0,Rice Cookers
13,2019-12-11,24622.0,Rice Cookers
14,2019-12-12,32359.0,Rice Cookers
15,2019-12-13,32359.0,Rice Cookers
16,2019-12-14,32359.0,Rice Cookers
17,2019-12-15,32651.0,Rice Cookers
18,2019-12-16,32651.0,Rice Cookers
19,2019-12-17,32651.0,Rice Cookers
20,2019-12-18,32651.0,Rice Cookers
21,2019-12-19,28524.0,Rice Cookers
22,2019-12-20,28524.0,Rice Cookers
23,2019-12-21,28524.0,Rice Cookers
24,2019-12-22,28993.0,Rice Cookers
25,2019-12-23,28993.0,Rice Cookers
26,2019-12-24,28993.0,Rice Cookers
27,2019-12-25,28993.0,Rice Cookers
28,2019-12-26,23096.0,Rice Cookers
29,2019-12-27,23096.0,Rice Cookers
30,2019-12-28,23096.0,Rice Cookers
31,2019-12-29,23096.0,Rice Cookers
32,2019-12-30,23096.0,Rice Cookers
33,2019-12-31,16336.0,Rice Cookers
34,2020-01-01,16336.0,Rice Cookers
35,2020-01-02,16336.0,Rice Cookers
36,2020-01-03,16336.0,Rice Cookers
37,2020-01-04,16336.0,Rice Cookers
38,2020-01-05,15059.0,Rice Cookers
39,2020-01-06,21629.0,Rice Cookers
40,2020-01-07,21629.0,Rice Cookers
41,2020-01-08,21629.0,Rice Cookers
42,2020-01-09,21629.0,Rice Cookers
43,2020-01-10,21629.0,Rice Cookers
44,2020-01-11,21629.0,Rice Cookers
45,2020-01-12,21629.0,Rice Cookers
46,2020-01-13,21629.0,Rice Cookers
47,2020-01-14,12010.0,Rice Cookers
48,2020-01-15,12010.0,Rice Cookers
49,2020-01-16,12010.0,Rice Cookers
50,2020-01-17,12010.0,Rice Cookers
51,2020-01-18,12010.0,Rice Cookers
52,2020-01-19,12010.0,Rice Cookers
53,2020-01-20,12010.0,Rice Cookers
54,2020-01-21,12010.0,Rice Cookers
55,2020-01-22,12010.0,Rice Cookers
56,2020-01-23,12010.0,Rice Cookers
57,2020-01-24,11221.0,Rice Cookers
58,2020-01-25,11221.0,Rice Cookers
59,2020-01-26,11221.0,Rice Cookers
60,2020-01-27,11221.0,Rice Cookers
61,2020-01-28,11221.0,Rice Cookers
62,2020-01-29,11221.0,Rice Cookers
63,2020-01-30,11221.0,Rice Cookers
64,2020-01-31,11221.0,Rice Cookers
65,2020-02-01,11221.0,Rice Cookers
66,2020-02-02,11221.0,Rice Cookers
67,2020-02-03,11221.0,Rice Cookers
68,2020-02-04,16196.0,Rice Cookers
69,2020-02-05,14563.0,Rice Cookers
70,2020-02-06,16684.0,Rice Cookers
71,2020-02-07,16684.0,Rice Cookers
72,2020-02-08,16684.0,Rice Cookers
73,2020-02-09,16684.0,Rice Cookers
74,2020-02-10,16684.0,Rice Cookers
75,2020-02-11,14413.0,Rice Cookers
76,2020-02-12,14413.0,Rice Cookers
77,2020-02-13,14413.0,Rice Cookers
78,2020-02-14,14413.0,Rice Cookers
79,2020-02-15,13505.0,Rice Cookers
80,2020-02-16,13505.0,Rice Cookers
81,2020-02-17,13505.0,Rice Cookers
82,2020-02-18,13505.0,Rice Cookers
83,2020-02-19,10160.0,Rice Cookers
84,2020-02-20,10160.0,Rice Cookers
85,2020-02-21,10160.0,Rice Cookers
86,2020-02-22,15153.0,Rice Cookers
87,2020-02-23,15153.0,Rice Cookers
88,2020-02-24,15153.0,Rice Cookers
89,2020-02-25,15153.0,Rice Cookers
90,2020-02-26,15153.0,Rice Cookers
91,2020-02-27,11371.0,Rice Cookers
92,2020-02-28,11371.0,Rice Cookers
93,2020-02-29,11371.0,Rice Cookers
94,2020-03-01,11371.0,Rice Cookers
95,2020-03-02,11371.0,Rice Cookers
96,2020-03-03,12915.0,Rice Cookers
97,2020-03-04,12461.0,Rice Cookers
98,2020-03-05,12461.0,Rice Cookers
99,2020-03-06,12461.0,Rice Cookers
100,2020-03-07,12461.0,Rice Cookers
101,2020-03-08,12461.0,Rice Cookers
102,2020-03-09,12461.0,Rice Cookers
103,2020-03-10,12461.0,Rice Cookers
104,2020-03-11,12461.0,Rice Cookers
105,2020-03-12,12461.0,Rice Cookers
106,2020-03-13,12461.0,Rice Cookers
107,2020-03-14,12461.0,Rice Cookers
108,2020-03-15,12461.0,Rice Cookers
109,2020-03-16,12461.0,Rice Cookers
110,2020-03-17,12461.0,Rice Cookers
111,2020-03-18,-1.0,Rice Cookers
