,date,value,name_B091YYHMJ6
0,2021-04-17,8762.0,Odor & Stain Removers
1,2021-04-18,8762.0,Odor & Stain Removers
2,2021-04-19,9108.0,Odor & Stain Removers
3,2021-04-20,9501.0,Odor & Stain Removers
4,2021-04-21,9501.0,Odor & Stain Removers
5,2021-04-22,9501.0,Odor & Stain Removers
6,2021-04-23,10988.0,Odor & Stain Removers
7,2021-04-24,10988.0,Odor & Stain Removers
8,2021-04-25,11519.0,Odor & Stain Removers
9,2021-04-26,8616.0,Odor & Stain Removers
10,2021-04-27,11014.0,Odor & Stain Removers
11,2021-04-28,11014.0,Odor & Stain Removers
12,2021-04-29,11014.0,Odor & Stain Removers
13,2021-04-30,7331.0,Odor & Stain Removers
14,2021-05-01,7331.0,Odor & Stain Removers
15,2021-05-02,7331.0,Odor & Stain Removers
16,2021-05-03,9328.0,Odor & Stain Removers
17,2021-05-04,8542.0,Odor & Stain Removers
18,2021-05-05,7040.0,Odor & Stain Removers
19,2021-05-06,7040.0,Odor & Stain Removers
20,2021-05-07,8096.0,Odor & Stain Removers
21,2021-05-08,8096.0,Odor & Stain Removers
22,2021-05-09,6720.0,Odor & Stain Removers
23,2021-05-10,6720.0,Odor & Stain Removers
24,2021-05-11,6502.0,Odor & Stain Removers
25,2021-05-12,6502.0,Odor & Stain Removers
26,2021-05-13,6502.0,Odor & Stain Removers
27,2021-05-14,7291.0,Odor & Stain Removers
28,2021-05-15,7291.0,Odor & Stain Removers
29,2021-05-16,6344.0,Odor & Stain Removers
30,2021-05-17,5357.0,Odor & Stain Removers
31,2021-05-18,5357.0,Odor & Stain Removers
32,2021-05-19,5173.0,Odor & Stain Removers
33,2021-05-20,5043.0,Odor & Stain Removers
34,2021-05-21,5043.0,Odor & Stain Removers
35,2021-05-22,4745.0,Odor & Stain Removers
36,2021-05-23,4745.0,Odor & Stain Removers
37,2021-05-24,5723.0,Odor & Stain Removers
38,2021-05-25,4883.0,Odor & Stain Removers
39,2021-05-26,4526.0,Odor & Stain Removers
40,2021-05-27,4526.0,Odor & Stain Removers
41,2021-05-28,4443.0,Odor & Stain Removers
42,2021-05-29,5232.0,Odor & Stain Removers
43,2021-05-30,5232.0,Odor & Stain Removers
44,2021-05-31,5232.0,Odor & Stain Removers
45,2021-06-01,5396.0,Odor & Stain Removers
46,2021-06-02,4895.0,Odor & Stain Removers
47,2021-06-03,4471.0,Odor & Stain Removers
48,2021-06-04,4471.0,Odor & Stain Removers
49,2021-06-05,3888.0,Odor & Stain Removers
50,2021-06-06,3888.0,Odor & Stain Removers
51,2021-06-07,3137.0,Odor & Stain Removers
52,2021-06-08,2647.0,Odor & Stain Removers
53,2021-06-09,2647.0,Odor & Stain Removers
54,2021-06-10,3312.0,Odor & Stain Removers
55,2021-06-11,3312.0,Odor & Stain Removers
56,2021-06-12,3389.0,Odor & Stain Removers
57,2021-06-13,3389.0,Odor & Stain Removers
58,2021-06-14,2621.0,Odor & Stain Removers
59,2021-06-15,2621.0,Odor & Stain Removers
60,2021-06-16,2832.0,Odor & Stain Removers
61,2021-06-17,2832.0,Odor & Stain Removers
62,2021-06-18,2832.0,Odor & Stain Removers
63,2021-06-19,2744.0,Odor & Stain Removers
64,2021-06-20,2744.0,Odor & Stain Removers
65,2021-06-21,3040.0,Odor & Stain Removers
66,2021-06-22,3796.0,Odor & Stain Removers
67,2021-06-23,3796.0,Odor & Stain Removers
68,2021-06-24,3973.0,Odor & Stain Removers
69,2021-06-25,3973.0,Odor & Stain Removers
70,2021-06-26,3973.0,Odor & Stain Removers
71,2021-06-27,3553.0,Odor & Stain Removers
72,2021-06-28,3553.0,Odor & Stain Removers
73,2021-06-29,5291.0,Odor & Stain Removers
74,2021-06-30,5434.0,Odor & Stain Removers
75,2021-07-01,5434.0,Odor & Stain Removers
76,2021-07-02,5654.0,Odor & Stain Removers
77,2021-07-03,5654.0,Odor & Stain Removers
78,2021-07-04,5654.0,Odor & Stain Removers
79,2021-07-05,3757.0,Odor & Stain Removers
80,2021-07-06,3757.0,Odor & Stain Removers
81,2021-07-07,4045.0,Odor & Stain Removers
82,2021-07-08,4045.0,Odor & Stain Removers
83,2021-07-09,4881.0,Odor & Stain Removers
84,2021-07-10,4881.0,Odor & Stain Removers
85,2021-07-11,6023.0,Odor & Stain Removers
