,date,value,name_B071K4ZR9M
0,2020-06-02,3712.0,Adhesive Vinyl
1,2020-06-03,3712.0,Adhesive Vinyl
2,2020-06-04,3712.0,Adhesive Vinyl
3,2020-06-05,5688.0,Adhesive Vinyl
4,2020-06-06,5688.0,Adhesive Vinyl
5,2020-06-07,5688.0,Adhesive Vinyl
6,2020-06-08,5688.0,Adhesive Vinyl
7,2020-06-09,5688.0,Adhesive Vinyl
8,2020-06-10,4275.0,Adhesive Vinyl
9,2020-06-11,4275.0,Adhesive Vinyl
10,2020-06-12,4275.0,Adhesive Vinyl
11,2020-06-13,3120.0,Adhesive Vinyl
12,2020-06-14,3120.0,Adhesive Vinyl
13,2020-06-15,3120.0,Adhesive Vinyl
14,2020-06-16,2669.0,Adhesive Vinyl
15,2020-06-17,2669.0,Adhesive Vinyl
16,2020-06-18,2344.0,Adhesive Vinyl
17,2020-06-19,2344.0,Adhesive Vinyl
18,2020-06-20,2344.0,Adhesive Vinyl
19,2020-06-21,4893.0,Adhesive Vinyl
20,2020-06-22,4893.0,Adhesive Vinyl
21,2020-06-23,4893.0,Adhesive Vinyl
22,2020-06-24,3108.0,Adhesive Vinyl
23,2020-06-25,3108.0,Adhesive Vinyl
24,2020-06-26,3108.0,Adhesive Vinyl
25,2020-06-27,3904.0,Adhesive Vinyl
26,2020-06-28,3904.0,Adhesive Vinyl
27,2020-06-29,3120.0,Adhesive Vinyl
28,2020-06-30,3120.0,Adhesive Vinyl
29,2020-07-01,3120.0,Adhesive Vinyl
30,2020-07-02,5515.0,Adhesive Vinyl
31,2020-07-03,5515.0,Adhesive Vinyl
32,2020-07-04,5515.0,Adhesive Vinyl
33,2020-07-05,5751.0,Adhesive Vinyl
34,2020-07-06,5751.0,Adhesive Vinyl
35,2020-07-07,5751.0,Adhesive Vinyl
36,2020-07-08,5751.0,Adhesive Vinyl
37,2020-07-09,5751.0,Adhesive Vinyl
38,2020-07-10,5751.0,Adhesive Vinyl
39,2020-07-11,7388.0,Adhesive Vinyl
40,2020-07-12,10370.0,Adhesive Vinyl
41,2020-07-13,10190.0,Adhesive Vinyl
42,2020-07-14,10190.0,Adhesive Vinyl
43,2020-07-15,10190.0,Adhesive Vinyl
44,2020-07-16,8119.0,Adhesive Vinyl
45,2020-07-17,8119.0,Adhesive Vinyl
46,2020-07-18,8119.0,Adhesive Vinyl
47,2020-07-19,8119.0,Adhesive Vinyl
48,2020-07-20,6467.0,Adhesive Vinyl
49,2020-07-21,6467.0,Adhesive Vinyl
50,2020-07-22,6467.0,Adhesive Vinyl
51,2020-07-23,6467.0,Adhesive Vinyl
52,2020-07-24,6467.0,Adhesive Vinyl
53,2020-07-25,5534.0,Adhesive Vinyl
54,2020-07-26,5534.0,Adhesive Vinyl
55,2020-07-27,5534.0,Adhesive Vinyl
56,2020-07-28,4282.0,Adhesive Vinyl
57,2020-07-29,4282.0,Adhesive Vinyl
58,2020-07-30,4282.0,Adhesive Vinyl
59,2020-07-31,3925.0,Adhesive Vinyl
60,2020-08-01,3925.0,Adhesive Vinyl
61,2020-08-02,3925.0,Adhesive Vinyl
62,2020-08-03,4211.0,Adhesive Vinyl
63,2020-08-04,4211.0,Adhesive Vinyl
64,2020-08-05,4211.0,Adhesive Vinyl
65,2020-08-06,5053.0,Adhesive Vinyl
66,2020-08-07,5053.0,Adhesive Vinyl
67,2020-08-08,5053.0,Adhesive Vinyl
68,2020-08-09,3092.0,Adhesive Vinyl
69,2020-08-10,3092.0,Adhesive Vinyl
70,2020-08-11,3092.0,Adhesive Vinyl
71,2020-08-12,3092.0,Adhesive Vinyl
72,2020-08-13,4486.0,Adhesive Vinyl
73,2020-08-14,4486.0,Adhesive Vinyl
74,2020-08-15,4486.0,Adhesive Vinyl
75,2020-08-16,3369.0,Adhesive Vinyl
76,2020-08-17,3369.0,Adhesive Vinyl
77,2020-08-18,3369.0,Adhesive Vinyl
78,2020-08-19,4160.0,Adhesive Vinyl
79,2020-08-20,4160.0,Adhesive Vinyl
80,2020-08-21,4160.0,Adhesive Vinyl
81,2020-08-22,5129.0,Adhesive Vinyl
82,2020-08-23,5129.0,Adhesive Vinyl
83,2020-08-24,5129.0,Adhesive Vinyl
84,2020-08-25,5330.0,Adhesive Vinyl
85,2020-08-26,5330.0,Adhesive Vinyl
86,2020-08-27,5330.0,Adhesive Vinyl
87,2020-08-28,4082.0,Adhesive Vinyl
88,2020-08-29,4082.0,Adhesive Vinyl
89,2020-08-30,4082.0,Adhesive Vinyl
90,2020-08-31,5587.0,Adhesive Vinyl
91,2020-09-01,5587.0,Adhesive Vinyl
92,2020-09-02,5587.0,Adhesive Vinyl
93,2020-09-03,3863.0,Adhesive Vinyl
94,2020-09-04,3863.0,Adhesive Vinyl
95,2020-09-05,3863.0,Adhesive Vinyl
96,2020-09-06,2477.0,Adhesive Vinyl
97,2020-09-07,2477.0,Adhesive Vinyl
98,2020-09-08,2477.0,Adhesive Vinyl
99,2020-09-09,3614.0,Adhesive Vinyl
100,2020-09-10,3614.0,Adhesive Vinyl
101,2020-09-11,3614.0,Adhesive Vinyl
102,2020-09-12,2827.0,Adhesive Vinyl
103,2020-09-13,2827.0,Adhesive Vinyl
104,2020-09-14,2827.0,Adhesive Vinyl
105,2020-09-15,3475.0,Adhesive Vinyl
106,2020-09-16,2952.0,Adhesive Vinyl
107,2020-09-17,2952.0,Adhesive Vinyl
108,2020-09-18,2952.0,Adhesive Vinyl
109,2020-09-19,4231.0,Adhesive Vinyl
110,2020-09-20,4231.0,Adhesive Vinyl
111,2020-09-21,4231.0,Adhesive Vinyl
112,2020-09-22,4231.0,Adhesive Vinyl
113,2020-09-23,3391.0,Adhesive Vinyl
114,2020-09-24,3448.0,Adhesive Vinyl
115,2020-09-25,3448.0,Adhesive Vinyl
116,2020-09-26,3448.0,Adhesive Vinyl
117,2020-09-27,3448.0,Adhesive Vinyl
118,2020-09-28,3120.0,Adhesive Vinyl
119,2020-09-29,3120.0,Adhesive Vinyl
120,2020-09-30,2870.0,Adhesive Vinyl
121,2020-10-01,2870.0,Adhesive Vinyl
122,2020-10-02,2870.0,Adhesive Vinyl
123,2020-10-03,2870.0,Adhesive Vinyl
124,2020-10-04,3500.0,Adhesive Vinyl
125,2020-10-05,3500.0,Adhesive Vinyl
126,2020-10-06,3500.0,Adhesive Vinyl
127,2020-10-07,2883.0,Adhesive Vinyl
128,2020-10-08,2883.0,Adhesive Vinyl
129,2020-10-09,2883.0,Adhesive Vinyl
130,2020-10-10,3640.0,Adhesive Vinyl
131,2020-10-11,3640.0,Adhesive Vinyl
132,2020-10-12,3640.0,Adhesive Vinyl
133,2020-10-13,1877.0,Adhesive Vinyl
134,2020-10-14,1877.0,Adhesive Vinyl
135,2020-10-15,3920.0,Adhesive Vinyl
136,2020-10-16,3838.0,Adhesive Vinyl
137,2020-10-17,3838.0,Adhesive Vinyl
138,2020-10-18,3838.0,Adhesive Vinyl
139,2020-10-19,4025.0,Adhesive Vinyl
140,2020-10-20,4025.0,Adhesive Vinyl
141,2020-10-21,4025.0,Adhesive Vinyl
142,2020-10-22,4139.0,Adhesive Vinyl
143,2020-10-23,4139.0,Adhesive Vinyl
144,2020-10-24,4139.0,Adhesive Vinyl
145,2020-10-25,3924.0,Adhesive Vinyl
146,2020-10-26,3924.0,Adhesive Vinyl
147,2020-10-27,3924.0,Adhesive Vinyl
148,2020-10-28,3076.0,Adhesive Vinyl
149,2020-10-29,3076.0,Adhesive Vinyl
150,2020-10-30,3076.0,Adhesive Vinyl
151,2020-10-31,4932.0,Adhesive Vinyl
152,2020-11-01,4932.0,Adhesive Vinyl
153,2020-11-02,4932.0,Adhesive Vinyl
154,2020-11-03,4932.0,Adhesive Vinyl
155,2020-11-04,5783.0,Adhesive Vinyl
156,2020-11-05,5783.0,Adhesive Vinyl
157,2020-11-06,5783.0,Adhesive Vinyl
158,2020-11-07,3794.0,Adhesive Vinyl
159,2020-11-08,3794.0,Adhesive Vinyl
160,2020-11-09,3794.0,Adhesive Vinyl
161,2020-11-10,3794.0,Adhesive Vinyl
162,2020-11-11,4169.0,Adhesive Vinyl
163,2020-11-12,4169.0,Adhesive Vinyl
164,2020-11-13,4169.0,Adhesive Vinyl
165,2020-11-14,4169.0,Adhesive Vinyl
166,2020-11-15,4169.0,Adhesive Vinyl
167,2020-11-16,6483.0,Adhesive Vinyl
168,2020-11-17,6483.0,Adhesive Vinyl
169,2020-11-18,6483.0,Adhesive Vinyl
170,2020-11-19,3782.0,Adhesive Vinyl
171,2020-11-20,3782.0,Adhesive Vinyl
172,2020-11-21,3782.0,Adhesive Vinyl
173,2020-11-22,6777.0,Adhesive Vinyl
174,2020-11-23,6777.0,Adhesive Vinyl
175,2020-11-24,6777.0,Adhesive Vinyl
176,2020-11-25,6777.0,Adhesive Vinyl
177,2020-11-26,6777.0,Adhesive Vinyl
178,2020-11-27,10908.0,Adhesive Vinyl
179,2020-11-28,10908.0,Adhesive Vinyl
180,2020-11-29,10908.0,Adhesive Vinyl
181,2020-11-30,10908.0,Adhesive Vinyl
182,2020-12-01,7938.0,Adhesive Vinyl
183,2020-12-02,7938.0,Adhesive Vinyl
184,2020-12-03,7938.0,Adhesive Vinyl
