,date,value,name_B083BCG59N
0,2020-06-01,2092.0,Greeting Cards
1,2020-06-02,2092.0,Greeting Cards
2,2020-06-03,1306.0,Greeting Cards
3,2020-06-04,1306.0,Greeting Cards
4,2020-06-05,1306.0,Greeting Cards
5,2020-06-06,1306.0,Greeting Cards
6,2020-06-07,1917.0,Greeting Cards
7,2020-06-08,1917.0,Greeting Cards
8,2020-06-09,1615.0,Greeting Cards
9,2020-06-10,1675.0,Greeting Cards
10,2020-06-11,1675.0,Greeting Cards
11,2020-06-12,1813.0,Greeting Cards
12,2020-06-13,1813.0,Greeting Cards
13,2020-06-14,1813.0,Greeting Cards
14,2020-06-15,1998.0,Greeting Cards
15,2020-06-16,1718.0,Greeting Cards
16,2020-06-17,1718.0,Greeting Cards
17,2020-06-18,1592.0,Greeting Cards
18,2020-06-19,1592.0,Greeting Cards
19,2020-06-20,1506.0,Greeting Cards
20,2020-06-21,1506.0,Greeting Cards
21,2020-06-22,1685.0,Greeting Cards
22,2020-06-23,1685.0,Greeting Cards
23,2020-06-24,1654.0,Greeting Cards
24,2020-06-25,1654.0,Greeting Cards
25,2020-06-26,1269.0,Greeting Cards
26,2020-06-27,1269.0,Greeting Cards
27,2020-06-28,1817.0,Greeting Cards
28,2020-06-29,1817.0,Greeting Cards
29,2020-06-30,1817.0,Greeting Cards
30,2020-07-01,1290.0,Greeting Cards
31,2020-07-02,1208.0,Greeting Cards
32,2020-07-03,1208.0,Greeting Cards
33,2020-07-04,1907.0,Greeting Cards
34,2020-07-05,1907.0,Greeting Cards
35,2020-07-06,1907.0,Greeting Cards
36,2020-07-07,1737.0,Greeting Cards
37,2020-07-08,1737.0,Greeting Cards
38,2020-07-09,1737.0,Greeting Cards
39,2020-07-10,1421.0,Greeting Cards
40,2020-07-11,1421.0,Greeting Cards
41,2020-07-12,2053.0,Greeting Cards
42,2020-07-13,2053.0,Greeting Cards
43,2020-07-14,2053.0,Greeting Cards
44,2020-07-15,2053.0,Greeting Cards
45,2020-07-16,2621.0,Greeting Cards
46,2020-07-17,2621.0,Greeting Cards
47,2020-07-18,2621.0,Greeting Cards
48,2020-07-19,2230.0,Greeting Cards
49,2020-07-20,2230.0,Greeting Cards
50,2020-07-21,1709.0,Greeting Cards
51,2020-07-22,2035.0,Greeting Cards
52,2020-07-23,2035.0,Greeting Cards
53,2020-07-24,1681.0,Greeting Cards
54,2020-07-25,1681.0,Greeting Cards
55,2020-07-26,1681.0,Greeting Cards
56,2020-07-27,1916.0,Greeting Cards
57,2020-07-28,1557.0,Greeting Cards
58,2020-07-29,1557.0,Greeting Cards
59,2020-07-30,1127.0,Greeting Cards
60,2020-07-31,1127.0,Greeting Cards
61,2020-08-01,1127.0,Greeting Cards
62,2020-08-02,1760.0,Greeting Cards
63,2020-08-03,1760.0,Greeting Cards
64,2020-08-04,1456.0,Greeting Cards
65,2020-08-05,1456.0,Greeting Cards
66,2020-08-06,1456.0,Greeting Cards
67,2020-08-07,1853.0,Greeting Cards
68,2020-08-08,1853.0,Greeting Cards
69,2020-08-09,1853.0,Greeting Cards
70,2020-08-10,2391.0,Greeting Cards
71,2020-08-11,2255.0,Greeting Cards
72,2020-08-12,2255.0,Greeting Cards
73,2020-08-13,2004.0,Greeting Cards
74,2020-08-14,2004.0,Greeting Cards
75,2020-08-15,2004.0,Greeting Cards
76,2020-08-16,2564.0,Greeting Cards
77,2020-08-17,2564.0,Greeting Cards
78,2020-08-18,2564.0,Greeting Cards
79,2020-08-19,2094.0,Greeting Cards
80,2020-08-20,2094.0,Greeting Cards
81,2020-08-21,2094.0,Greeting Cards
82,2020-08-22,2094.0,Greeting Cards
83,2020-08-23,2855.0,Greeting Cards
84,2020-08-24,2855.0,Greeting Cards
85,2020-08-25,2855.0,Greeting Cards
86,2020-08-26,2115.0,Greeting Cards
87,2020-08-27,2115.0,Greeting Cards
88,2020-08-28,2115.0,Greeting Cards
89,2020-08-29,2342.0,Greeting Cards
90,2020-08-30,2342.0,Greeting Cards
91,2020-08-31,2342.0,Greeting Cards
92,2020-09-01,1823.0,Greeting Cards
93,2020-09-02,1823.0,Greeting Cards
94,2020-09-03,1807.0,Greeting Cards
95,2020-09-04,1807.0,Greeting Cards
96,2020-09-05,2263.0,Greeting Cards
97,2020-09-06,2263.0,Greeting Cards
98,2020-09-07,2263.0,Greeting Cards
99,2020-09-08,2826.0,Greeting Cards
100,2020-09-09,2826.0,Greeting Cards
101,2020-09-10,2493.0,Greeting Cards
